D,lab,run,Rm,V,Iph,file,N,fmin,fmax,dropped,f3_ref0,f3_refmin,crosses
30,200,1,200.0,-3,1.0,Bias_3V_Iph_1mA_30um_200ohm_1.xlsx,58,0.5,26.17,2,13.314334526948755,13.568490202006473,True
30,60,1,60.0,-3,1.0,Bias_3V_Iph_1mA_30um_60ohm_1.xlsx,60,0.5,31.08,0,21.131713473786377,21.63320511301593,True
30,WO,1,inf,-3,1.0,Bias_3V_Iph_1mA_30um_WO_1.xlsx,40,0.33,19.33,0,11.497237737198605,11.453144010772847,True
30,200,1,200.0,-5,1.0,Bias_5V_Iph_1mA_30um_200ohm_1.xlsx,60,0.33,26.5,0,16.432441448308193,16.63251561798416,True
30,38,1,38.0,-5,1.0,Bias_5V_Iph_1mA_30um_38ohm_1.xlsx,70,0.5,36.83,0,33.20976420894229,33.43825364422947,True
30,60,1,60.0,-5,1.0,Bias_5V_Iph_1mA_30um_60ohm_1.xlsx,60,0.67,31.33,0,27.220453557917992,27.76469869876196,True
30,WO,1,inf,-5,1.0,Bias_5V_Iph_1mA_30um_WO_1.xlsx,40,0.5,19.5,0,17.245585394942466,16.98633288750793,True
30,120,1,120.0,-7,1.0,Bias_7V_Iph_1mA_30um_120ohm_1.xlsx,50,1.17,27.75,0,27.05063993643161,27.181064598610895,True
30,200,1,200.0,-7,1.0,Bias_7V_Iph_1mA_30um_200ohm_1.xlsx,59,0.33,26.33,1,19.77629824025923,19.990206932043783,True
30,38,2,38.0,-7,1.0,Bias_7V_Iph_1mA_30um_38ohm_2.xlsx,70,0.5,36.67,0,32.660044953223895,32.973317958467995,True
30,60,1,60.0,-7,1.0,Bias_7V_Iph_1mA_30um_60ohm_1.xlsx,77,0.33,37.83,3,36.536423516333656,36.65612019971672,True
30,60,2,60.0,-7,1.0,Bias_7V_Iph_1mA_30um_60ohm_2.xlsx,59,0.83,31.33,1,28.162945076636927,28.90322400823427,True
30,76,1,76.0,-7,1.0,Bias_7V_Iph_1mA_30um_76ohm_1.xlsx,60,1.5,33.67,0,31.35848904239999,31.35321044542142,True
30,WO,1,inf,-7,1.0,Bias_7V_Iph_1mA_30um_WO_1.xlsx,40,0.5,20.83,0,19.39331773856102,19.7825057221099,True
30,38,1,38.0,-7,1.0,Bias_7V_Iph_1mA_38ohm_30um_1.xlsx,77,0.5,37.83,3,33.99532798691818,34.04854204881821,True
