
Vi = 0.000000	  Vf = 7.000000	  Incr = 0.200000	Osc Freq = 1 MHz
Voltage (V)	Capacitance (F)	Display B (see HP4275A)
0.0000E+0	3.2207E-13	1.3667E-2
2.0000E-1	2.8840E-13	5.0000E-3
4.0000E-1	2.6367E-13	4.0000E-3
6.0000E-1	2.4523E-13	4.3333E-3
8.0000E-1	2.3240E-13	3.3333E-3
1.0000E+0	2.2337E-13	4.0000E-3
1.2000E+0	2.1650E-13	4.0000E-3
1.4000E+0	2.1077E-13	3.6667E-3
1.6000E+0	2.0520E-13	4.3333E-3
1.8000E+0	2.0030E-13	4.0000E-3
2.0000E+0	1.9540E-13	4.0000E-3
2.2000E+0	1.9050E-13	4.0000E-3
2.4000E+0	1.8520E-13	4.3333E-3
2.6000E+0	1.7960E-13	4.0000E-3
2.8000E+0	1.7347E-13	5.3333E-3
3.0000E+0	1.6667E-13	5.3333E-3
3.2000E+0	1.5997E-13	5.3333E-3
3.4000E+0	1.5323E-13	6.6667E-3
3.6000E+0	1.4717E-13	1.0000E-2
3.8000E+0	1.4173E-13	1.0000E-2
4.0000E+0	1.3717E-13	3.3333E-3
4.2000E+0	1.3290E-13	1.0000E-2
4.4000E+0	1.2933E-13	1.0000E-2
4.6000E+0	1.2567E-13	1.0000E-2
4.8000E+0	1.2257E-13	1.0000E-2
5.0000E+0	1.1990E-13	1.0000E-2
5.2000E+0	1.1720E-13	1.0000E-2
5.4000E+0	1.1480E-13	1.0000E-2
5.6000E+0	1.1253E-13	1.0000E-2
5.8000E+0	1.1040E-13	1.0000E-2
6.0000E+0	1.0847E-13	1.0000E-2
6.2000E+0	1.0660E-13	1.0000E-2
6.4000E+0	1.0497E-13	2.0000E-2
6.6000E+0	1.0337E-13	2.0000E-2
6.8000E+0	1.0190E-13	2.3333E-2
7.0000E+0	1.0040E-13	3.0000E-2
7.2000E+0	9.9100E-14	4.0000E-2
