DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 906.61 s
TOTAL RUN TIME: 990.45 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -1.019 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.043 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 13:33:49

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-1.0190e+00	-16.30    	0.12      	0.12      	0.00      	-16.18    	6.354     
1.00      	-1.0180e+00	-16.47    	0.20      	0.20      	0.00      	-16.27    	6.350     
1.33      	-1.0160e+00	-16.56    	0.30      	0.30      	0.00      	-16.26    	6.346     
2.17      	-1.0160e+00	-16.86    	0.50      	0.50      	0.00      	-16.36    	6.338     
2.67      	-1.0120e+00	-17.45    	0.36      	0.36      	0.00      	-17.09    	6.325     
3.08      	-1.0100e+00	-17.38    	0.36      	0.36      	0.00      	-17.02    	6.318     
3.58      	-1.0050e+00	-17.07    	0.35      	0.35      	0.00      	-16.72    	6.296     
4.08      	-1.0000e+00	-17.33    	0.36      	0.36      	0.00      	-16.97    	6.272     
4.58      	-9.9500e-01	-16.83    	0.32      	0.32      	0.00      	-16.51    	6.254     
5.08      	-9.9400e-01	-17.53    	0.32      	0.32      	0.00      	-17.21    	6.253     
5.58      	-9.9500e-01	-17.02    	0.33      	0.33      	0.00      	-16.69    	6.253     
6.25      	-9.9400e-01	-17.37    	0.36      	0.36      	0.00      	-17.01    	6.253     
6.83      	-9.9500e-01	-17.48    	0.38      	0.38      	0.00      	-17.10    	6.256     
7.33      	-9.9600e-01	-17.53    	0.39      	0.39      	0.00      	-17.14    	6.261     
7.83      	-9.9900e-01	-17.11    	0.41      	0.41      	0.00      	-16.70    	6.273     
8.33      	-1.0040e+00	-16.87    	0.42      	0.42      	0.00      	-16.45    	6.291     
8.83      	-1.0080e+00	-16.95    	0.43      	0.43      	0.00      	-16.52    	6.313     
9.33      	-1.0130e+00	-17.22    	0.45      	0.45      	0.00      	-16.77    	6.336     
10.00     	-1.0160e+00	-17.05    	0.47      	0.47      	0.00      	-16.58    	6.345     
10.50     	-1.0170e+00	-17.47    	0.50      	0.50      	0.00      	-16.97    	6.344     
11.17     	-1.0160e+00	-17.10    	0.55      	0.55      	0.00      	-16.55    	6.344     
11.67     	-1.0160e+00	-17.19    	0.58      	0.58      	0.00      	-16.61    	6.345     
12.00     	-1.0160e+00	-16.35    	0.60      	0.60      	0.00      	-15.75    	6.344     
12.50     	-1.0170e+00	-16.58    	0.63      	0.63      	0.00      	-15.95    	6.344     
13.00     	-1.0150e+00	-16.95    	0.66      	0.66      	0.00      	-16.29    	6.342     
13.67     	-1.0160e+00	-17.54    	0.74      	0.74      	0.00      	-16.80    	6.339     
14.33     	-1.0140e+00	-16.88    	0.80      	0.80      	0.00      	-16.08    	6.333     
14.67     	-1.0120e+00	-17.60    	0.83      	0.83      	0.00      	-16.77    	6.321     
15.17     	-1.0060e+00	-17.03    	0.88      	0.88      	0.00      	-16.15    	6.304     
15.67     	-1.0010e+00	-16.34    	0.90      	0.90      	0.00      	-15.44    	6.286     
16.33     	-9.9800e-01	-15.72    	0.97      	0.97      	0.00      	-14.75    	6.264     
16.83     	-9.9700e-01	-17.59    	0.94      	0.94      	0.00      	-16.65    	6.256     
17.17     	-9.9500e-01	-16.96    	0.94      	0.94      	0.00      	-16.02    	6.257     
17.83     	-9.9500e-01	-17.66    	0.95      	0.95      	0.00      	-16.71    	6.257     
18.17     	-9.9600e-01	-17.51    	0.95      	0.95      	0.00      	-16.56    	6.259     
18.83     	-9.9500e-01	-17.24    	0.99      	0.99      	0.00      	-16.25    	6.260     
19.17     	-9.9400e-01	-16.82    	1.01      	1.01      	0.00      	-15.81    	6.261     
19.67     	-9.9700e-01	-16.20    	1.06      	1.06      	0.00      	-15.14    	6.261     
20.33     	-1.0020e+00	-17.46    	1.09      	1.09      	0.00      	-16.37    	6.277     
21.00     	-1.0000e+00	-18.09    	1.09      	1.09      	0.00      	-17.00    	6.279     
21.33     	-1.0020e+00	-17.39    	1.06      	1.06      	0.00      	-16.33    	6.284     
22.00     	-1.0050e+00	-17.94    	1.06      	1.06      	0.00      	-16.88    	6.293     
22.50     	-1.0070e+00	-17.44    	1.08      	1.08      	0.00      	-16.36    	6.302     
23.00     	-1.0090e+00	-17.78    	1.08      	1.08      	0.00      	-16.70    	6.313     
23.33     	-1.0120e+00	-17.35    	1.10      	1.10      	0.00      	-16.25    	6.325     
24.00     	-1.0140e+00	-18.12    	1.15      	1.15      	0.00      	-16.97    	6.337     
24.67     	-1.0170e+00	-18.98    	1.19      	1.19      	0.00      	-17.79    	6.348     
25.00     	-1.0180e+00	-19.46    	1.20      	1.20      	0.00      	-18.26    	6.351     
25.67     	-1.0170e+00	-19.40    	1.19      	1.19      	0.00      	-18.21    	6.347     
26.17     	-1.0180e+00	-19.65    	1.07      	1.07      	0.00      	-18.58    	6.349     
26.67     	-1.0170e+00	-19.72    	1.03      	1.03      	0.00      	-18.69    	6.348     
27.25     	-1.0180e+00	-20.22    	0.95      	0.95      	0.00      	-19.27    	6.349     
27.92     	-1.0180e+00	-20.79    	0.92      	0.92      	0.00      	-19.87    	6.347     
28.42     	-1.0160e+00	-21.18    	0.91      	0.91      	0.00      	-20.27    	6.345     
28.92     	-1.0170e+00	-21.42    	0.98      	0.98      	0.00      	-20.44    	6.348     
