DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 392.35 s
TOTAL RUN TIME: 423.53 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -59.745 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.2 (nm) : STARTING WAVELENGTH FOR LASER 4: 1554.593 (nm) : DELAY: 3.5 (s) 
DATE: 01/21/2026
TIME: 17:34:57

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
1.17      	-5.9745e+01	-19.49    	0.25      	0.25      	0.00      	-19.24    	5.888     
1.67      	-5.9745e+01	-19.74    	0.40      	0.40      	0.00      	-19.34    	5.891     
2.17      	-5.9750e+01	-19.65    	0.50      	0.50      	0.00      	-19.15    	5.892     
2.83      	-5.9753e+01	-19.97    	0.36      	0.36      	0.00      	-19.61    	5.893     
3.25      	-5.9755e+01	-20.43    	0.36      	0.36      	0.00      	-20.07    	5.894     
3.75      	-5.9761e+01	-20.93    	0.35      	0.35      	0.00      	-20.58    	5.894     
4.25      	-5.9758e+01	-21.01    	0.34      	0.34      	0.00      	-20.67    	5.892     
4.75      	-5.9764e+01	-19.96    	0.32      	0.32      	0.00      	-19.64    	5.894     
5.08      	-5.9762e+01	-20.32    	0.32      	0.32      	0.00      	-20.00    	5.893     
5.75      	-5.9763e+01	-20.22    	0.34      	0.34      	0.00      	-19.88    	5.891     
6.50      	-5.9768e+01	-20.04    	0.36      	0.36      	0.00      	-19.68    	5.894     
7.00      	-5.9770e+01	-19.97    	0.38      	0.38      	0.00      	-19.59    	5.892     
7.50      	-5.9769e+01	-20.15    	0.40      	0.40      	0.00      	-19.75    	5.891     
8.00      	-5.9771e+01	-20.00    	0.41      	0.41      	0.00      	-19.59    	5.892     
8.50      	-5.9771e+01	-20.13    	0.42      	0.42      	0.00      	-19.71    	5.890     
9.33      	-5.9775e+01	-20.38    	0.45      	0.45      	0.00      	-19.93    	5.891     
9.83      	-5.9779e+01	-20.27    	0.47      	0.47      	0.00      	-19.80    	5.894     
10.33     	-5.9780e+01	-20.56    	0.49      	0.49      	0.00      	-20.07    	5.890     
10.83     	-5.9782e+01	-20.28    	0.53      	0.53      	0.00      	-19.75    	5.889     
11.33     	-5.9786e+01	-20.33    	0.56      	0.56      	0.00      	-19.77    	5.890     
11.83     	-5.9784e+01	-20.20    	0.59      	0.59      	0.00      	-19.61    	5.887     
12.33     	-5.9776e+01	-20.53    	0.62      	0.62      	0.00      	-19.91    	5.888     
12.83     	-5.9774e+01	-20.68    	0.65      	0.65      	0.00      	-20.03    	5.886     
13.50     	-5.9772e+01	-20.98    	0.72      	0.72      	0.00      	-20.26    	5.888     
14.00     	-5.9774e+01	-21.00    	0.76      	0.76      	0.00      	-20.24    	5.888     
14.50     	-5.9777e+01	-21.11    	0.81      	0.81      	0.00      	-20.30    	5.891     
15.17     	-5.9784e+01	-20.80    	0.88      	0.88      	0.00      	-19.92    	5.888     
15.67     	-5.9785e+01	-21.04    	0.90      	0.90      	0.00      	-20.14    	5.891     
16.17     	-5.9785e+01	-20.95    	0.95      	0.95      	0.00      	-20.00    	5.889     
16.50     	-5.9795e+01	-21.82    	0.97      	0.97      	0.00      	-20.85    	5.891     
17.17     	-5.9801e+01	-21.55    	0.94      	0.94      	0.00      	-20.61    	5.890     
17.83     	-5.9806e+01	-21.95    	0.95      	0.95      	0.00      	-21.00    	5.889     
18.33     	-5.9809e+01	-21.78    	0.96      	0.96      	0.00      	-20.82    	5.889     
18.83     	-5.9813e+01	-21.47    	0.99      	0.99      	0.00      	-20.48    	5.888     
19.33     	-5.9818e+01	-21.52    	1.03      	1.03      	0.00      	-20.49    	5.891     
19.83     	-5.9820e+01	-21.98    	1.07      	1.07      	0.00      	-20.91    	5.890     
20.33     	-5.9819e+01	-22.03    	1.09      	1.09      	0.00      	-20.94    	5.889     
20.83     	-5.9818e+01	-22.76    	1.10      	1.10      	0.00      	-21.66    	5.890     
21.50     	-5.9802e+01	-22.14    	1.05      	1.05      	0.00      	-21.09    	5.889     
22.17     	-5.9804e+01	-22.57    	1.07      	1.07      	0.00      	-21.50    	5.887     
22.50     	-5.9809e+01	-22.34    	1.08      	1.08      	0.00      	-21.26    	5.889     
23.17     	-5.9814e+01	-22.24    	1.09      	1.09      	0.00      	-21.15    	5.891     
23.67     	-5.9815e+01	-22.71    	1.12      	1.12      	0.00      	-21.59    	5.888     
24.17     	-5.9817e+01	-23.03    	1.16      	1.16      	0.00      	-21.87    	5.889     
24.83     	-5.9812e+01	-23.30    	1.20      	1.20      	0.00      	-22.10    	5.889     
25.50     	-5.9813e+01	-23.49    	1.21      	1.21      	0.00      	-22.28    	5.889     
26.00     	-5.9811e+01	-23.20    	1.11      	1.11      	0.00      	-22.09    	5.889     
26.67     	-5.9813e+01	-22.81    	1.03      	1.03      	0.00      	-21.78    	5.890     
27.25     	-5.9806e+01	-23.73    	0.95      	0.95      	0.00      	-22.78    	5.891     
27.75     	-5.9800e+01	-24.04    	0.93      	0.93      	0.00      	-23.11    	5.890     
