DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 470.84 s
TOTAL RUN TIME: 501.76 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -93.084 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.2 (nm) : STARTING WAVELENGTH FOR LASER 4: 1554.593 (nm) : DELAY: 3.5 (s) 
DATE: 01/21/2026
TIME: 18:13:13

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
1.50      	-9.3084e+01	-21.21    	0.35      	0.35      	0.00      	-20.86    	5.885     
1.83      	-9.3084e+01	-21.30    	0.46      	0.46      	0.00      	-20.84    	5.887     
2.33      	-9.3085e+01	-21.38    	0.48      	0.48      	0.00      	-20.90    	5.887     
2.92      	-9.3088e+01	-21.48    	0.36      	0.36      	0.00      	-21.12    	5.887     
3.42      	-9.3088e+01	-22.06    	0.35      	0.35      	0.00      	-21.71    	5.889     
3.92      	-9.3091e+01	-24.01    	0.36      	0.36      	0.00      	-23.65    	5.891     
4.42      	-9.3093e+01	-22.46    	0.33      	0.33      	0.00      	-22.13    	5.893     
4.92      	-9.3099e+01	-21.86    	0.32      	0.32      	0.00      	-21.54    	5.893     
5.42      	-9.3103e+01	-21.58    	0.33      	0.33      	0.00      	-21.25    	5.895     
6.08      	-9.3109e+01	-21.78    	0.35      	0.35      	0.00      	-21.43    	5.896     
6.67      	-9.3114e+01	-21.65    	0.37      	0.37      	0.00      	-21.28    	5.898     
7.17      	-9.3117e+01	-21.58    	0.39      	0.39      	0.00      	-21.19    	5.899     
7.67      	-9.3117e+01	-21.59    	0.40      	0.40      	0.00      	-21.19    	5.899     
8.17      	-9.3120e+01	-21.67    	0.42      	0.42      	0.00      	-21.25    	5.900     
8.67      	-9.3125e+01	-21.75    	0.42      	0.42      	0.00      	-21.33    	5.901     
9.50      	-9.3128e+01	-21.90    	0.45      	0.45      	0.00      	-21.45    	5.902     
10.00     	-9.3130e+01	-21.80    	0.47      	0.47      	0.00      	-21.33    	5.903     
10.50     	-9.3127e+01	-21.82    	0.50      	0.50      	0.00      	-21.32    	5.903     
10.83     	-9.3128e+01	-21.81    	0.53      	0.53      	0.00      	-21.28    	5.903     
11.50     	-9.3127e+01	-21.74    	0.57      	0.57      	0.00      	-21.17    	5.903     
12.00     	-9.3129e+01	-21.77    	0.60      	0.60      	0.00      	-21.17    	5.903     
12.50     	-9.3133e+01	-21.99    	0.63      	0.63      	0.00      	-21.36    	5.903     
13.00     	-9.3133e+01	-22.11    	0.66      	0.66      	0.00      	-21.45    	5.902     
13.67     	-9.3132e+01	-22.39    	0.74      	0.74      	0.00      	-21.65    	5.904     
14.17     	-9.3132e+01	-22.27    	0.78      	0.78      	0.00      	-21.49    	5.906     
14.67     	-9.3136e+01	-22.28    	0.83      	0.83      	0.00      	-21.45    	5.906     
15.33     	-9.3136e+01	-22.11    	0.89      	0.89      	0.00      	-21.22    	5.907     
15.67     	-9.3142e+01	-22.37    	0.90      	0.90      	0.00      	-21.47    	5.908     
16.33     	-9.3140e+01	-22.46    	0.97      	0.97      	0.00      	-21.49    	5.909     
16.83     	-9.3143e+01	-22.81    	0.94      	0.94      	0.00      	-21.87    	5.909     
17.33     	-9.3142e+01	-22.88    	0.96      	0.96      	0.00      	-21.92    	5.910     
18.00     	-9.3141e+01	-22.72    	0.95      	0.95      	0.00      	-21.77    	5.912     
18.50     	-9.3142e+01	-22.76    	0.97      	0.97      	0.00      	-21.79    	5.914     
19.00     	-9.3142e+01	-22.76    	1.00      	1.00      	0.00      	-21.76    	5.915     
