DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -5.000000E+00 V
FREQUENCY SWEEP RUN TIME: 961.25 s
TOTAL RUN TIME: 1076.69 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -24.95 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.019 (nm) : DELAY: 3.5 (s) 
DATE: 03/29/2026
TIME: 17:23:03

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-2.4950e+01	-24.62    	0.12      	0.12      	0.00      	-24.50    	0.461     
1.17      	-2.4949e+01	-24.93    	0.25      	0.25      	0.00      	-24.68    	0.457     
1.50      	-2.4949e+01	-25.06    	0.35      	0.35      	0.00      	-24.71    	0.455     
2.17      	-2.4949e+01	-25.16    	0.50      	0.50      	0.00      	-24.66    	0.453     
2.67      	-2.4948e+01	-25.40    	0.36      	0.36      	0.00      	-25.04    	0.450     
3.25      	-2.4947e+01	-25.49    	0.36      	0.36      	0.00      	-25.13    	0.447     
3.58      	-2.4947e+01	-25.27    	0.35      	0.35      	0.00      	-24.92    	0.445     
4.08      	-2.4946e+01	-25.40    	0.36      	0.36      	0.00      	-25.04    	0.442     
4.58      	-2.4945e+01	-25.38    	0.32      	0.32      	0.00      	-25.06    	0.440     
5.42      	-2.4945e+01	-25.57    	0.33      	0.33      	0.00      	-25.24    	0.437     
5.75      	-2.4945e+01	-26.11    	0.34      	0.34      	0.00      	-25.77    	0.435     
6.25      	-2.4944e+01	-25.86    	0.36      	0.36      	0.00      	-25.50    	0.433     
7.00      	-2.4944e+01	-25.86    	0.38      	0.38      	0.00      	-25.48    	0.431     
7.50      	-2.4944e+01	-26.03    	0.40      	0.40      	0.00      	-25.63    	0.431     
7.83      	-2.4943e+01	-25.91    	0.41      	0.41      	0.00      	-25.50    	0.431     
8.33      	-2.4943e+01	-26.18    	0.42      	0.42      	0.00      	-25.76    	0.432     
8.83      	-2.4943e+01	-26.23    	0.43      	0.43      	0.00      	-25.80    	0.433     
9.67      	-2.4943e+01	-26.58    	0.46      	0.46      	0.00      	-26.12    	0.435     
10.17     	-2.4943e+01	-26.97    	0.48      	0.48      	0.00      	-26.49    	0.437     
10.67     	-2.4943e+01	-26.48    	0.52      	0.52      	0.00      	-25.96    	0.439     
11.17     	-2.4944e+01	-26.42    	0.55      	0.55      	0.00      	-25.87    	0.441     
11.67     	-2.4944e+01	-26.52    	0.58      	0.58      	0.00      	-25.94    	0.443     
12.17     	-2.4943e+01	-27.30    	0.61      	0.61      	0.00      	-26.69    	0.445     
12.67     	-2.4943e+01	-27.22    	0.64      	0.64      	0.00      	-26.58    	0.447     
13.17     	-2.4944e+01	-27.46    	0.68      	0.68      	0.00      	-26.78    	0.448     
13.67     	-2.4943e+01	-27.99    	0.74      	0.74      	0.00      	-27.25    	0.449     
14.17     	-2.4944e+01	-27.89    	0.78      	0.78      	0.00      	-27.11    	0.450     
14.83     	-2.4943e+01	-27.50    	0.85      	0.85      	0.00      	-26.65    	0.451     
15.33     	-2.4943e+01	-27.56    	0.89      	0.89      	0.00      	-26.67    	0.451     
15.83     	-2.4943e+01	-28.31    	0.92      	0.92      	0.00      	-27.39    	0.452     
16.33     	-2.4944e+01	-28.84    	0.97      	0.97      	0.00      	-27.87    	0.453     
17.00     	-2.4944e+01	-28.54    	0.94      	0.94      	0.00      	-27.60    	0.454     
17.50     	-2.4944e+01	-28.94    	0.96      	0.96      	0.00      	-27.98    	0.455     
18.17     	-2.4944e+01	-28.67    	0.95      	0.95      	0.00      	-27.72    	0.458     
18.50     	-2.4944e+01	-28.50    	0.97      	0.97      	0.00      	-27.53    	0.459     
19.00     	-2.4944e+01	-28.60    	1.00      	1.00      	0.00      	-27.60    	0.460     
19.67     	-2.4944e+01	-28.94    	1.06      	1.06      	0.00      	-27.88    	0.461     
20.17     	-2.4945e+01	-29.88    	1.07      	1.07      	0.00      	-28.81    	0.461     
20.67     	-2.4945e+01	-30.40    	1.10      	1.10      	0.00      	-29.30    	0.462     
21.17     	-2.4945e+01	-29.60    	1.08      	1.08      	0.00      	-28.52    	0.463     
16.83     	-2.4945e+01	-28.56    	0.94      	0.94      	0.00      	-27.62    	0.454     
17.17     	-2.4944e+01	-29.08    	0.94      	0.94      	0.00      	-28.14    	0.455     
17.67     	-2.4945e+01	-28.91    	0.95      	0.95      	0.00      	-27.96    	0.457     
18.17     	-2.4945e+01	-28.37    	0.95      	0.95      	0.00      	-27.42    	0.458     
18.67     	-2.4945e+01	-28.46    	0.98      	0.98      	0.00      	-27.48    	0.460     
19.33     	-2.4945e+01	-28.73    	1.03      	1.03      	0.00      	-27.70    	0.461     
19.83     	-2.4945e+01	-29.56    	1.07      	1.07      	0.00      	-28.49    	0.462     
20.50     	-2.4945e+01	-29.27    	1.10      	1.10      	0.00      	-28.17    	0.462     
20.83     	-2.4945e+01	-30.37    	1.10      	1.10      	0.00      	-29.27    	0.462     
21.50     	-2.4945e+01	-29.69    	1.05      	1.05      	0.00      	-28.64    	0.463     
22.00     	-2.4945e+01	-29.80    	1.06      	1.06      	0.00      	-28.74    	0.464     
22.33     	-2.4945e+01	-29.26    	1.08      	1.08      	0.00      	-28.18    	0.465     
23.00     	-2.4945e+01	-29.59    	1.08      	1.08      	0.00      	-28.51    	0.467     
23.50     	-2.4945e+01	-30.66    	1.11      	1.11      	0.00      	-29.55    	0.468     
24.00     	-2.4945e+01	-31.11    	1.15      	1.15      	0.00      	-29.96    	0.466     
24.50     	-2.4945e+01	-31.10    	1.19      	1.19      	0.00      	-29.91    	0.465     
