DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 959.47 s
TOTAL RUN TIME: 1063.25 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -34.739 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.014 (nm) : DELAY: 3.5 (s) 
DATE: 03/29/2026
TIME: 16:01:21

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.33      	-3.4739e+01	-17.54    	0.09      	0.09      	0.00      	-17.45    	3.798     
0.83      	-3.4739e+01	-17.68    	0.18      	0.18      	0.00      	-17.50    	3.795     
1.33      	-3.4736e+01	-18.06    	0.30      	0.30      	0.00      	-17.76    	3.793     
1.83      	-3.4736e+01	-18.32    	0.46      	0.46      	0.00      	-17.86    	3.790     
2.50      	-3.4737e+01	-18.63    	0.42      	0.42      	0.00      	-18.21    	3.787     
2.92      	-3.4736e+01	-18.43    	0.36      	0.36      	0.00      	-18.07    	3.784     
3.42      	-3.4735e+01	-18.38    	0.35      	0.35      	0.00      	-18.03    	3.781     
3.92      	-3.4733e+01	-18.46    	0.36      	0.36      	0.00      	-18.10    	3.778     
4.42      	-3.4733e+01	-18.32    	0.33      	0.33      	0.00      	-17.99    	3.774     
4.92      	-3.4732e+01	-18.71    	0.32      	0.32      	0.00      	-18.39    	3.770     
5.58      	-3.4731e+01	-18.55    	0.33      	0.33      	0.00      	-18.22    	3.766     
6.08      	-3.4732e+01	-18.92    	0.35      	0.35      	0.00      	-18.57    	3.763     
6.67      	-3.4730e+01	-18.96    	0.37      	0.37      	0.00      	-18.59    	3.762     
7.17      	-3.4730e+01	-19.03    	0.39      	0.39      	0.00      	-18.64    	3.759     
7.67      	-3.4730e+01	-18.82    	0.40      	0.40      	0.00      	-18.42    	3.758     
8.17      	-3.4729e+01	-18.86    	0.42      	0.42      	0.00      	-18.44    	3.757     
8.67      	-3.4729e+01	-19.10    	0.42      	0.42      	0.00      	-18.68    	3.755     
9.17      	-3.4729e+01	-19.40    	0.44      	0.44      	0.00      	-18.96    	3.755     
9.83      	-3.4729e+01	-19.33    	0.47      	0.47      	0.00      	-18.86    	3.755     
10.33     	-3.4730e+01	-19.58    	0.49      	0.49      	0.00      	-19.09    	3.756     
11.00     	-3.4730e+01	-19.49    	0.54      	0.54      	0.00      	-18.95    	3.756     
11.33     	-3.4730e+01	-19.53    	0.56      	0.56      	0.00      	-18.97    	3.757     
11.83     	-3.4731e+01	-19.20    	0.59      	0.59      	0.00      	-18.61    	3.759     
12.50     	-3.4731e+01	-19.72    	0.63      	0.63      	0.00      	-19.09    	3.761     
13.00     	-3.4732e+01	-20.17    	0.66      	0.66      	0.00      	-19.51    	3.762     
13.67     	-3.4732e+01	-20.80    	0.74      	0.74      	0.00      	-20.06    	3.764     
14.17     	-3.4733e+01	-20.25    	0.78      	0.78      	0.00      	-19.47    	3.766     
14.67     	-3.4734e+01	-20.38    	0.83      	0.83      	0.00      	-19.55    	3.767     
15.17     	-3.4733e+01	-20.32    	0.88      	0.88      	0.00      	-19.44    	3.767     
15.67     	-3.4734e+01	-20.74    	0.90      	0.90      	0.00      	-19.84    	3.768     
16.17     	-3.4735e+01	-20.40    	0.95      	0.95      	0.00      	-19.45    	3.769     
16.67     	-3.4736e+01	-21.30    	0.95      	0.95      	0.00      	-20.35    	3.769     
17.33     	-3.4735e+01	-21.52    	0.96      	0.96      	0.00      	-20.56    	3.769     
17.83     	-3.4737e+01	-21.37    	0.95      	0.95      	0.00      	-20.42    	3.769     
18.33     	-3.4736e+01	-20.94    	0.96      	0.96      	0.00      	-19.98    	3.768     
18.83     	-3.4738e+01	-20.87    	0.99      	0.99      	0.00      	-19.88    	3.769     
19.33     	-3.4738e+01	-21.09    	1.03      	1.03      	0.00      	-20.06    	3.770     
19.83     	-3.4738e+01	-22.01    	1.07      	1.07      	0.00      	-20.94    	3.771     
20.33     	-3.4739e+01	-21.55    	1.09      	1.09      	0.00      	-20.46    	3.773     
21.00     	-3.4739e+01	-22.36    	1.09      	1.09      	0.00      	-21.27    	3.773     
21.50     	-3.4740e+01	-22.06    	1.05      	1.05      	0.00      	-21.01    	3.773     
17.17     	-3.4734e+01	-21.43    	0.94      	0.94      	0.00      	-20.49    	3.767     
17.67     	-3.4735e+01	-21.38    	0.95      	0.95      	0.00      	-20.43    	3.767     
18.17     	-3.4735e+01	-20.95    	0.95      	0.95      	0.00      	-20.00    	3.766     
18.67     	-3.4736e+01	-20.99    	0.98      	0.98      	0.00      	-20.01    	3.767     
19.00     	-3.4736e+01	-21.02    	1.00      	1.00      	0.00      	-20.02    	3.768     
19.67     	-3.4737e+01	-21.42    	1.06      	1.06      	0.00      	-20.36    	3.769     
20.33     	-3.4737e+01	-21.96    	1.09      	1.09      	0.00      	-20.87    	3.770     
20.67     	-3.4737e+01	-22.80    	1.10      	1.10      	0.00      	-21.70    	3.771     
21.17     	-3.4737e+01	-21.83    	1.08      	1.08      	0.00      	-20.75    	3.772     
21.67     	-3.4739e+01	-22.09    	1.05      	1.05      	0.00      	-21.04    	3.772     
22.17     	-3.4740e+01	-21.64    	1.07      	1.07      	0.00      	-20.57    	3.771     
22.67     	-3.4740e+01	-22.10    	1.08      	1.08      	0.00      	-21.02    	3.771     
23.33     	-3.4740e+01	-22.38    	1.10      	1.10      	0.00      	-21.28    	3.771     
24.00     	-3.4741e+01	-22.96    	1.15      	1.15      	0.00      	-21.81    	3.771     
24.33     	-3.4741e+01	-23.19    	1.18      	1.18      	0.00      	-22.01    	3.770     
24.83     	-3.4741e+01	-23.40    	1.20      	1.20      	0.00      	-22.20    	3.769     
25.33     	-3.4741e+01	-23.30    	1.21      	1.21      	0.00      	-22.09    	3.767     
25.83     	-3.4742e+01	-22.97    	1.16      	1.16      	0.00      	-21.81    	3.765     
26.33     	-3.4742e+01	-22.88    	1.06      	1.06      	0.00      	-21.82    	3.763     
