DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -5.000000E+00 V
FREQUENCY SWEEP RUN TIME: 938.35 s
TOTAL RUN TIME: 1059.78 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -86.719 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.022 (nm) : DELAY: 3.5 (s) 
DATE: 03/27/2026
TIME: 16:27:36

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-8.6719e+01	-27.31    	0.14      	0.14      	0.00      	-27.17    	0.416     
1.00      	-8.6718e+01	-27.57    	0.23      	0.23      	0.00      	-27.34    	0.414     
1.50      	-8.6718e+01	-27.78    	0.40      	0.40      	0.00      	-27.38    	0.412     
2.00      	-8.6717e+01	-27.91    	0.56      	0.56      	0.00      	-27.35    	0.410     
2.50      	-8.6717e+01	-27.93    	0.46      	0.46      	0.00      	-27.47    	0.408     
2.92      	-8.6717e+01	-27.93    	0.41      	0.41      	0.00      	-27.52    	0.408     
3.42      	-8.6717e+01	-27.84    	0.41      	0.41      	0.00      	-27.43    	0.407     
3.92      	-8.6719e+01	-27.88    	0.41      	0.41      	0.00      	-27.47    	0.405     
4.42      	-8.6717e+01	-27.89    	0.38      	0.38      	0.00      	-27.51    	0.403     
5.08      	-8.6716e+01	-28.01    	0.40      	0.40      	0.00      	-27.61    	0.402     
5.58      	-8.6718e+01	-27.96    	0.42      	0.42      	0.00      	-27.54    	0.399     
5.92      	-8.6716e+01	-28.05    	0.43      	0.43      	0.00      	-27.62    	0.397     
6.50      	-8.6716e+01	-28.07    	0.46      	0.46      	0.00      	-27.61    	0.396     
7.17      	-8.6716e+01	-28.05    	0.48      	0.48      	0.00      	-27.57    	0.394     
