DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 938.21 s
TOTAL RUN TIME: 1059.92 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -115.51 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.021 (nm) : DELAY: 3.5 (s) 
DATE: 03/27/2026
TIME: 15:15:44

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
4.58      	-1.1551e+02	32.04     	0.38      	0.38      	0.00      	32.42     	3.415     
0.83      	-1.1550e+02	-21.43    	0.21      	0.21      	0.00      	-21.22    	3.400     
1.50      	-1.1550e+02	-21.57    	0.40      	0.40      	0.00      	-21.17    	3.398     
2.00      	-1.1548e+02	-21.75    	0.56      	0.56      	0.00      	-21.19    	3.396     
2.50      	-1.1548e+02	-21.89    	0.46      	0.46      	0.00      	-21.43    	3.395     
2.92      	-1.1548e+02	-21.82    	0.41      	0.41      	0.00      	-21.41    	3.393     
3.58      	-1.1548e+02	-21.77    	0.41      	0.41      	0.00      	-21.36    	3.391     
3.92      	-1.1547e+02	-21.83    	0.41      	0.41      	0.00      	-21.42    	3.389     
4.58      	-1.1547e+02	-21.82    	0.38      	0.38      	0.00      	-21.44    	3.387     
5.08      	-1.1547e+02	-21.97    	0.40      	0.40      	0.00      	-21.57    	3.384     
5.58      	-1.1547e+02	-21.94    	0.42      	0.42      	0.00      	-21.52    	3.382     
6.08      	-1.1545e+02	-21.98    	0.44      	0.44      	0.00      	-21.54    	3.379     
6.67      	-1.1546e+02	-22.01    	0.47      	0.47      	0.00      	-21.54    	3.377     
7.17      	-1.1547e+02	-22.06    	0.48      	0.48      	0.00      	-21.58    	3.375     
