DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -3.000000E+00 V
FREQUENCY SWEEP RUN TIME: 649.52 s
TOTAL RUN TIME: 753.30 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -1.036 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.009 (nm) : DELAY: 3.5 (s) 
DATE: 03/27/2026
TIME: 12:28:17

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.33      	-1.0360e+00	-16.18    	0.11      	0.11      	0.00      	-16.07    	3.310     
0.83      	-1.0360e+00	-16.40    	0.21      	0.21      	0.00      	-16.19    	3.310     
1.50      	-1.0360e+00	-16.45    	0.40      	0.40      	0.00      	-16.05    	3.312     
1.83      	-1.0370e+00	-16.89    	0.51      	0.51      	0.00      	-16.38    	3.311     
2.50      	-1.0370e+00	-17.40    	0.46      	0.46      	0.00      	-16.94    	3.310     
2.92      	-1.0380e+00	-17.14    	0.41      	0.41      	0.00      	-16.73    	3.310     
3.58      	-1.0380e+00	-16.78    	0.41      	0.41      	0.00      	-16.37    	3.311     
4.08      	-1.0390e+00	-17.10    	0.41      	0.41      	0.00      	-16.69    	3.311     
4.42      	-1.0400e+00	-16.90    	0.38      	0.38      	0.00      	-16.52    	3.314     
5.08      	-1.0390e+00	-17.71    	0.40      	0.40      	0.00      	-17.31    	3.312     
5.42      	-1.0400e+00	-17.21    	0.41      	0.41      	0.00      	-16.80    	3.313     
6.08      	-1.0400e+00	-17.84    	0.44      	0.44      	0.00      	-17.40    	3.312     
6.67      	-1.0400e+00	-17.95    	0.47      	0.47      	0.00      	-17.48    	3.312     
7.17      	-1.0410e+00	-17.97    	0.48      	0.48      	0.00      	-17.49    	3.315     
7.50      	-1.0410e+00	-17.82    	0.49      	0.49      	0.00      	-17.33    	3.313     
8.00      	-1.0410e+00	-17.83    	0.50      	0.50      	0.00      	-17.33    	3.313     
8.50      	-1.0420e+00	-18.36    	0.43      	0.43      	0.00      	-17.93    	3.312     
9.00      	-1.0400e+00	-18.45    	0.21      	0.21      	0.00      	-18.24    	3.306     
9.33      	-1.0390e+00	-19.16    	0.10      	0.10      	0.00      	-19.06    	3.302     
10.00     	-1.0380e+00	-19.16    	0.35      	0.35      	0.00      	-18.81    	3.296     
10.33     	-1.0370e+00	-18.81    	0.20      	0.20      	0.00      	-18.61    	3.290     
11.00     	-1.0360e+00	-19.03    	0.04      	0.04      	0.00      	-18.99    	3.282     
11.33     	-1.0340e+00	-19.22    	0.03      	0.03      	0.00      	-19.19    	3.273     
11.83     	-1.0320e+00	-18.78    	0.07      	0.07      	0.00      	-18.71    	3.265     
12.17     	-1.0300e+00	-20.17    	0.01      	0.01      	0.00      	-20.16    	3.255     
12.67     	-1.0290e+00	-20.31    	0.15      	0.15      	0.00      	-20.16    	3.247     
13.17     	-1.0270e+00	-20.53    	0.35      	0.35      	0.00      	-20.18    	3.239     
13.67     	-1.0250e+00	-21.07    	0.51      	0.51      	0.00      	-20.56    	3.231     
14.33     	-1.0250e+00	-21.03    	0.53      	0.53      	0.00      	-20.50    	3.229     
14.83     	-1.0260e+00	-20.48    	0.67      	0.67      	0.00      	-19.81    	3.230     
15.17     	-1.0270e+00	-20.77    	0.72      	0.72      	0.00      	-20.05    	3.232     
15.67     	-1.0270e+00	-21.24    	0.75      	0.75      	0.00      	-20.49    	3.233     
16.17     	-1.0270e+00	-21.05    	0.67      	0.67      	0.00      	-20.38    	3.234     
16.50     	-1.0280e+00	-22.93    	0.59      	0.59      	0.00      	-22.34    	3.233     
17.00     	-1.0280e+00	-22.03    	0.29      	0.29      	0.00      	-21.74    	3.233     
17.50     	-1.0280e+00	-22.49    	0.31      	0.31      	0.00      	-22.18    	3.233     
18.00     	-1.0310e+00	-22.19    	0.31      	0.31      	0.00      	-21.88    	3.243     
18.33     	-1.0300e+00	-22.10    	0.51      	0.51      	0.00      	-21.59    	3.240     
18.83     	-1.0300e+00	-22.11    	0.78      	0.78      	0.00      	-21.33    	3.238     
19.33     	-1.0300e+00	-22.63    	1.20      	1.20      	0.00      	-21.43    	3.238     
