DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -5.000000E+00 V
FREQUENCY SWEEP RUN TIME: 962.44 s
TOTAL RUN TIME: 1078.59 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -0.509 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.012 (nm) : DELAY: 3.5 (s) 
DATE: 03/27/2026
TIME: 13:42:36

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-5.0900e-01	-22.36    	0.14      	0.14      	0.00      	-22.22    	0.336     
1.00      	-5.0900e-01	-22.63    	0.23      	0.23      	0.00      	-22.40    	0.334     
1.50      	-5.0800e-01	-22.61    	0.40      	0.40      	0.00      	-22.21    	0.330     
2.00      	-5.0900e-01	-23.04    	0.56      	0.56      	0.00      	-22.48    	0.330     
2.50      	-5.0900e-01	-23.45    	0.46      	0.46      	0.00      	-22.99    	0.328     
3.08      	-5.0900e-01	-23.25    	0.42      	0.42      	0.00      	-22.83    	0.325     
3.58      	-5.0900e-01	-22.88    	0.41      	0.41      	0.00      	-22.47    	0.322     
4.08      	-5.0900e-01	-23.15    	0.41      	0.41      	0.00      	-22.74    	0.319     
4.42      	-5.0900e-01	-22.87    	0.38      	0.38      	0.00      	-22.49    	0.317     
5.08      	-5.0900e-01	-23.64    	0.40      	0.40      	0.00      	-23.24    	0.314     
5.58      	-5.0900e-01	-23.10    	0.42      	0.42      	0.00      	-22.68    	0.312     
5.92      	-5.0900e-01	-23.91    	0.43      	0.43      	0.00      	-23.48    	0.311     
6.67      	-5.0900e-01	-23.77    	0.47      	0.47      	0.00      	-23.30    	0.308     
7.17      	-5.0900e-01	-23.83    	0.48      	0.48      	0.00      	-23.35    	0.306     
7.67      	-5.0800e-01	-23.53    	0.49      	0.49      	0.00      	-23.04    	0.300     
8.17      	-5.0800e-01	-23.50    	0.48      	0.48      	0.00      	-23.02    	0.298     
8.67      	-5.0900e-01	-23.87    	0.39      	0.39      	0.00      	-23.48    	0.296     
9.33      	-5.0900e-01	-24.35    	0.10      	0.10      	0.00      	-24.25    	0.298     
9.83      	-5.0900e-01	-24.12    	0.33      	0.33      	0.00      	-23.79    	0.297     
10.33     	-5.0900e-01	-24.73    	0.20      	0.20      	0.00      	-24.53    	0.296     
10.83     	-5.1000e-01	-24.35    	0.09      	0.09      	0.00      	-24.26    	0.296     
11.17     	-5.1000e-01	-24.10    	0.00      	0.00      	0.00      	-24.10    	0.297     
11.67     	-5.1000e-01	-23.77    	0.06      	0.06      	0.00      	-23.71    	0.297     
12.17     	-5.1100e-01	-24.99    	0.01      	0.01      	0.00      	-24.98    	0.299     
12.67     	-5.1100e-01	-24.92    	0.15      	0.15      	0.00      	-24.77    	0.301     
13.17     	-5.1100e-01	-25.16    	0.35      	0.35      	0.00      	-24.81    	0.303     
13.83     	-5.1200e-01	-25.92    	0.56      	0.56      	0.00      	-25.36    	0.305     
14.17     	-5.1300e-01	-25.50    	0.52      	0.52      	0.00      	-24.98    	0.308     
