DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -5.000000E+00 V
FREQUENCY SWEEP RUN TIME: 740.97 s
TOTAL RUN TIME: 862.35 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -3.048 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.6 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.022 (nm) : DELAY: 3.5 (s) 
DATE: 03/27/2026
TIME: 13:59:42

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-3.0480e+00	-6.81     	0.14      	0.14      	0.00      	-6.67     	8.245     
1.00      	-3.0480e+00	-7.05     	0.23      	0.23      	0.00      	-6.82     	8.244     
1.67      	-3.0480e+00	-7.55     	0.46      	0.46      	0.00      	-7.09     	8.243     
2.17      	-3.0490e+00	-7.27     	0.54      	0.54      	0.00      	-6.73     	8.241     
2.67      	-3.0480e+00	-7.78     	0.41      	0.41      	0.00      	-7.37     	8.239     
3.08      	-3.0480e+00	-7.75     	0.42      	0.42      	0.00      	-7.33     	8.237     
3.58      	-3.0490e+00	-7.32     	0.41      	0.41      	0.00      	-6.91     	8.235     
4.08      	-3.0470e+00	-7.58     	0.41      	0.41      	0.00      	-7.17     	8.232     
4.58      	-3.0460e+00	-7.31     	0.38      	0.38      	0.00      	-6.93     	8.228     
5.25      	-3.0480e+00	-8.14     	0.41      	0.41      	0.00      	-7.73     	8.226     
5.58      	-3.0470e+00	-7.95     	0.42      	0.42      	0.00      	-7.53     	8.224     
6.08      	-3.0470e+00	-8.03     	0.44      	0.44      	0.00      	-7.59     	8.223     
6.83      	-3.0470e+00	-8.16     	0.47      	0.47      	0.00      	-7.69     	8.221     
7.17      	-3.0480e+00	-8.32     	0.48      	0.48      	0.00      	-7.84     	8.219     
7.67      	-3.0500e+00	-7.94     	0.49      	0.49      	0.00      	-7.45     	8.218     
8.17      	-3.0500e+00	-7.89     	0.48      	0.48      	0.00      	-7.41     	8.217     
8.83      	-3.0520e+00	-8.28     	0.31      	0.31      	0.00      	-7.97     	8.216     
9.33      	-3.0520e+00	-8.75     	0.10      	0.10      	0.00      	-8.65     	8.216     
9.67      	-3.0540e+00	-8.59     	0.28      	0.28      	0.00      	-8.31     	8.215     
10.17     	-3.0560e+00	-9.31     	0.29      	0.29      	0.00      	-9.02     	8.215     
10.67     	-3.0570e+00	-8.59     	0.12      	0.12      	0.00      	-8.47     	8.215     
11.17     	-3.0590e+00	-8.36     	0.00      	0.00      	0.00      	-8.36     	8.215     
11.67     	-3.0580e+00	-8.45     	0.06      	0.06      	0.00      	-8.39     	8.215     
12.17     	-3.0630e+00	-9.40     	0.01      	0.01      	0.00      	-9.39     	8.216     
12.67     	-3.0660e+00	-9.45     	0.15      	0.15      	0.00      	-9.30     	8.218     
13.17     	-3.0690e+00	-9.51     	0.35      	0.35      	0.00      	-9.16     	8.221     
13.83     	-3.0740e+00	-10.27    	0.56      	0.56      	0.00      	-9.71     	8.224     
14.33     	-3.0780e+00	-10.00    	0.53      	0.53      	0.00      	-9.47     	8.227     
15.00     	-3.0820e+00	-9.49     	0.69      	0.69      	0.00      	-8.80     	8.230     
15.50     	-3.0840e+00	-9.32     	0.77      	0.77      	0.00      	-8.55     	8.231     
16.17     	-3.0880e+00	-9.55     	0.67      	0.67      	0.00      	-8.88     	8.232     
16.50     	-3.0890e+00	-11.64    	0.59      	0.59      	0.00      	-11.05    	8.232     
17.00     	-3.0900e+00	-10.64    	0.29      	0.29      	0.00      	-10.35    	8.232     
17.50     	-3.0930e+00	-11.13    	0.31      	0.31      	0.00      	-10.82    	8.233     
18.00     	-3.0970e+00	-10.72    	0.31      	0.31      	0.00      	-10.41    	8.234     
18.50     	-3.0990e+00	-10.67    	0.62      	0.62      	0.00      	-10.05    	8.235     
19.00     	-3.1030e+00	-10.53    	0.97      	0.97      	0.00      	-9.56     	8.237     
19.67     	-3.1050e+00	-10.85    	1.30      	1.30      	0.00      	-9.55     	8.239     
20.17     	-3.1090e+00	-12.22    	1.60      	1.60      	0.00      	-10.62    	8.240     
20.67     	-3.1100e+00	-12.42    	1.97      	1.97      	0.00      	-10.45    	8.240     
21.17     	-3.1140e+00	-12.04    	2.11      	2.11      	0.00      	-9.93     	8.241     
21.67     	-3.1140e+00	-12.09    	1.79      	1.79      	0.00      	-10.30    	8.242     
22.17     	-3.1160e+00	-11.86    	1.46      	1.46      	0.00      	-10.40    	8.242     
22.50     	-3.1190e+00	-11.87    	1.36      	1.36      	0.00      	-10.51    	8.243     
23.17     	-3.1210e+00	-11.87    	1.24      	1.24      	0.00      	-10.63    	8.244     
23.67     	-3.1250e+00	-13.04    	1.22      	1.22      	0.00      	-11.82    	8.245     
24.33     	-3.1270e+00	-13.49    	1.25      	1.25      	0.00      	-12.24    	8.246     
24.67     	-3.1290e+00	-13.57    	1.24      	1.24      	0.00      	-12.33    	8.245     
25.17     	-3.1300e+00	-13.71    	1.22      	1.22      	0.00      	-12.49    	8.246     
25.67     	-3.1330e+00	-13.00    	1.12      	1.12      	0.00      	-11.88    	8.246     
26.17     	-3.1340e+00	-13.99    	0.98      	0.98      	0.00      	-13.01    	8.244     
26.83     	-3.1350e+00	-14.06    	1.01      	1.01      	0.00      	-13.05    	8.243     
27.25     	-3.1360e+00	-14.24    	0.94      	0.94      	0.00      	-13.30    	8.242     
27.75     	-3.1350e+00	-14.76    	0.97      	0.97      	0.00      	-13.79    	8.240     
28.25     	-3.1380e+00	-15.13    	0.98      	0.98      	0.00      	-14.15    	8.240     
28.75     	-3.1370e+00	-14.55    	0.99      	0.99      	0.00      	-13.56    	8.238     
29.25     	-3.1380e+00	-14.50    	1.00      	1.00      	0.00      	-13.50    	8.236     
29.92     	-3.1390e+00	-14.36    	1.24      	1.24      	0.00      	-13.12    	8.233     
30.58     	-3.1390e+00	-16.66    	1.23      	1.23      	0.00      	-15.43    	8.230     
31.08     	-3.1380e+00	-17.34    	1.44      	1.44      	0.00      	-15.90    	8.229     
