F_BEAT (GHz),Cal RF POW (dBm)
0.50,-16.55
0.83,-16.60
1.33,-16.70
1.83,-17.09
2.33,-17.09
2.92,-16.84
3.42,-18.11
4.08,-18.98
4.58,-17.85
5.08,-18.13
5.42,-17.09
6.08,-17.87
6.42,-17.76
7.17,-17.40
7.67,-17.35
8.33,-17.48
8.67,-17.74
9.17,-17.78
9.67,-17.90
10.50,-18.07
11.00,-17.89
11.50,-17.72
12.00,-17.46
12.50,-18.01
13.00,-18.14
13.50,-18.65
14.00,-18.61
14.50,-18.62
15.00,-18.11
15.50,-18.28
16.17,-18.05
16.50,-19.35
17.17,-19.01
17.67,-20.07
18.17,-19.32
18.67,-18.94
19.17,-19.28
19.83,-19.23
20.17,-19.85
20.83,-20.27
