DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 392.43 s
TOTAL RUN TIME: 423.10 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -5.979 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.2 (nm) : STARTING WAVELENGTH FOR LASER 4: 1554.593 (nm) : DELAY: 3.5 (s) 
DATE: 01/21/2026
TIME: 17:04:44

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
1.17      	-5.9790e+00	-1.82     	0.25      	0.25      	0.00      	-1.57     	13.341    
1.67      	-5.9780e+00	-2.05     	0.40      	0.40      	0.00      	-1.65     	13.340    
2.17      	-5.9750e+00	-1.76     	0.50      	0.50      	0.00      	-1.26     	13.339    
2.67      	-5.9740e+00	-2.27     	0.36      	0.36      	0.00      	-1.91     	13.338    
3.25      	-5.9710e+00	-3.45     	0.36      	0.36      	0.00      	-3.09     	13.337    
3.75      	-5.9770e+00	-4.06     	0.35      	0.35      	0.00      	-3.71     	13.335    
4.25      	-5.9690e+00	-3.19     	0.34      	0.34      	0.00      	-2.85     	13.334    
4.75      	-5.9700e+00	-1.72     	0.32      	0.32      	0.00      	-1.40     	13.333    
5.25      	-5.9700e+00	-2.56     	0.32      	0.32      	0.00      	-2.24     	13.331    
5.75      	-5.9660e+00	-2.91     	0.34      	0.34      	0.00      	-2.57     	13.330    
6.50      	-5.9670e+00	-2.59     	0.36      	0.36      	0.00      	-2.23     	13.330    
7.00      	-5.9710e+00	-2.33     	0.38      	0.38      	0.00      	-1.95     	13.331    
7.50      	-5.9740e+00	-2.62     	0.40      	0.40      	0.00      	-2.22     	13.331    
8.00      	-5.9780e+00	-2.32     	0.41      	0.41      	0.00      	-1.91     	13.332    
8.50      	-5.9710e+00	-2.43     	0.42      	0.42      	0.00      	-2.01     	13.332    
9.33      	-5.9710e+00	-2.94     	0.45      	0.45      	0.00      	-2.49     	13.332    
9.83      	-5.9720e+00	-2.69     	0.47      	0.47      	0.00      	-2.22     	13.332    
10.33     	-5.9790e+00	-3.21     	0.49      	0.49      	0.00      	-2.72     	13.332    
10.83     	-5.9790e+00	-2.70     	0.53      	0.53      	0.00      	-2.17     	13.333    
11.33     	-5.9740e+00	-2.77     	0.56      	0.56      	0.00      	-2.21     	13.334    
11.83     	-5.9750e+00	-2.40     	0.59      	0.59      	0.00      	-1.81     	13.335    
12.33     	-5.9710e+00	-2.95     	0.62      	0.62      	0.00      	-2.33     	13.336    
12.83     	-5.9720e+00	-3.11     	0.65      	0.65      	0.00      	-2.46     	13.337    
13.50     	-5.9800e+00	-3.57     	0.72      	0.72      	0.00      	-2.85     	13.337    
14.17     	-5.9800e+00	-3.55     	0.78      	0.78      	0.00      	-2.77     	13.337    
14.50     	-5.9800e+00	-3.73     	0.81      	0.81      	0.00      	-2.92     	13.337    
15.17     	-5.9770e+00	-3.18     	0.88      	0.88      	0.00      	-2.30     	13.336    
15.67     	-5.9840e+00	-3.41     	0.90      	0.90      	0.00      	-2.51     	13.337    
16.17     	-5.9840e+00	-3.11     	0.95      	0.95      	0.00      	-2.16     	13.337    
16.67     	-5.9870e+00	-4.51     	0.95      	0.95      	0.00      	-3.56     	13.337    
17.17     	-5.9850e+00	-4.12     	0.94      	0.94      	0.00      	-3.18     	13.338    
17.83     	-5.9880e+00	-4.80     	0.95      	0.95      	0.00      	-3.85     	13.339    
18.33     	-5.9910e+00	-4.52     	0.96      	0.96      	0.00      	-3.56     	13.339    
18.83     	-5.9890e+00	-3.94     	0.99      	0.99      	0.00      	-2.95     	13.340    
19.33     	-5.9890e+00	-4.10     	1.03      	1.03      	0.00      	-3.07     	13.340    
19.83     	-5.9940e+00	-4.42     	1.07      	1.07      	0.00      	-3.35     	13.341    
20.33     	-5.9980e+00	-4.73     	1.09      	1.09      	0.00      	-3.64     	13.341    
20.83     	-6.0010e+00	-5.53     	1.10      	1.10      	0.00      	-4.43     	13.342    
21.50     	-6.0000e+00	-4.77     	1.05      	1.05      	0.00      	-3.72     	13.344    
22.00     	-5.9990e+00	-5.65     	1.06      	1.06      	0.00      	-4.59     	13.346    
22.50     	-6.0020e+00	-4.94     	1.08      	1.08      	0.00      	-3.86     	13.346    
23.17     	-6.0080e+00	-4.94     	1.09      	1.09      	0.00      	-3.85     	13.347    
23.67     	-6.0000e+00	-5.31     	1.12      	1.12      	0.00      	-4.19     	13.347    
24.17     	-6.0100e+00	-5.88     	1.16      	1.16      	0.00      	-4.72     	13.346    
24.67     	-6.0090e+00	-6.38     	1.19      	1.19      	0.00      	-5.19     	13.345    
25.33     	-6.0100e+00	-6.75     	1.21      	1.21      	0.00      	-5.54     	13.344    
26.00     	-6.0080e+00	-6.06     	1.11      	1.11      	0.00      	-4.95     	13.343    
26.50     	-6.0040e+00	-5.71     	1.05      	1.05      	0.00      	-4.66     	13.342    
27.25     	-6.0100e+00	-6.84     	0.95      	0.95      	0.00      	-5.89     	13.342    
27.75     	-6.0060e+00	-6.87     	0.93      	0.93      	0.00      	-5.94     	13.340    
