DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 625.13 s
TOTAL RUN TIME: 714.35 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -1.001 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.058 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 22:08:46

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-1.0010e+00	-16.50    	0.12      	0.12      	0.00      	-16.38    	5.943     
1.00      	-1.0000e+00	-16.72    	0.20      	0.20      	0.00      	-16.52    	5.942     
1.50      	-1.0000e+00	-16.70    	0.35      	0.35      	0.00      	-16.35    	5.941     
2.00      	-1.0010e+00	-17.13    	0.52      	0.52      	0.00      	-16.61    	5.942     
2.50      	-1.0000e+00	-17.70    	0.42      	0.42      	0.00      	-17.28    	5.940     
2.92      	-1.0010e+00	-17.30    	0.36      	0.36      	0.00      	-16.94    	5.942     
3.42      	-1.0010e+00	-17.24    	0.35      	0.35      	0.00      	-16.89    	5.941     
4.08      	-1.0010e+00	-17.32    	0.36      	0.36      	0.00      	-16.96    	5.942     
4.58      	-1.0010e+00	-16.87    	0.32      	0.32      	0.00      	-16.55    	5.942     
5.08      	-1.0010e+00	-17.58    	0.32      	0.32      	0.00      	-17.26    	5.942     
5.58      	-1.0020e+00	-17.14    	0.33      	0.33      	0.00      	-16.81    	5.945     
6.08      	-1.0030e+00	-17.61    	0.35      	0.35      	0.00      	-17.26    	5.949     
6.67      	-1.0040e+00	-17.55    	0.37      	0.37      	0.00      	-17.18    	5.952     
7.17      	-1.0050e+00	-17.43    	0.39      	0.39      	0.00      	-17.04    	5.956     
7.83      	-1.0060e+00	-17.12    	0.41      	0.41      	0.00      	-16.71    	5.960     
8.17      	-1.0070e+00	-17.18    	0.42      	0.42      	0.00      	-16.76    	5.965     
8.83      	-1.0090e+00	-17.40    	0.43      	0.43      	0.00      	-16.97    	5.971     
9.17      	-1.0100e+00	-17.80    	0.44      	0.44      	0.00      	-17.36    	5.977     
9.67      	-1.0120e+00	-17.54    	0.46      	0.46      	0.00      	-17.08    	5.983     
10.17     	-1.0130e+00	-18.12    	0.48      	0.48      	0.00      	-17.64    	5.988     
10.67     	-1.0150e+00	-17.48    	0.52      	0.52      	0.00      	-16.96    	5.993     
11.33     	-1.0150e+00	-17.51    	0.56      	0.56      	0.00      	-16.95    	5.997     
11.67     	-1.0160e+00	-17.24    	0.58      	0.58      	0.00      	-16.66    	6.002     
12.17     	-1.0180e+00	-18.30    	0.61      	0.61      	0.00      	-17.69    	6.006     
12.67     	-1.0190e+00	-18.39    	0.64      	0.64      	0.00      	-17.75    	6.011     
13.17     	-1.0200e+00	-18.61    	0.68      	0.68      	0.00      	-17.93    	6.016     
13.67     	-1.0210e+00	-19.29    	0.74      	0.74      	0.00      	-18.55    	6.020     
14.17     	-1.0220e+00	-18.82    	0.78      	0.78      	0.00      	-18.04    	6.024     
14.83     	-1.0230e+00	-18.76    	0.85      	0.85      	0.00      	-17.91    	6.028     
15.33     	-1.0230e+00	-19.16    	0.89      	0.89      	0.00      	-18.27    	6.031     
15.83     	-1.0240e+00	-20.14    	0.92      	0.92      	0.00      	-19.22    	6.035     
16.33     	-1.0250e+00	-20.95    	0.97      	0.97      	0.00      	-19.98    	6.039     
16.83     	-1.0260e+00	-20.75    	0.94      	0.94      	0.00      	-19.81    	6.040     
17.33     	-1.0260e+00	-21.61    	0.96      	0.96      	0.00      	-20.65    	6.040     
17.67     	-1.0260e+00	-21.40    	0.95      	0.95      	0.00      	-20.45    	6.042     
18.33     	-1.0260e+00	-21.55    	0.96      	0.96      	0.00      	-20.59    	6.042     
18.83     	-1.0260e+00	-21.86    	0.99      	0.99      	0.00      	-20.87    	6.042     
19.33     	-1.0260e+00	-22.45    	1.03      	1.03      	0.00      	-21.42    	6.042     
20.00     	-1.0260e+00	-23.58    	1.07      	1.07      	0.00      	-22.51    	6.040     
20.67     	-1.0250e+00	-24.33    	1.10      	1.10      	0.00      	-23.23    	6.039     
