DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 625.46 s
TOTAL RUN TIME: 679.44 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -1.046 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.013 (nm) : DELAY: 3.5 (s) 
DATE: 02/03/2026
TIME: 17:29:52

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.67      	-1.0460e+00	-16.14    	0.15      	0.15      	0.00      	-15.99    	6.628     
1.17      	-1.0460e+00	-16.42    	0.25      	0.25      	0.00      	-16.17    	6.628     
1.67      	-1.0460e+00	-16.64    	0.40      	0.40      	0.00      	-16.24    	6.628     
2.17      	-1.0460e+00	-16.65    	0.50      	0.50      	0.00      	-16.15    	6.626     
2.67      	-1.0450e+00	-16.96    	0.36      	0.36      	0.00      	-16.60    	6.625     
3.25      	-1.0450e+00	-17.18    	0.36      	0.36      	0.00      	-16.82    	6.622     
3.58      	-1.0440e+00	-16.79    	0.35      	0.35      	0.00      	-16.44    	6.617     
4.08      	-1.0430e+00	-16.87    	0.36      	0.36      	0.00      	-16.51    	6.615     
4.75      	-1.0430e+00	-16.60    	0.32      	0.32      	0.00      	-16.28    	6.611     
5.25      	-1.0420e+00	-17.09    	0.32      	0.32      	0.00      	-16.77    	6.609     
5.92      	-1.0410e+00	-17.45    	0.35      	0.35      	0.00      	-17.10    	6.607     
6.50      	-1.0420e+00	-17.15    	0.36      	0.36      	0.00      	-16.79    	6.608     
7.17      	-1.0420e+00	-17.04    	0.39      	0.39      	0.00      	-16.65    	6.608     
7.67      	-1.0440e+00	-17.00    	0.40      	0.40      	0.00      	-16.60    	6.607     
8.17      	-1.0420e+00	-16.74    	0.42      	0.42      	0.00      	-16.32    	6.606     
8.67      	-1.0410e+00	-17.12    	0.42      	0.42      	0.00      	-16.70    	6.603     
9.17      	-1.0400e+00	-17.30    	0.44      	0.44      	0.00      	-16.86    	6.602     
9.67      	-1.0400e+00	-17.37    	0.46      	0.46      	0.00      	-16.91    	6.599     
5.25      	-1.0440e+00	-17.03    	0.32      	0.32      	0.00      	-16.71    	6.616     
5.92      	-1.0430e+00	-17.41    	0.35      	0.35      	0.00      	-17.06    	6.614     
6.50      	-1.0440e+00	-17.01    	0.36      	0.36      	0.00      	-16.65    	6.614     
6.83      	-1.0440e+00	-17.05    	0.38      	0.38      	0.00      	-16.67    	6.615     
7.33      	-1.0430e+00	-17.16    	0.39      	0.39      	0.00      	-16.77    	6.614     
7.83      	-1.0430e+00	-16.74    	0.41      	0.41      	0.00      	-16.33    	6.613     
8.33      	-1.0430e+00	-16.94    	0.42      	0.42      	0.00      	-16.52    	6.611     
9.00      	-1.0430e+00	-17.05    	0.43      	0.43      	0.00      	-16.62    	6.608     
9.50      	-1.0410e+00	-17.67    	0.45      	0.45      	0.00      	-17.22    	6.607     
10.00     	-1.0420e+00	-17.45    	0.47      	0.47      	0.00      	-16.98    	6.606     
10.50     	-1.0410e+00	-17.27    	0.50      	0.50      	0.00      	-16.77    	6.606     
10.83     	-1.0430e+00	-17.35    	0.53      	0.53      	0.00      	-16.82    	6.607     
11.33     	-1.0430e+00	-17.41    	0.56      	0.56      	0.00      	-16.85    	6.607     
12.00     	-1.0430e+00	-17.76    	0.60      	0.60      	0.00      	-17.16    	6.606     
12.50     	-1.0430e+00	-17.82    	0.63      	0.63      	0.00      	-17.19    	6.605     
13.00     	-1.0430e+00	-18.40    	0.66      	0.66      	0.00      	-17.74    	6.604     
13.67     	-1.0430e+00	-19.09    	0.74      	0.74      	0.00      	-18.35    	6.603     
14.00     	-1.0430e+00	-18.44    	0.76      	0.76      	0.00      	-17.68    	6.604     
14.67     	-1.0440e+00	-18.89    	0.83      	0.83      	0.00      	-18.06    	6.604     
15.00     	-1.0430e+00	-19.06    	0.87      	0.87      	0.00      	-18.19    	6.605     
15.67     	-1.0440e+00	-19.56    	0.90      	0.90      	0.00      	-18.66    	6.607     
16.17     	-1.0450e+00	-20.04    	0.95      	0.95      	0.00      	-19.09    	6.610     
