DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 469.08 s
TOTAL RUN TIME: 552.39 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -49.109 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.055 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 17:28:30

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-4.9109e+01	-18.60    	0.12      	0.12      	0.00      	-18.48    	6.371     
1.00      	-4.9110e+01	-18.84    	0.20      	0.20      	0.00      	-18.64    	6.376     
1.50      	-4.9112e+01	-18.86    	0.35      	0.35      	0.00      	-18.51    	6.382     
2.00      	-4.9113e+01	-19.12    	0.52      	0.52      	0.00      	-18.60    	6.387     
2.50      	-4.9114e+01	-19.49    	0.42      	0.42      	0.00      	-19.07    	6.390     
2.92      	-4.9115e+01	-19.30    	0.36      	0.36      	0.00      	-18.94    	6.389     
3.58      	-4.9115e+01	-19.15    	0.35      	0.35      	0.00      	-18.80    	6.390     
3.92      	-4.9115e+01	-19.30    	0.36      	0.36      	0.00      	-18.94    	6.391     
4.75      	-4.9114e+01	-19.10    	0.32      	0.32      	0.00      	-18.78    	6.391     
5.08      	-4.9117e+01	-19.49    	0.32      	0.32      	0.00      	-19.17    	6.389     
5.58      	-4.9115e+01	-19.37    	0.33      	0.33      	0.00      	-19.04    	6.392     
6.08      	-4.9115e+01	-19.50    	0.35      	0.35      	0.00      	-19.15    	6.391     
6.67      	-4.9114e+01	-19.56    	0.37      	0.37      	0.00      	-19.19    	6.392     
7.17      	-4.9114e+01	-19.56    	0.39      	0.39      	0.00      	-19.17    	6.391     
7.67      	-4.9116e+01	-19.44    	0.40      	0.40      	0.00      	-19.04    	6.391     
8.33      	-4.9114e+01	-19.64    	0.42      	0.42      	0.00      	-19.22    	6.390     
8.83      	-4.9117e+01	-19.75    	0.43      	0.43      	0.00      	-19.32    	6.392     
9.33      	-4.9116e+01	-20.13    	0.45      	0.45      	0.00      	-19.68    	6.391     
9.67      	-4.9115e+01	-19.93    	0.46      	0.46      	0.00      	-19.47    	6.390     
10.33     	-4.9114e+01	-20.19    	0.49      	0.49      	0.00      	-19.70    	6.390     
10.83     	-4.9115e+01	-20.19    	0.53      	0.53      	0.00      	-19.66    	6.390     
11.33     	-4.9114e+01	-20.34    	0.56      	0.56      	0.00      	-19.78    	6.389     
11.83     	-4.9112e+01	-20.73    	0.59      	0.59      	0.00      	-20.14    	6.389     
12.33     	-4.9112e+01	-20.96    	0.62      	0.62      	0.00      	-20.34    	6.389     
12.83     	-4.9110e+01	-21.48    	0.65      	0.65      	0.00      	-20.83    	6.388     
13.50     	-4.9110e+01	-21.94    	0.72      	0.72      	0.00      	-21.22    	6.387     
14.00     	-4.9109e+01	-21.54    	0.76      	0.76      	0.00      	-20.78    	6.384     
14.50     	-4.9109e+01	-21.95    	0.81      	0.81      	0.00      	-21.14    	6.382     
15.00     	-4.9106e+01	-22.45    	0.87      	0.87      	0.00      	-21.58    	6.379     
15.50     	-4.9109e+01	-23.18    	0.89      	0.89      	0.00      	-22.29    	6.378     
