DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 625.42 s
TOTAL RUN TIME: 715.05 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -161.566 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.062 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 18:07:33

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.67      	-1.6157e+02	-24.04    	0.15      	0.15      	0.00      	-23.89    	6.376     
1.17      	-1.6154e+02	-24.08    	0.25      	0.25      	0.00      	-23.83    	6.377     
1.67      	-1.6153e+02	-24.34    	0.40      	0.40      	0.00      	-23.94    	6.379     
2.17      	-1.6151e+02	-24.51    	0.50      	0.50      	0.00      	-24.01    	6.380     
2.67      	-1.6148e+02	-24.43    	0.36      	0.36      	0.00      	-24.07    	6.382     
3.08      	-1.6148e+02	-24.47    	0.36      	0.36      	0.00      	-24.11    	6.383     
3.75      	-1.6148e+02	-24.55    	0.35      	0.35      	0.00      	-24.20    	6.385     
4.08      	-1.6147e+02	-24.54    	0.36      	0.36      	0.00      	-24.18    	6.386     
4.58      	-1.6147e+02	-24.62    	0.32      	0.32      	0.00      	-24.30    	6.387     
5.08      	-1.6147e+02	-24.62    	0.32      	0.32      	0.00      	-24.30    	6.388     
5.58      	-1.6147e+02	-24.73    	0.33      	0.33      	0.00      	-24.40    	6.388     
6.08      	-1.6145e+02	-24.65    	0.35      	0.35      	0.00      	-24.30    	6.388     
6.67      	-1.6145e+02	-24.71    	0.37      	0.37      	0.00      	-24.34    	6.388     
7.17      	-1.6146e+02	-24.75    	0.39      	0.39      	0.00      	-24.36    	6.387     
7.67      	-1.6145e+02	-24.82    	0.40      	0.40      	0.00      	-24.42    	6.387     
8.17      	-1.6144e+02	-24.97    	0.42      	0.42      	0.00      	-24.55    	6.385     
8.50      	-1.6144e+02	-24.96    	0.42      	0.42      	0.00      	-24.54    	6.385     
9.17      	-1.6144e+02	-25.08    	0.44      	0.44      	0.00      	-24.64    	6.383     
9.50      	-1.6145e+02	-25.02    	0.45      	0.45      	0.00      	-24.57    	6.383     
10.17     	-1.6143e+02	-25.15    	0.48      	0.48      	0.00      	-24.67    	6.381     
10.67     	-1.6142e+02	-25.29    	0.52      	0.52      	0.00      	-24.77    	6.380     
11.17     	-1.6143e+02	-25.35    	0.55      	0.55      	0.00      	-24.80    	6.380     
11.67     	-1.6141e+02	-25.48    	0.58      	0.58      	0.00      	-24.90    	6.379     
12.17     	-1.6143e+02	-25.84    	0.61      	0.61      	0.00      	-25.23    	6.378     
12.67     	-1.6141e+02	-26.15    	0.64      	0.64      	0.00      	-25.51    	6.377     
13.17     	-1.6139e+02	-26.29    	0.68      	0.68      	0.00      	-25.61    	6.374     
13.67     	-1.6139e+02	-26.38    	0.74      	0.74      	0.00      	-25.64    	6.372     
14.17     	-1.6140e+02	-26.70    	0.78      	0.78      	0.00      	-25.92    	6.368     
14.83     	-1.6140e+02	-26.54    	0.85      	0.85      	0.00      	-25.69    	6.366     
15.17     	-1.6140e+02	-26.98    	0.88      	0.88      	0.00      	-26.10    	6.365     
15.67     	-1.6140e+02	-27.45    	0.90      	0.90      	0.00      	-26.55    	6.362     
16.17     	-1.6139e+02	-28.12    	0.95      	0.95      	0.00      	-27.17    	6.360     
16.67     	-1.6138e+02	-27.64    	0.95      	0.95      	0.00      	-26.69    	6.357     
17.17     	-1.6138e+02	-28.26    	0.94      	0.94      	0.00      	-27.32    	6.354     
17.83     	-1.6137e+02	-28.21    	0.95      	0.95      	0.00      	-27.26    	6.350     
18.33     	-1.6137e+02	-28.40    	0.96      	0.96      	0.00      	-27.44    	6.348     
18.83     	-1.6138e+02	-28.66    	0.99      	0.99      	0.00      	-27.67    	6.345     
19.33     	-1.6138e+02	-29.14    	1.03      	1.03      	0.00      	-28.11    	6.342     
19.83     	-1.6137e+02	-30.00    	1.07      	1.07      	0.00      	-28.93    	6.340     
20.33     	-1.6137e+02	-29.65    	1.09      	1.09      	0.00      	-28.56    	6.339     
