DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -9.000000E+00 V
FREQUENCY SWEEP RUN TIME: 469.03 s
TOTAL RUN TIME: 558.29 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -1.086 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.055 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 17:11:05

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-1.0860e+00	-15.80    	0.12      	0.12      	0.00      	-15.68    	6.167     
1.00      	-1.0850e+00	-16.04    	0.20      	0.20      	0.00      	-15.84    	6.169     
1.50      	-1.0850e+00	-16.06    	0.35      	0.35      	0.00      	-15.71    	6.169     
1.83      	-1.0860e+00	-16.52    	0.46      	0.46      	0.00      	-16.06    	6.170     
2.67      	-1.0860e+00	-17.06    	0.36      	0.36      	0.00      	-16.70    	6.171     
3.08      	-1.0850e+00	-16.94    	0.36      	0.36      	0.00      	-16.58    	6.169     
3.58      	-1.0860e+00	-16.64    	0.35      	0.35      	0.00      	-16.29    	6.170     
4.08      	-1.0850e+00	-16.91    	0.36      	0.36      	0.00      	-16.55    	6.169     
4.75      	-1.0850e+00	-16.75    	0.32      	0.32      	0.00      	-16.43    	6.169     
5.25      	-1.0850e+00	-17.14    	0.32      	0.32      	0.00      	-16.82    	6.169     
5.75      	-1.0850e+00	-17.53    	0.34      	0.34      	0.00      	-17.19    	6.169     
6.25      	-1.0840e+00	-17.34    	0.36      	0.36      	0.00      	-16.98    	6.168     
6.83      	-1.0830e+00	-17.49    	0.38      	0.38      	0.00      	-17.11    	6.166     
7.33      	-1.0860e+00	-17.70    	0.39      	0.39      	0.00      	-17.31    	6.164     
8.00      	-1.0820e+00	-17.43    	0.41      	0.41      	0.00      	-17.02    	6.162     
8.50      	-1.0820e+00	-17.87    	0.42      	0.42      	0.00      	-17.45    	6.159     
9.00      	-1.0820e+00	-17.96    	0.43      	0.43      	0.00      	-17.53    	6.156     
9.33      	-1.0780e+00	-18.63    	0.45      	0.45      	0.00      	-18.18    	6.153     
9.83      	-1.0790e+00	-18.36    	0.47      	0.47      	0.00      	-17.89    	6.150     
10.33     	-1.0770e+00	-18.87    	0.49      	0.49      	0.00      	-18.38    	6.147     
10.67     	-1.0780e+00	-18.68    	0.52      	0.52      	0.00      	-18.16    	6.144     
11.17     	-1.0750e+00	-18.74    	0.55      	0.55      	0.00      	-18.19    	6.141     
11.67     	-1.0760e+00	-18.76    	0.58      	0.58      	0.00      	-18.18    	6.137     
12.33     	-1.0750e+00	-19.67    	0.62      	0.62      	0.00      	-19.05    	6.133     
12.67     	-1.0730e+00	-20.12    	0.64      	0.64      	0.00      	-19.48    	6.130     
13.25     	-1.0720e+00	-20.45    	0.69      	0.69      	0.00      	-19.76    	6.126     
13.83     	-1.0720e+00	-20.81    	0.75      	0.75      	0.00      	-20.06    	6.123     
14.50     	-1.0700e+00	-21.22    	0.81      	0.81      	0.00      	-20.41    	6.119     
14.83     	-1.0700e+00	-20.98    	0.85      	0.85      	0.00      	-20.13    	6.115     
15.33     	-1.0700e+00	-21.38    	0.89      	0.89      	0.00      	-20.49    	6.111     
