DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 644.51 s
TOTAL RUN TIME: 748.29 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -86.564 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.035 (nm) : DELAY: 3.5 (s) 
DATE: 02/25/2026
TIME: 21:32:07

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.33      	-8.6564e+01	-20.79    	0.11      	0.11      	0.00      	-20.68    	5.410     
0.83      	-8.6558e+01	-20.99    	0.21      	0.21      	0.00      	-20.78    	5.413     
1.50      	-8.6556e+01	-21.24    	0.40      	0.40      	0.00      	-20.84    	5.415     
1.83      	-8.6552e+01	-21.36    	0.51      	0.51      	0.00      	-20.85    	5.417     
2.50      	-8.6552e+01	-21.63    	0.46      	0.46      	0.00      	-21.17    	5.417     
3.08      	-8.6549e+01	-21.52    	0.42      	0.42      	0.00      	-21.10    	5.418     
3.58      	-8.6552e+01	-21.44    	0.41      	0.41      	0.00      	-21.03    	5.420     
4.08      	-8.6547e+01	-21.55    	0.41      	0.41      	0.00      	-21.14    	5.421     
4.58      	-8.6546e+01	-21.53    	0.38      	0.38      	0.00      	-21.15    	5.419     
5.25      	-8.6545e+01	-21.69    	0.41      	0.41      	0.00      	-21.28    	5.418     
5.75      	-8.6546e+01	-21.98    	0.42      	0.42      	0.00      	-21.56    	5.417     
6.25      	-8.6542e+01	-21.83    	0.45      	0.45      	0.00      	-21.38    	5.414     
6.83      	-8.6542e+01	-21.87    	0.47      	0.47      	0.00      	-21.40    	5.416     
7.50      	-8.6542e+01	-21.95    	0.49      	0.49      	0.00      	-21.46    	5.411     
7.83      	-8.6546e+01	-21.98    	0.49      	0.49      	0.00      	-21.49    	5.409     
8.33      	-8.6541e+01	-22.25    	0.46      	0.46      	0.00      	-21.79    	5.407     
8.83      	-8.6540e+01	-22.31    	0.31      	0.31      	0.00      	-22.00    	5.406     
9.33      	-8.6540e+01	-22.60    	0.10      	0.10      	0.00      	-22.50    	5.404     
10.00     	-8.6535e+01	-22.51    	0.35      	0.35      	0.00      	-22.16    	5.402     
10.33     	-8.6536e+01	-22.43    	0.20      	0.20      	0.00      	-22.23    	5.400     
11.00     	-8.6538e+01	-22.50    	0.04      	0.04      	0.00      	-22.46    	5.396     
11.50     	-8.6536e+01	-22.77    	0.01      	0.01      	0.00      	-22.76    	5.395     
12.00     	-8.6534e+01	-23.28    	0.03      	0.03      	0.00      	-23.25    	5.392     
12.50     	-8.6534e+01	-23.19    	0.09      	0.09      	0.00      	-23.10    	5.391     
13.00     	-8.6536e+01	-23.54    	0.32      	0.32      	0.00      	-23.22    	5.392     
13.50     	-8.6531e+01	-24.00    	0.38      	0.38      	0.00      	-23.62    	5.390     
14.00     	-8.6530e+01	-23.44    	0.53      	0.53      	0.00      	-22.91    	5.388     
14.67     	-8.6528e+01	-23.66    	0.63      	0.63      	0.00      	-23.03    	5.384     
15.17     	-8.6529e+01	-23.87    	0.72      	0.72      	0.00      	-23.15    	5.383     
15.67     	-8.6535e+01	-24.40    	0.75      	0.75      	0.00      	-23.65    	5.380     
16.00     	-8.6530e+01	-24.16    	0.70      	0.70      	0.00      	-23.46    	5.381     
16.50     	-8.6533e+01	-25.24    	0.59      	0.59      	0.00      	-24.65    	5.382     
17.17     	-8.6535e+01	-25.12    	0.24      	0.24      	0.00      	-24.88    	5.399     
17.67     	-8.6533e+01	-24.88    	0.35      	0.35      	0.00      	-24.53    	5.401     
18.17     	-8.6530e+01	-24.58    	0.36      	0.36      	0.00      	-24.22    	5.402     
18.67     	-8.6531e+01	-24.82    	0.67      	0.67      	0.00      	-24.15    	5.403     
19.17     	-8.6531e+01	-25.31    	1.12      	1.12      	0.00      	-24.19    	5.405     
19.83     	-8.6530e+01	-25.97    	1.36      	1.36      	0.00      	-24.61    	5.407     
20.17     	-8.6535e+01	-25.86    	1.60      	1.60      	0.00      	-24.26    	5.411     
20.83     	-8.6538e+01	-26.84    	2.09      	2.09      	0.00      	-24.75    	5.415     
