DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -5.000000E+00 V
FREQUENCY SWEEP RUN TIME: 576.16 s
TOTAL RUN TIME: 703.93 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p
INITIAL PHOTOCURRENT: -1.012 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1554.996 (nm) : DELAY: 3.5 (s) 
DATE: 02/25/2026
TIME: 20:52:01

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.33      	-1.0120e+00	-16.37    	0.11      	0.11      	0.00      	-16.26    	5.473     
1.17      	-1.0110e+00	-16.70    	0.29      	0.29      	0.00      	-16.41    	5.470     
1.50      	-1.0140e+00	-16.82    	0.40      	0.40      	0.00      	-16.42    	5.471     
2.00      	-1.0160e+00	-17.14    	0.56      	0.56      	0.00      	-16.58    	5.477     
2.50      	-1.0170e+00	-17.69    	0.46      	0.46      	0.00      	-17.23    	5.484     
3.08      	-1.0200e+00	-17.46    	0.42      	0.42      	0.00      	-17.04    	5.491     
3.58      	-1.0210e+00	-17.12    	0.41      	0.41      	0.00      	-16.71    	5.499     
4.08      	-1.0250e+00	-17.46    	0.41      	0.41      	0.00      	-17.05    	5.508     
4.75      	-1.0270e+00	-17.46    	0.38      	0.38      	0.00      	-17.08    	5.513     
5.25      	-1.0270e+00	-18.05    	0.41      	0.41      	0.00      	-17.64    	5.512     
5.75      	-1.0270e+00	-18.49    	0.42      	0.42      	0.00      	-18.07    	5.512     
6.25      	-1.0280e+00	-18.18    	0.45      	0.45      	0.00      	-17.73    	5.510     
7.00      	-1.0280e+00	-18.38    	0.48      	0.48      	0.00      	-17.90    	5.510     
7.50      	-1.0300e+00	-18.41    	0.49      	0.49      	0.00      	-17.92    	5.508     
8.17      	-1.0310e+00	-18.69    	0.48      	0.48      	0.00      	-18.21    	5.505     
3.75      	-1.0230e+00	-17.17    	0.41      	0.41      	0.00      	-16.76    	5.502     
4.08      	-1.0250e+00	-17.43    	0.41      	0.41      	0.00      	-17.02    	5.501     
4.58      	-1.0240e+00	-17.37    	0.38      	0.38      	0.00      	-16.99    	5.497     
5.25      	-1.0270e+00	-18.13    	0.41      	0.41      	0.00      	-17.72    	5.499     
5.75      	-1.0270e+00	-18.42    	0.42      	0.42      	0.00      	-18.00    	5.500     
6.25      	-1.0270e+00	-18.18    	0.45      	0.45      	0.00      	-17.73    	5.496     
6.83      	-1.0270e+00	-18.29    	0.47      	0.47      	0.00      	-17.82    	5.493     
7.50      	-1.0280e+00	-18.46    	0.49      	0.49      	0.00      	-17.97    	5.488     
8.00      	-1.0270e+00	-18.56    	0.50      	0.50      	0.00      	-18.06    	5.483     
8.50      	-1.0260e+00	-19.18    	0.43      	0.43      	0.00      	-18.75    	5.476     
9.00      	-1.0250e+00	-19.40    	0.21      	0.21      	0.00      	-19.19    	5.470     
9.50      	-1.0250e+00	-19.74    	0.21      	0.21      	0.00      	-19.53    	5.462     
10.00     	-1.0230e+00	-20.13    	0.35      	0.35      	0.00      	-19.78    	5.453     
10.50     	-1.0210e+00	-19.53    	0.15      	0.15      	0.00      	-19.38    	5.443     
11.17     	-1.0190e+00	-19.89    	0.00      	0.00      	0.00      	-19.89    	5.432     
11.67     	-1.0190e+00	-19.98    	0.06      	0.06      	0.00      	-19.92    	5.421     
12.17     	-1.0170e+00	-21.43    	0.01      	0.01      	0.00      	-21.42    	5.409     
12.67     	-1.0140e+00	-21.54    	0.15      	0.15      	0.00      	-21.39    	5.402     
13.17     	-1.0140e+00	-21.61    	0.35      	0.35      	0.00      	-21.26    	5.396     
13.67     	-1.0130e+00	-22.27    	0.51      	0.51      	0.00      	-21.76    	5.392     
14.17     	-1.0120e+00	-22.02    	0.52      	0.52      	0.00      	-21.50    	5.389     
14.67     	-1.0130e+00	-21.90    	0.63      	0.63      	0.00      	-21.27    	5.387     
