DEVICE NUMBER: 
COMMENTS: 
KEITHLEY VOLTAGE: -7.000000E+00 V
FREQUENCY SWEEP RUN TIME: 500.61 s
TOTAL RUN TIME: 589.65 s
RF Link Loss File (.xlsx): None
RF Probe Loss File (.s2p): C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p
INITIAL PHOTOCURRENT: -1.073 (mA)
STARTING WAVELENGTH FOR LASER 3: 1555.7 (nm) : STARTING WAVELENGTH FOR LASER 4: 1555.053 (nm) : DELAY: 3.5 (s) 
DATE: 02/04/2026
TIME: 18:48:07

F_BEAT(GHz)	I_PD (mA)	Raw RF POW (dBm)	Total RF Loss (dB)	Probe RF Loss (dB)	Link RF Loss (dB)	Cal RF POW (dBm)	VOA P Actual (dBm)
0.50      	-1.0730e+00	-15.90    	0.12      	0.12      	0.00      	-15.78    	6.401     
1.17      	-1.0730e+00	-16.16    	0.25      	0.25      	0.00      	-15.91    	6.402     
1.67      	-1.0750e+00	-16.27    	0.40      	0.40      	0.00      	-15.87    	6.404     
2.00      	-1.0750e+00	-16.54    	0.52      	0.52      	0.00      	-16.02    	6.405     
2.50      	-1.0750e+00	-17.15    	0.42      	0.42      	0.00      	-16.73    	6.406     
2.92      	-1.0750e+00	-16.80    	0.36      	0.36      	0.00      	-16.44    	6.406     
3.42      	-1.0760e+00	-16.59    	0.35      	0.35      	0.00      	-16.24    	6.407     
3.92      	-1.0760e+00	-16.77    	0.36      	0.36      	0.00      	-16.41    	6.408     
4.42      	-1.0770e+00	-16.38    	0.33      	0.33      	0.00      	-16.05    	6.407     
4.92      	-1.0760e+00	-16.95    	0.32      	0.32      	0.00      	-16.63    	6.408     
5.42      	-1.0760e+00	-16.54    	0.33      	0.33      	0.00      	-16.21    	6.408     
5.92      	-1.0760e+00	-17.34    	0.35      	0.35      	0.00      	-16.99    	6.408     
6.42      	-1.0770e+00	-16.95    	0.36      	0.36      	0.00      	-16.59    	6.406     
7.00      	-1.0760e+00	-16.96    	0.38      	0.38      	0.00      	-16.58    	6.406     
7.50      	-1.0760e+00	-17.11    	0.40      	0.40      	0.00      	-16.71    	6.404     
7.83      	-1.0750e+00	-16.76    	0.41      	0.41      	0.00      	-16.35    	6.402     
8.33      	-1.0750e+00	-17.16    	0.42      	0.42      	0.00      	-16.74    	6.401     
9.00      	-1.0750e+00	-17.23    	0.43      	0.43      	0.00      	-16.80    	6.399     
9.50      	-1.0730e+00	-17.84    	0.45      	0.45      	0.00      	-17.39    	6.398     
10.00     	-1.0740e+00	-17.65    	0.47      	0.47      	0.00      	-17.18    	6.397     
10.33     	-1.0740e+00	-17.61    	0.49      	0.49      	0.00      	-17.12    	6.396     
11.00     	-1.0740e+00	-17.59    	0.54      	0.54      	0.00      	-17.05    	6.393     
11.50     	-1.0740e+00	-17.82    	0.57      	0.57      	0.00      	-17.25    	6.392     
12.00     	-1.0740e+00	-18.33    	0.60      	0.60      	0.00      	-17.73    	6.390     
12.50     	-1.0730e+00	-18.50    	0.63      	0.63      	0.00      	-17.87    	6.388     
13.00     	-1.0720e+00	-19.15    	0.66      	0.66      	0.00      	-18.49    	6.386     
13.50     	-1.0710e+00	-19.80    	0.72      	0.72      	0.00      	-19.08    	6.383     
14.00     	-1.0700e+00	-19.22    	0.76      	0.76      	0.00      	-18.46    	6.381     
14.50     	-1.0700e+00	-19.86    	0.81      	0.81      	0.00      	-19.05    	6.379     
15.17     	-1.0690e+00	-20.13    	0.88      	0.88      	0.00      	-19.25    	6.376     
15.67     	-1.0690e+00	-21.00    	0.90      	0.90      	0.00      	-20.10    	6.372     
16.33     	-1.0680e+00	-21.90    	0.97      	0.97      	0.00      	-20.93    	6.369     
