name,material,x_min_um,x_max_um,x_span_um,y_min_um,y_max_um,y_span_um,z_min_um,z_max_um,z_span_um
Top contact,Au (Gold) - CRC,-2,2,4,0,4,4,1.640000000000000,1.740000000000000,0.09999999999999987
Contact_P+_InGaAs_50nm,InGaAs,-2,2,4,0,4,4,1.590000000000000,1.640000000000000,0.05000000000000004
InP_P+_cap_100nm,InP,-2,2,4,0,4,4,1.490000000000000,1.590000000000000,0.1000000000000001
11.5-InP,InP M,-0.3500000000000000,0.3500000000000000,0.7000000000000000,0,20,20,1.830000000000000,1.930000000000000,0.1000000000000001
Grading_P+_InGaAsP_Q1.1_15nm,InGaAsP Q1.1 y0.734,-2,2,4,0,4,4,1.475000000000000,1.490000000000000,0.01499999999999990
Grading_P+_InGaAsP_Q1.4_15nm,InGaAsP Q1.4 y0.326,-2,2,4,0,4,4,1.460000000000000,1.475000000000000,0.01500000000000012
Un-depleted_abs_p+_InGaAs_120nm,InGaAs,-2,2,4,0,4,4,1.340000000000000,1.460000000000000,0.1200000000000001
Un-deplted_abs_P+_InGaAs2_180nm,InGaAs,-2,2,4,0,4,4,1.160000000000000,1.340000000000000,0.1799999999999999
Un-depleted_abs_p+_InGaAs_180nm,InGaAs,-2,2,4,0,4,4,0.9800000000000000,1.160000000000000,0.1799999999999998
Depleted_abs_n-_InGaAs_160nm,InGaAs,-2,2,4,0,4,4,0.8199999999999998,0.9800000000000000,0.1600000000000001
Grading_n-_InGaAsP_Q1.4_15nm,InGaAsP Q1.4 y0.326,-2,2,4,0,4,4,0.8050000000000000,0.8199999999999998,0.01499999999999990
Grading_n-_InGaAsP_Q1.1_15nm,InGaAsP Q1.1 y0.734,-2,2,4,0,4,4,0.7900000000000000,0.8050000000000002,0.01500000000000001
Cliff_n-_InP_50nm,InP,-2,2,4,0,4,4,0.7400000000000000,0.7899999999999999,0.05000000000000004
Drift__n-_InP_300nm,InP,-2,2,4,0,4,4,0.4400000000000001,0.7400000000000000,0.2999999999999999
Drift_n-_InP_440nm,InP,-2,2,4,0,4,4,0,0.4400000000000000,0.4400000000000000
01-InP_n++,InP,-2,2,4,0,4,4,-1,-0.1000000000000000,0.8999999999999999
00-InP_Substrate,InP,-3.500000000000000,3.500000000000000,7,0,20,20,-1.500000000000000,-1,0.5000000000000000
Bot metal r,Au (Gold) - CRC,-2,2,4,0,4,4,-1.100000000000000,-1,0.1000000000000001
n_contact,InP,0.4000000000000001,0.7000000000000000,0.2999999999999999,0,20,20,0.3000000000000000,0.3500000000000000,0.05000000000000000
01-InP_n+,InP,-2,2,4,0,4,4,-0.09999999999999999,0,0.09999999999999999
