

z(m), Y
-1e-06, 1930.47
-1e-06, 1930.47
-9.69812e-07, 5897.04
-9.56094e-07, 8665.05
-9.37841e-07, 12879.9
-9.02223e-07, 18946.2
-8.29742e-07, 29886.3
-8.18302e-07, 31577.2
-8.10893e-07, 33583.3
-7.1826e-07, 52912.1
-6.83548e-07, 58829.4
-6.49179e-07, 67215
-5.50027e-07, 89975.6
-4.53232e-07, 133694
-4.19762e-07, 146473
-3.76837e-07, 187216
-2.92116e-07, 253665
-2.132e-07, 406953
-1.91944e-07, 437873
-1.83081e-07, 513206
-1.56674e-07, 886727
-1.46238e-07, 1.02592e+06
-1.43073e-07, 1.12009e+06
-1.31362e-07, 1.61232e+06
-1.185e-07, 2.10188e+06
-1.15482e-07, 2.44748e+06
-1.12324e-07, 3.31398e+06
-1.07548e-07, 4.94031e+06
-1.0493e-07, 8.48603e+06
-1.04807e-07, 8.44771e+06
-1e-07, 2.59879e+06
-9.68305e-08, 1.60101e+06
-9.52407e-08, 3.18906e+06
-9.36474e-08, 2.48355e+06
-9.10663e-08, 683929
-8.48544e-08, 300116
-7.88159e-08, 108325
-7.39338e-08, 63097.3
-6.5106e-08, 8726.77
-5.72016e-08, 3161.78
-5.43129e-08, 1241.63
-4.98005e-08, 2551.46
-3.73764e-08, 5858.07
-3.03069e-08, 59234.3
-2.59102e-08, 82743.8
-2.30322e-08, 129046
-1.74271e-08, 595149
-1.04511e-08, 976977
-6.24945e-09, 1.48392e+06
-1.05879e-22, 2.8713e+06
1.14628e-08, 2.25855e+06
1.71132e-08, 1.7622e+06
2.43728e-08, 1.26331e+06
3.121e-08, 951355
4.10125e-08, 683241
4.32378e-08, 607375
5.00515e-08, 499221
5.48347e-08, 408213
5.91118e-08, 361221
6.59352e-08, 283353
7.5114e-08, 226717
7.74475e-08, 213696
7.98369e-08, 199222
8.70999e-08, 158152
9.14935e-08, 139248
1.02957e-07, 106697
1.13407e-07, 85138
1.17923e-07, 75252.3
1.2378e-07, 66172.3
1.30752e-07, 53449.6
1.37352e-07, 47572.5
1.44257e-07, 42075.3
1.57808e-07, 36100.2
1.59262e-07, 35307.3
1.60347e-07, 35125
1.70261e-07, 33752.1
1.73725e-07, 33205.7
1.74202e-07, 33209
1.76135e-07, 33584.8
1.87703e-07, 35613.6
1.90833e-07, 37268.5
1.98444e-07, 40994.9
2.09559e-07, 49755.2
2.10161e-07, 50383.3
2.21914e-07, 65053.8
2.24506e-07, 69093.3
2.35402e-07, 83414.6
2.39215e-07, 88670.6
2.40495e-07, 92027.8
2.4338e-07, 102727
2.49365e-07, 125563
2.53698e-07, 134747
2.6246e-07, 154463
2.69026e-07, 179761
2.78369e-07, 235312
2.80083e-07, 245360
2.81389e-07, 255394
2.93593e-07, 333109
2.97913e-07, 363055
3.08942e-07, 462043
3.14848e-07, 525878
3.25847e-07, 625277
3.31726e-07, 687743
3.41214e-07, 791105
3.46234e-07, 864481
3.58708e-07, 1.05776e+06
3.60084e-07, 1.08067e+06
3.61562e-07, 1.10506e+06
3.72153e-07, 1.30847e+06
3.79861e-07, 1.41695e+06
3.85104e-07, 1.49057e+06
3.90909e-07, 1.60875e+06
3.96762e-07, 1.7169e+06
3.98988e-07, 1.76902e+06
4.0879e-07, 1.92576e+06
4.15627e-07, 2.04261e+06
4.22887e-07, 2.15607e+06
4.28537e-07, 2.24112e+06
4.4e-07, 2.4453e+06
4.49038e-07, 2.66374e+06
4.54146e-07, 2.81087e+06
4.57079e-07, 2.90306e+06
4.60367e-07, 2.96396e+06
4.6939e-07, 3.13666e+06
4.76333e-07, 3.28906e+06
4.83316e-07, 3.42566e+06
4.89947e-07, 3.56763e+06
