

z(m), Y
-1e-06, 196087
-9.93775e-07, 196086
-9.89866e-07, 196086
-9.83853e-07, 196090
-9.78883e-07, 196093
-9.75102e-07, 196096
-9.62746e-07, 196116
-9.42213e-07, 196179
-9.26724e-07, 196243
-8.65366e-07, 196628
-8.29607e-07, 196994
-7.49484e-07, 198476
-6.19007e-07, 201794
-5.38773e-07, 205876
-4.50677e-07, 224049
-4.16456e-07, 231873
-3.88814e-07, 242360
-3.43757e-07, 270548
-3.05367e-07, 298251
-2.58525e-07, 342072
-2.39094e-07, 369854
-2.08834e-07, 491326
-2.03032e-07, 521605
-1.92312e-07, 565434
-1.70771e-07, 672532
-1.58435e-07, 844548
-1.51802e-07, 945372
-1.41565e-07, 1.08716e+06
-1.35698e-07, 1.17379e+06
-1.28945e-07, 1.55032e+06
-1.27325e-07, 1.6329e+06
-1.26419e-07, 1.6679e+06
-1.18358e-07, 2.11237e+06
-1.14297e-07, 2.4561e+06
-1.10503e-07, 2.75403e+06
-1.08411e-07, 3.17056e+06
-1.05496e-07, 4.18985e+06
-1.05213e-07, 4.33768e+06
-1.04455e-07, 4.83011e+06
-1.03118e-07, 5.59697e+06
-1.01848e-07, 6.56104e+06
-1.01315e-07, 7.21177e+06
-1e-07, 4.18383e+06
-9.87361e-08, 380408
-9.82268e-08, 459791
-9.73494e-08, 401814
-9.53152e-08, 249102
-9.47525e-08, 224707
-9.42829e-08, 209851
-9.09235e-08, 83614.5
-8.54424e-08, 34888.9
-8.16527e-08, 16468.2
-7.64265e-08, 7641.51
-6.9414e-08, 2154.04
-6.11344e-08, 786.912
-5.06131e-08, 2390.87
-3.15199e-08, 38048.9
-2.70601e-08, 43402.4
-2.30322e-08, 78109.4
-1.74271e-08, 554740
-1.04511e-08, 990736
-6.24945e-09, 1.52235e+06
-1.05879e-22, 2.91239e+06
1.13778e-08, 2.57328e+06
1.38657e-08, 2.18776e+06
2.05786e-08, 1.24843e+06
3.70703e-08, 731805
4.14601e-08, 583344
4.47193e-08, 526272
7.5362e-08, 214405
9.0203e-08, 153699
1.21985e-07, 235252
1.90444e-07, 308486
2.20116e-07, 434421
2.49825e-07, 683794
3.18219e-07, 1.13842e+06
3.50016e-07, 1.37734e+06
3.6482e-07, 1.74152e+06
3.95281e-07, 2.68158e+06
3.9854e-07, 2.75145e+06
4.07417e-07, 2.93495e+06
4.18217e-07, 3.15381e+06
4.22887e-07, 3.28144e+06
4.28537e-07, 3.42072e+06
4.4e-07, 3.60539e+06
4.47578e-07, 3.84316e+06
4.51355e-07, 3.93559e+06
4.56864e-07, 4.06746e+06
4.65328e-07, 4.2984e+06
4.76555e-07, 4.58511e+06
4.84798e-07, 4.79147e+06
5.045e-07, 5.12906e+06
5.21971e-07, 5.47018e+06
5.43141e-07, 5.88359e+06
5.58574e-07, 6.31031e+06
5.84391e-07, 6.80368e+06
6.06133e-07, 7.26994e+06
6.27936e-07, 7.73428e+06
6.53101e-07, 8.16669e+06
6.81338e-07, 8.72236e+06
6.91854e-07, 8.89726e+06
6.94188e-07, 8.9648e+06
7.0416e-07, 9.21178e+06
7.1756e-07, 9.53352e+06
7.26894e-07, 9.81856e+06
7.30143e-07, 9.95011e+06
7.4e-07, 1.09294e+07
7.49172e-07, 1.30847e+07
7.52824e-07, 1.45017e+07
7.58329e-07, 1.59729e+07
7.70775e-07, 1.80212e+07
7.7398e-07, 1.89261e+07
7.80814e-07, 2.14181e+07
7.84542e-07, 2.22493e+07
7.9e-07, 2.42129e+07
8.05e-07, 2.44638e+07
8.2e-07, 2.18751e+07
8.26221e-07, 1.8747e+07
8.28519e-07, 1.75373e+07
8.31002e-07, 1.75636e+07
8.37803e-07, 1.76294e+07
8.41097e-07, 1.76708e+07
8.4751e-07, 1.77495e+07
8.50956e-07, 1.7777e+07
8.5965e-07, 1.78512e+07
8.62198e-07, 1.78801e+07
8.68967e-07, 1.79444e+07
8.72505e-07, 1.79956e+07
8.77726e-07, 1.80546e+07
8.81868e-07, 1.80852e+07
8.88347e-07, 1.81476e+07
8.93585e-07, 1.82137e+07
8.98206e-07, 1.82537e+07
9.02718e-07, 1.82944e+07
9.07087e-07, 1.83392e+07
9.10735e-07, 1.8376e+07
9.17172e-07, 1.84646e+07
9.18246e-07, 1.84831e+07
9.19423e-07, 1.84914e+07
9.2498e-07, 1.8536e+07
9.29116e-07, 1.85689e+07
9.30098e-07, 1.85789e+07
9.36807e-07, 1.86869e+07
9.37216e-07, 1.86916e+07
9.48079e-07, 1.87745e+07
9.50663e-07, 1.87954e+07
9.58178e-07, 1.88849e+07
9.61153e-07, 1.89192e+07
9.691e-07, 1.89612e+07
9.72271e-07, 1.89855e+07
9.75324e-07, 1.90389e+07
9.76018e-07, 1.90473e+07
9.77862e-07, 1.90723e+07
9.78204e-07, 1.90793e+07
9.8e-07, 1.90647e+07
9.80708e-07, 1.88365e+07
9.81272e-07, 1.851e+07
9.81386e-07, 1.84153e+07
9.81998e-07, 1.78558e+07
9.84681e-07, 1.62654e+07
9.84992e-07, 1.61308e+07
9.85094e-07, 1.60551e+07
9.85239e-07, 1.59642e+07
9.92131e-07, 1.39059e+07
9.93525e-07, 1.34685e+07
9.98765e-07, 1.10091e+07
1.00315e-06, 9.47248e+06
1.0086e-06, 7.57657e+06
1.0133e-06, 6.04793e+06
1.01759e-06, 4.38507e+06
1.02171e-06, 3.11092e+06
1.02529e-06, 2.10298e+06
1.02976e-06, 1.22231e+06
1.03152e-06, 959742
1.03455e-06, 775888
1.03952e-06, 391850
1.04701e-06, 222444
1.04971e-06, 155209
1.05183e-06, 122488
1.05954e-06, 50978.9
1.06267e-06, 37377.6
1.06759e-06, 14759.7
1.07049e-06, 9306.7
1.07646e-06, 5063.29
1.0802e-06, 3312.79
1.08707e-06, 2090.34
1.09016e-06, 1536.61
1.09921e-06, 1998.15
1.10079e-06, 2070.76
1.1022e-06, 2614.1
1.10974e-06, 6779.12
1.11405e-06, 11404.5
1.12224e-06, 23338.4
1.12595e-06, 32450.3
1.13188e-06, 78927.5
1.13328e-06, 108194
1.13924e-06, 218901
1.14514e-06, 484334
1.15044e-06, 745236
1.16e-06, 1.21861e+06
1.16753e-06, 669328
1.1723e-06, 342746
1.17794e-06, 102577
1.18748e-06, 31583.2
1.18982e-06, 15500.5
1.1914e-06, 12179.2
1.20108e-06, 1013.06
1.20183e-06, 840.92
1.20366e-06, 735.419
1.21331e-06, 111.287
1.22002e-06, 54.1383
1.22277e-06, 31.013
1.22498e-06, 26.1018
1.23167e-06, 18.7714
1.23214e-06, 18.1485
1.23232e-06, 18.0688
1.24144e-06, 17.1485
1.24214e-06, 17.1296
1.24328e-06, 17.1874
1.25054e-06, 17.4422
1.25681e-06, 17.9133
1.25832e-06, 18.1157
1.26483e-06, 19.3449
1.26997e-06, 25.4021
1.27432e-06, 32.9266
1.28117e-06, 74.3759
1.28482e-06, 105.896
1.2922e-06, 466.401
1.29491e-06, 759.87
1.30041e-06, 2997.5
1.30476e-06, 4237.08
1.30929e-06, 11276.2
1.31286e-06, 24828.5
1.3179e-06, 63606
1.3213e-06, 141462
1.32596e-06, 310623
1.3305e-06, 1.09986e+06
1.33218e-06, 1.43376e+06
1.33375e-06, 1.51015e+06
1.34e-06, 1.59966e+06
1.34854e-06, 589937
1.35461e-06, 271454
1.36057e-06, 28397.4
1.36592e-06, 8613.75
1.37048e-06, 817.281
1.37757e-06, 143.685
1.38117e-06, 39.8335
1.38644e-06, 23.0789
1.39032e-06, 9.21215
1.3965e-06, 8.0274
1.39952e-06, 7.84563
1.40758e-06, 8.21738
1.41166e-06, 8.64994
1.41795e-06, 20.7107
1.41989e-06, 23.7417
1.42131e-06, 60.6636
1.42959e-06, 482.16
1.43151e-06, 786.827
1.4376e-06, 5340.45
1.44176e-06, 9911.87
1.44564e-06, 62032
1.44576e-06, 64329.9
1.44684e-06, 135207
1.45025e-06, 359616
1.45222e-06, 963788
1.45468e-06, 1.67093e+06
1.4551e-06, 2.13034e+06
1.45639e-06, 5.03165e+06
1.45781e-06, 7.57618e+06
1.45815e-06, 1.01214e+07
1.46e-06, 2.68643e+07
1.46077e-06, 5.91848e+07
1.46122e-06, 5.28587e+07
1.46155e-06, 4.92301e+07
1.46296e-06, 4.09202e+07
1.46321e-06, 3.93845e+07
1.46349e-06, 3.67242e+07
1.46483e-06, 2.46225e+07
1.46728e-06, 4.89205e+06
1.46782e-06, 1.2096e+06
1.46828e-06, 2.03148e+06
1.47136e-06, 1.9617e+07
1.475e-06, 5.12783e+06
1.49e-06, 5.97172e+06
1.49525e-06, 1.40756e+07
1.49843e-06, 1.27181e+07
1.50266e-06, 7.56059e+06
1.50599e-06, 2.54537e+06
1.51626e-06, 721057
1.52348e-06, 139780
1.52694e-06, 82965.3
1.55546e-06, 103256
1.5586e-06, 160908
1.56143e-06, 880614
1.574e-06, 3.5099e+06
1.57754e-06, 1.1727e+07
