z(m), Y
-1.00E-06,20606.9
-7.46E-07,40508.2
-6.32E-07,74653.2
-5.37E-07,95336.5
-4.28E-07,149828
-3.90E-07,166288
-3.72E-07,187633
-2.79E-07,284211
-2.01E-07,525033
-1.98E-07,540404
-1.87E-07,656150
-1.47E-07,1.07E+06
-1.32E-07,1.77E+06
-1.26E-07,2.04E+06
-1.23E-07,2.50E+06
-1.17E-07,3.86E+06
-1.16E-07,4.16E+06
-1.09E-07,7.11E+06
-1.08E-07,8.62E+06
-1.00E-07,2.01E+06
-9.07E-08,4.03E+06
-8.88E-08,2.87E+06
-8.34E-08,606358
-6.84E-08,235046
-6.45E-08,96523.1
-6.06E-08,73813
-4.80E-08,14054.5
-3.41E-08,38142.5
-3.14E-08,43270.4
-2.85E-08,100890
-1.97E-08,292844
-1.26E-08,1.07E+06
-8.99E-09,1.74E+06
-1.74E-09,2.80E+06
-1.06E-22,3.21E+06
6.46E-09,2.92E+06
8.56E-09,2.91E+06
9.86E-09,2.85E+06
1.19E-08,2.61E+06
2.06E-08,1.42E+06
2.73E-08,1.10E+06
3.90E-08,612358
6.97E-08,272454
7.94E-08,154337
8.84E-08,128540
1.78E-07,84400.2
2.20E-07,123811
2.60E-07,343623
2.89E-07,547342
3.52E-07,1.14E+06
3.63E-07,1.24E+06
3.79E-07,1.55E+06
4.06E-07,2.02E+06
4.13E-07,2.19E+06
4.25E-07,2.54E+06
4.26E-07,2.58E+06
4.31E-07,2.72E+06
4.38E-07,2.84E+06
4.40E-07,2.90E+06
4.44E-07,3.05E+06
4.52E-07,3.16E+06
4.63E-07,3.52E+06
4.65E-07,3.57E+06
4.66E-07,3.59E+06
4.70E-07,3.70E+06
4.89E-07,4.18E+06
4.94E-07,4.33E+06
5.24E-07,5.04E+06
5.60E-07,5.54E+06
5.90E-07,6.07E+06
6.30E-07,6.76E+06
6.50E-07,7.18E+06
6.64E-07,7.55E+06
6.91E-07,8.18E+06
7.02E-07,8.42E+06
7.15E-07,8.76E+06
7.20E-07,8.89E+06
7.27E-07,9.10E+06
7.30E-07,9.21E+06
7.38E-07,9.70E+06
7.40E-07,1.02E+07
7.44E-07,1.17E+07
7.51E-07,1.33E+07
7.64E-07,1.61E+07
7.67E-07,1.67E+07
7.81E-07,1.97E+07
7.84E-07,2.08E+07
7.90E-07,2.23E+07
7.95E-07,2.34E+07
7.97E-07,2.38E+07
7.98E-07,2.39E+07
8.00E-07,2.39E+07
8.05E-07,2.38E+07
8.10E-07,2.37E+07
8.12E-07,2.37E+07
8.13E-07,2.36E+07
8.15E-07,2.33E+07
8.20E-07,2.24E+07
8.24E-07,2.19E+07
8.31E-07,2.17E+07
8.37E-07,2.18E+07
8.41E-07,2.19E+07
8.56E-07,2.21E+07
8.61E-07,2.22E+07
8.97E-07,2.24E+07
9.02E-07,2.24E+07
9.08E-07,2.25E+07
9.23E-07,2.28E+07
9.40E-07,2.30E+07
9.41E-07,2.31E+07
9.42E-07,2.31E+07
9.44E-07,2.31E+07
9.62E-07,2.33E+07
9.68E-07,2.34E+07
9.71E-07,2.34E+07
9.73E-07,2.35E+07
9.76E-07,2.35E+07
9.77E-07,2.35E+07
9.78E-07,2.36E+07
9.79E-07,2.36E+07
9.79E-07,2.36E+07
9.79E-07,2.35E+07
9.80E-07,2.35E+07
9.80E-07,2.33E+07
9.81E-07,2.30E+07
9.81E-07,2.28E+07
9.82E-07,2.21E+07
9.83E-07,2.18E+07
9.84E-07,2.08E+07
9.86E-07,2.02E+07
9.87E-07,1.89E+07
9.89E-07,1.76E+07
9.91E-07,1.70E+07
9.97E-07,1.45E+07
1.00E-06,7.97E+06
1.01E-06,6.44E+06
1.01E-06,5.89E+06
1.02E-06,3.15E+06
1.03E-06,1.22E+06
1.04E-06,1.04E+06
1.04E-06,986664
1.07E-06,40921.1
1.07E-06,26889
1.08E-06,22975.6
1.11E-06,6215.88
1.13E-06,45867.2
1.13E-06,49504.7
1.13E-06,62516.4
1.13E-06,135411
1.15E-06,443913
1.15E-06,1.03E+06
1.16E-06,1.17E+06
1.16E-06,1.32E+06
1.16E-06,1.15E+06
1.17E-06,714742
1.17E-06,191982
1.18E-06,97337.6
1.18E-06,82572.3
1.19E-06,10696.1
1.19E-06,5239.79
1.21E-06,979.657
1.24E-06,211.249
1.24E-06,22.47
1.25E-06,19.154
1.28E-06,220.65
1.29E-06,586.124
1.30E-06,13737.9
1.31E-06,18026.3
1.32E-06,95566.5
1.33E-06,657751
1.33E-06,886420
1.33E-06,1.15E+06
1.34E-06,1.91E+06
1.35E-06,1.09E+06
1.35E-06,777593
1.35E-06,659839
1.35E-06,566309
1.36E-06,30884.3
1.36E-06,13802.8
1.37E-06,1681.39
1.39E-06,188.109
1.41E-06,426.867
1.43E-06,3113.05
1.44E-06,51529.7
1.44E-06,55571.4
1.44E-06,161120
1.45E-06,1.85E+06
1.45E-06,3.23E+06
1.45E-06,6.27E+06
1.46E-06,1.52E+07
1.47E-06,1.18E+07
1.47E-06,1.06E+07
1.47E-06,1.01E+07
1.47E-06,8.71E+06
1.47E-06,4.90E+06
1.48E-06,6.27E+06
1.48E-06,2.24E+06
1.48E-06,696824
1.48E-06,455433
1.48E-06,3.76E+06
1.49E-06,1.29E+07
