D,V,lab,Rm,open,Cpd,Lc1,Lm,Lc2,rms,f_RC,f_RC0,f3,flag,use
25,-7,WO,170797.58849843184,True,100.40000000000002,75.42807445520131,0.0,113.1449422438762,0.1680713087629912,28.072223260369384,19.873240539431144,24.282107749367988,,True
30,-7,200,205.54287676184447,False,133.5,1.7108685029270355e-10,6.86559804819488e-19,195.51025795124832,0.06173420201345927,24.628981263719943,19.441289785078215,19.77629824025923,,True
30,-7,33/36,38.1533546432172,False,133.5,33.25564979700947,46.98190038305423,146.9884197485533,0.055789860745776645,41.381089705142685,32.7272118944026,32.660044953223895,,True
30,-7,55,60.34761941247577,False,133.5,34.04832956016247,68.06730489307623,151.58627688394333,0.059158934209215065,34.91457393109412,27.066423780412524,28.162945076636927,,True
30,-7,WO(A),26901.931935539636,True,133.5,74.97103389754982,0.0,112.44793769123228,0.06999549770537246,21.96423354184577,16.004679195969942,17.46499047184734,,True
30,-7,120,115.01047892837558,False,133.5,44.21457732570001,38.578185235538236,152.51661987137683,0.06291534632318976,28.786852632001974,22.03283243142841,27.05063993643161,,True
30,-7,32/40,37.938294147860866,False,133.5,24.609197027786127,24.792015737058293,162.34654654874993,0.06341344113598053,37.94875771686995,32.810444557589065,33.99532798691818,,True
30,-7,71/76,73.29008493398887,False,133.5,38.900514097935954,63.29859374839611,150.74273346191143,0.06592106246470697,32.68512879468463,25.241167142595387,31.35848904239999,,True
30,-7,WO(B),16549.095614389116,True,133.5,82.23476121710377,0.0,122.06408917085692,0.07536949478273267,22.25432607325578,16.004679195969942,19.39331773856102,,True
40,-7,100,107.54213960347053,False,227.60000000000002,178.83073665068844,6.569588697474198e-16,82.20375085203345,0.11940016129532426,20.125828034242783,14.299644416610692,14.764084398614465,,True
40,-7,140,142.52653410946385,False,227.60000000000002,187.08386625101198,8.153482693254384e-17,58.142114496303776,0.1290991892633435,18.774952318420645,13.353801429434856,14.472617014306902,,True
40,-7,40,42.52385943293988,False,227.60000000000002,2.679006659065817e-11,215.13097135286154,143.49777264609529,0.2213445528329389,30.720000439134196,19.67666581220857,16.895448297291118,poor S11 fit,False
40,-7,80(V2),80.34907342646851,False,227.60000000000002,175.6694605647774,3.488938159360096e-18,86.2623656627735,0.1319312007279021,21.816070818280014,15.564235175169504,16.11721434233676,,True
40,-7,WO(V2),13943.63029034255,True,227.60000000000002,111.85570021232934,0.0,149.4101675290315,0.16731744196819365,13.776148303923367,10.285747356782208,27.28603356182246,f3dB > fRC,False
25,-5,WO,-44391.00151539512,True,119.90000000000002,80.62853946829412,0.0,120.58943951134114,0.1784126449356234,24.409001832372358,17.397872806264797,20.982182310687847,,True
30,-5,200,202.2638390681768,False,161.10000000000002,1.3709769386621464,5.455519427932973e-18,201.2192490110616,0.06502231598293028,21.043614785041367,16.737320572055673,16.432441448308193,,True
30,-5,33/36,35.6820204098825,False,161.10000000000002,42.91300773850775,59.8039134914782,151.14068951725807,0.06341210076480194,37.785021357112335,28.768708457592123,33.20976420894229,,True
30,-5,55,57.513546476748324,False,161.10000000000002,40.73577565096034,90.77934451017613,155.92926759120223,0.06564214507556557,31.350308686354907,23.57487085894507,27.220453557917992,,True
30,-5,WO(A),41794.21570574908,True,161.10000000000002,78.80971350632511,0.0,118.21319196514882,0.07720795599772518,18.519624396968833,13.763904549774892,14.5775825528067,,True
40,-5,80(V2),77.17008451359483,False,274.6000000000001,175.3189270152731,1.5244835592436497e-16,93.17576965076157,0.1356207567552548,18.70322415410906,13.332042735153694,,no -3dB in sweep,False
40,-5,WO(V2),58279.610725825885,True,274.6000000000001,116.30544328036044,0.0,153.51334767883708,0.17007112644403488,11.357643426114652,8.724960807846859,10.027380830211536,,True
