D_um	Bias_V	R_m_ohm	C_PD_fF	f_RC_2L_GHz	f_RC_noL_GHz	f_3dB_GHz	x_2L	x_noL	y
25	-7	170797.6	100.4	28.072	19.873	24.282	1.2690	2.5320	1.6960
30	-7	205.5	133.5	24.629	19.441	19.776	1.6486	2.6458	2.5569
30	-7	38.2	133.5	41.381	32.727	32.660	0.5840	0.9336	0.9375
30	-7	60.3	133.5	34.915	27.066	28.163	0.8203	1.3650	1.2608
30	-7	26901.9	133.5	21.964	16.005	17.465	2.0729	3.9040	3.2784
30	-7	115.0	133.5	28.787	22.033	27.051	1.2067	2.0600	1.3666
30	-7	37.9	133.5	37.949	32.810	33.995	0.6944	0.9289	0.8653
30	-7	73.3	133.5	32.685	25.241	31.358	0.9361	1.5696	1.0169
30	-7	16549.1	133.5	22.254	16.005	19.393	2.0192	3.9040	2.6589
40	-7	107.5	227.6	20.126	14.300	14.764	2.4688	4.8905	4.5876
40	-7	142.5	227.6	18.775	13.354	14.473	2.8369	5.6078	4.7743
40	-7	80.3	227.6	21.816	15.564	16.117	2.1011	4.1280	3.8496
25	-5	-44391.0	119.9	24.409	17.398	20.982	1.6784	3.3038	2.2714
30	-5	202.3	161.1	21.044	16.737	16.432	2.2582	3.5697	3.7034
30	-5	35.7	161.1	37.785	28.769	33.210	0.7004	1.2083	0.9067
30	-5	57.5	161.1	31.350	23.575	27.220	1.0175	1.7993	1.3496
30	-5	41794.2	161.1	18.520	13.764	14.578	2.9157	5.2786	4.7058
40	-5	58279.6	274.6	11.358	8.725	10.027	7.7522	13.1363	9.9455
