D,V,lab,camp,Rm,open,Cpd,L1,Lm,L2,rms,f_RC,f3,x,y,fT_dev
25,-7,WO,25um,170797.58849843184,True,100.40000000000002,59.54953443592066,0.0,129.02345118817595,0.16807130876187837,28.072222933054057,24.282107749367988,1.2689554979698636,1.6960054213640077,48.39056310187043
25,-5,WO,25um,-44391.00151539512,True,119.90000000000002,66.00423654651775,0.0,135.2137018751887,0.1784126449365451,24.409001305145765,20.982182310687847,1.678417421689189,2.2714264963665136,41.064763911878096
30,-7,38,Jan,37.938294147860866,False,133.5,24.610012917371627,24.793085888797023,162.3463977621658,0.06341344116199855,37.94895050725626,33.99532798691818,0.6943852073093368,0.865289689407965,76.49327824344068
30,-7,38,Mar,38.1533546432172,False,133.5,33.25555743266062,46.98174627914251,146.98843466070275,0.05578986074311354,41.38107388203738,32.660044953223895,0.58397799981533,0.9374895677802041,53.186104814663906
30,-7,60,Mar,60.34761941247577,False,133.5,34.04916314944211,68.069865722206,151.5860075712676,0.05915893423211917,34.91470577654869,28.162945076636927,0.8203198614503892,1.2607932167165283,47.64750658111388
30,-7,76,Jan,73.29008493398887,False,133.5,38.9007261945813,63.29934572915805,150.7426366172389,0.06592106246790724,32.685155862555895,31.35848904239999,0.936049637515108,1.0169269162919221,111.19537781107286
30,-7,120,Jan,115.01047892837558,False,133.5,44.215251261185124,38.581148378870786,152.5161589221287,0.06291534633505787,28.786902720897398,27.05063993643161,1.2067300275915223,1.36661100187694,79.08636357375721
30,-7,200,Mar,205.54287676184447,False,133.5,4.379565801168443e-10,6.1277056371033764e-18,195.5102580717894,0.061734202013468215,24.62898126250384,19.77629824025923,1.6485689024806156,2.556877927927738,33.18051979107119
30,-7,WO,Jan,16549.095614389116,True,133.5,67.60704419498123,0.0,136.69188810137652,0.07536949478135391,22.254327291311938,19.39331773856102,2.01916150675574,2.658861858394869,39.537727628935166
30,-7,WO,Mar,26901.931935539636,True,133.5,59.18460862487122,0.0,128.23438168028082,0.06999549770549533,21.964233904392998,17.46499047184734,2.072850019564335,3.2784102124820693,28.800866250724187
30,-5,38,Mar,35.6820204098825,False,161.10000000000002,42.91289331545756,59.80370251164416,151.14072268117118,0.06341210076141596,37.78500850825858,33.20976420894229,0.7004238912308657,0.9067100214376816,69.62496431148477
30,-5,60,Mar,57.513546476748324,False,161.10000000000002,40.735810721819504,90.7794553363563,155.929251967232,0.06564214507680403,31.350313193800115,27.220453557917992,1.0174573942229581,1.3496131009284202,54.86926476748915
30,-5,200,Mar,202.2638390681768,False,161.10000000000002,1.3706995209749357,1.5358322863291178e-19,201.2194897278105,0.06502231598147994,21.043608107024735,16.432441448308193,2.2581853690130522,3.7033589902197543,26.305101816143033
30,-5,WO,Mar,41794.21570574908,True,161.10000000000002,63.74897202168411,0.0,133.27380871588994,0.0772079559984279,18.519622134870456,17.245585394942466,2.9156524713764256,3.3623592852540756,47.31389605907456
30,-3,60,Mar,55.51473859107779,False,230.80000000000004,55.826072991438885,147.99038781156077,158.3768399923339,0.07863145900195852,24.447475020505667,21.131713473786377,1.673138828106472,2.2393943241901977,42.02365136619625
30,-3,200,Mar,199.89518933883642,False,230.80000000000004,1.9032135832890464,2.6044775005212175e-16,213.24605375965038,0.0770162016068752,15.092052910478184,13.314334526948755,4.390392641501486,5.641064570589376,28.276672301064202
30,-3,WO,Mar,7898.118832654097,True,230.80000000000004,72.33660254776743,0.0,140.67337507155042,0.08959890851623863,13.01488321101692,11.497237737198605,5.903634327598002,7.5650704474070665,24.533424647508276
40,-7,38,40V1,42.52385943293988,False,227.60000000000002,1.0467693005810085e-12,215.12941503740797,143.49780803958535,0.22134455285858454,30.719945911571834,16.895448297291118,1.0596418607408122,3.5031647377159456,20.2298096017877
40,-7,100,40V1,107.54213960347053,False,227.60000000000002,178.8300071469789,1.754924434657452e-13,82.20451134047204,0.11940016130536991,20.12582315959839,14.764084398614465,2.46883857959343,4.587614974606138,21.724882541792326
40,-7,140,40V1,142.52653410946385,False,227.60000000000002,187.08406493239082,9.872533064731557e-18,58.14190536766654,0.12909918926218533,18.774953516667725,14.472617014306902,2.836888449881013,4.774257739062414,22.719239744208387
40,-7,WO,40V1,13943.63029034255,True,227.60000000000002,98.10480893194757,0.0,163.16124516946275,0.1673174419666527,13.776150237855298,10.166999677071999,5.269194856322574,9.674184828566442,15.067026008729782
40,-5,WO,40V2,58279.610725825885,True,274.6000000000001,102.58304509071287,0.0,167.23591095469465,0.17007112644299635,11.35764488114961,10.027380830211536,7.752172517984086,9.94546243422983,21.352659715774376
