group,D_um,label,bias_V,file,md5,date,time,V_header,Iph_initial_mA,Iph_in_name_mA,s2p_loss_file,lam3_nm,lam4_nm,t_sweep_s,N_rows,N_clean,rows_dropped,rows_dedup,f_min_GHz,f_max_GHz,nonmono_restart,P_at_fmin_dBm,P_dc_cubic_dBm,P_10GHz_dBm,P_15GHz_dBm,P_20GHz_dBm,dB_10GHz_rel_dc,dB_15GHz_rel_dc,dB_20GHz_rel_dc,cubic_resid_rms_dB,f3dB_cubic_GHz,f3dB_source,f3dB_over_fmax,IPD_mean_mA,IPD_min_mA,IPD_max_mA,VOA_mean_dBm,Rm_S11_10MHz_ohm,S11_file,P_ideal_at_Iph_dBm,level_minus_ideal_dB,Iph_implied_ideal_mA,R_from_IPD_ohm,Iph_implied_vs_WOoffset_mA,R_from_IPD_vs_WOoffset_ohm,R_IPD_over_R_S11,used_in_ft_userbw,exp_fT_implied_GHz,exp_f3dB_fit_le14p8_GHz,exp_f3dB_fit_le20_GHz,exp_f3dB_refmin_GHz,exp_f3dB_other_lossfile_GHz
40V1,40,WO,-7,data_PD0008_1/Bandwidth/40um/Bias_-7V_Iph_1mA.xlsx,239b4637,02/04/2026,16:49:37,-7.0,-1.06,1.0,Cal.s2p,1555.7,1555.048,703.64,45,45,0,0,0.33,22.5,0,-15.77,-15.954240888782996,-18.999399999999998,-21.36,-26.57,-3.045159111217002,-5.405759111217003,-10.615759111217004,0.3088867177707174,10.166999677071999,poly3,0.45186665231431106,-1.0507555555555554,-1.062,-1.036,6.095577777777778,inf,,-15.514482607984217,-0.2555173920157827,1.0292716140274538,,1.070731334988186,,,False,15.067222568203551,9.343861310749283,9.686277303615118,10.288574806740172,9.84609942480833
40V1,40,WO,-7,data_PD0008_1/Bandwidth/40um/Bias_-7V_Iph_1mA_diff_pol.xlsx,77954fd0,02/04/2026,17:00:53,-7.0,-1.057,1.0,Cal.s2p,1555.7,1555.055,469.21,30,30,0,0,0.67,14.83,0,-15.84,-15.745138844365036,-18.7792,,,-3.034061155634964,,,0.23350413588949667,10.528126180270425,poly3,0.7099208482987475,-1.0691333333333335,-1.074,-1.057,6.1464,inf,,-15.5391001671311,-0.3008998328689003,1.0210099999508127,,1.0621369377961505,,,False,16.324302561562032,10.405377862052337,10.528126180270425,10.946932367362718,10.353057105589498
40V1,40,WO,-9,data_PD0008_1/Bandwidth/40um/Bias_-9V_Iph_1mA_diff_pol.xlsx,4e0b7c01,02/04/2026,17:11:05,-9.0,-1.086,1.0,Cal.s2p,1555.7,1555.055,469.03,30,30,0,0,0.5,15.33,0,-15.68,-15.591645248679319,-18.0566,-20.252399999999998,,-2.464954751320681,-4.660754751320679,,0.24187500956349414,11.489700212358809,poly3,0.749491207590268,-1.0801,-1.086,-1.07,6.152166666666665,inf,,-15.304003408223059,-0.375996591776941,1.0399919930670318,,1.0818835377733302,,,False,,11.22547594409903,11.489700212358809,11.807369512788993,11.11144586929065
40V1,40,WO,-7,data_PD0008_1/Bandwidth/40um/WO_bias__7V_Iph_1mA_#2.xlsx,62da8a20,02/04/2026,18:48:07,-7.0,-1.073,1.0,Cal.s2p,1555.7,1555.053,500.61,32,32,0,0,0.5,16.33,0,-15.78,-15.617910400074425,-17.18,-19.199253731343283,,-1.5620895999255744,-3.581343331268858,,0.2557140152541676,13.764950735869299,poly3,0.842924111198365,-1.0738124999999998,-1.077,-1.068,6.3965,inf,,-15.408605473960602,-0.3713945260393974,1.028087303164852,,1.0694993193242228,,,False,343.74916636269774,13.690980792638882,13.764950735869299,14.010209799189326,13.45559001273126
40V1,40,140,-7,data_PD0008_1/Bandwidth/40um/140hom/Bias_-7V_Iph_1mA_120ohm.xlsx,9a707201,02/04/2026,17:28:30,-7.0,-49.109,1.0,Cal.s2p,1555.7,1555.055,469.08,30,30,0,0,0.5,15.5,0,-18.48,-18.38062632479708,-19.585,-21.58,,-1.2043736752029197,-3.199373675202917,,0.16835402482350856,14.472617014306902,poly3,0.9337172267294775,-49.11299999999998,-49.117,-49.106,6.387366666666666,142.52653410946385,data_PD0008_1/S11/40um/140ohm_V1/S11_-7V_120ohm.s1p,15.190724534348444,-33.670724534348444,1.0177119265180306,145.55650889001396,1.058706015849558,145.68069036807503,1.0221303091267813,False,22.71915738009051,,14.472617014306902,14.644010670164056,14.328582776700996
40V1,40,40,-7,data_PD0008_1/Bandwidth/40um/40ohm/Bias_-7V_Iph_1mA_36ohm.xlsx,f9dbf834,02/04/2026,18:07:33,-7.0,-161.566,1.0,Cal.s2p,1555.7,1555.062,625.42,40,40,0,0,0.67,20.33,0,-23.89,-23.889189551407288,-24.644626865671643,-25.895,-28.804199999999998,-0.7554373142643556,-2.0058104485927117,-4.91501044859271,0.1773279406446406,16.895448297291118,poly3,0.8310599260841672,-161.432925,-161.566,-161.365,6.37285,42.52385943293988,data_PD0008_1/S11/40um/40ohm_V1/S11_-7V_36ohm.s1p,21.393978221282566,-45.28397822128257,0.8793283229892945,43.56304058665423,0.9147482319881962,43.572645235957076,1.0246634669807224,False,20.229794155761674,,16.76705061599375,16.985756967119375,16.428877210561556
40V1,40,100,-7,data_PD0008_1/Bandwidth/40um/100ohm/Bias_-7V_Iph_1mA.xlsx,aa84e1df,02/04/2026,18:30:35,-7.0,-65.454,1.0,Cal.s2p,1555.7,1555.057,625.54,40,40,0,0,0.67,20.67,0,-18.77,-18.913283678891084,-19.9682,-22.0064,-25.7352,-1.0549163211089159,-3.0931163211089157,-6.821916321108915,0.2264304969341353,14.764084398614465,poly3,0.714275974775736,-65.43345,-65.454,-65.413,6.7089,107.54213960347053,data_PD0008_1/S11/40um/100ohm_V1/S11_-7V.s1p,16.981762596190723,-35.75176259619072,1.0674512799960054,108.7183602656,1.1104489023968016,108.79101138483404,1.0116128597214855,False,21.72466011840364,14.179243581291685,14.756852776580468,14.830541353438656,14.257209386937193
40V2,40,WO,-5,data_PD0008_1/Bandwidth/40um/V2/WO/Bias_-5V_Iph_1mA.xlsx,f8909e60,02/25/2026,20:52:01,-5.0,-1.012,1.0,S21_cal_bias_tee_cal.s2p,1555.7,1554.996,576.16,37,32,0,5,0.33,14.67,1,-16.26,-16.524911996753524,-19.78,,,-3.2550880032464775,,,0.32932672713288846,10.027380830211536,poly3,0.6835297089442083,-1.021891891891892,-1.031,-1.011,5.471189189189189,inf,,-15.916989663204015,-0.34301033679598625,0.9728144113829227,,1.012,,,False,21.3503004739624,10.027380830211536,10.027380830211536,9.98592508383193,10.15909447043147
40V2,40,80,-7,data_PD0008_1/Bandwidth/40um/V2/40 ohm/Bias_-7V_Iph_1mA.xlsx,c361eb3e,02/25/2026,21:32:07,-7.0,-86.564,1.0,S21_cal_bias_tee_cal.s2p,1555.7,1555.035,644.51,40,40,0,0,0.33,20.83,0,-20.68,-20.8692603523355,-22.16,-23.109199999999998,-24.435000000000002,-1.2907396476645019,-2.2399396476644995,-3.565739647664504,0.28333193680926483,16.11721434233676,poly3,0.7737500884463159,-86.53970000000001,-86.564,-86.528,5.4037749999999996,80.34907342646851,data_PD0008_1/S11/40um/80ohm_V2/S11_-7V.s1p,18.52360490458248,-39.20360490458248,0.9487615395054999,81.7611458645883,0.9869782630118024,81.79765850596847,1.0180286469740767,False,23.91465515076897,,16.030587137547432,16.060545645093747,16.824037901035158
40V2,40,80,-5,data_PD0008_1/Bandwidth/40um/V2/40 ohm/Bias_-5V_Iph_1mA.xlsx,38dc982f,02/25/2026,21:16:19,-5.0,-65.09,1.0,S21_cal_bias_tee_cal.s2p,1555.7,1555.037,467.69,30,30,0,0,0.5,16.0,0,-21.03,-21.325226496204678,-22.91,-23.7476,,-1.5847735037953221,-2.4223735037953205,,0.2111042940734276,15.967454416582614,raw,0.9979659010364134,-65.08476666666665,-65.09,-65.079,5.407333333333335,77.17008451359483,data_PD0008_1/S11/40um/80ohm_V2/S11_-5V.s1p,15.910965836848792,-36.94096583684879,0.9256908686224915,77.92494094750425,0.9629782907042228,77.97025133439506,1.010368873195406,False,30.665158511856372,14.235571610346794,15.967454416582614,,
15dup,40,WO,-7,data_PD0008_1/Bandwidth/40um/V2/WO/Bias_-7V_Iph_1mA.xlsx,bbe9fb58,02/04/2026,13:33:49,-7.0,-1.019,1.0,Cal.s2p,1555.7,1555.043,906.61,58,57,0,1,0.5,29.42,2,-16.18,-16.177863225722955,-16.58,-16.360799999999998,-15.755,-0.402136774277043,-0.18293677427704225,0.42286322572295454,0.7448268210206731,27.28603356182246,poly3,0.9274654507757464,-1.0081724137931032,-1.019,-0.994,6.3101379310344825,inf,,-15.857116233151096,-0.3228837668489035,0.9818157523052061,,1.021363920709605,,,False,inf,5.120958698785618,5.140943541187671,27.51288917601544,26.931586316646435
15dup,15,WO,-7,data_PD0008_1/Bandwidth/15um/H.V/WO/Bias_-7V_Iph_1mA.xlsx,bbe9fb58,02/04/2026,13:33:49,-7.0,-1.019,1.0,Cal.s2p,1555.7,1555.043,906.61,58,57,0,1,0.5,29.42,2,-16.18,-16.177863225722955,-16.58,-16.360799999999998,-15.755,-0.402136774277043,-0.18293677427704225,0.42286322572295454,0.7448268210206731,27.28603356182246,poly3,0.9274654507757464,-1.0081724137931032,-1.019,-0.994,6.3101379310344825,inf,,-15.857116233151096,-0.3228837668489035,0.9818157523052061,,1.021363920709605,,,False,,5.120958698785618,5.140943541187671,27.51288917601544,26.931586316646435
40V1,40,WO,-7,data_bw_user/Bias_7V_Iph_1mA_40um_WO_3.xlsx,239b4637,02/04/2026,16:49:37,-7.0,-1.06,1.0,Cal.s2p,1555.7,1555.048,703.64,45,45,0,0,0.33,22.5,0,-15.77,-15.954240888782996,-18.999399999999998,-21.36,-26.57,-3.045159111217002,-5.405759111217003,-10.615759111217004,0.3088867177707174,10.166999677071999,poly3,0.45186665231431106,-1.0507555555555554,-1.062,-1.036,6.095577777777778,inf,,-15.514482607984217,-0.2555173920157827,1.0292716140274538,,1.070731334988186,,,True,15.067222568203551,9.343861310749283,9.686277303615118,10.288574806740172,9.84609942480833
15dup,40,WO,-7,data_bw_user/Bias_7V_Iph_1mA_40um_WO_2.xlsx,bbe9fb58,02/04/2026,13:33:49,-7.0,-1.019,1.0,Cal.s2p,1555.7,1555.043,906.61,58,57,0,1,0.5,29.42,2,-16.18,-16.177863225722955,-16.58,-16.360799999999998,-15.755,-0.402136774277043,-0.18293677427704225,0.42286322572295454,0.7448268210206731,27.28603356182246,poly3,0.9274654507757464,-1.0081724137931032,-1.019,-0.994,6.3101379310344825,inf,,-15.857116233151096,-0.3228837668489035,0.9818157523052061,,1.021363920709605,,,False,inf,5.120958698785618,5.140943541187671,27.51288917601544,26.931586316646435
40V2,40,WO,-5,data_bw_user/Bias_5V_Iph_1mA_40um_WO_2.xlsx,f8909e60,02/25/2026,20:52:01,-5.0,-1.012,1.0,S21_cal_bias_tee_cal.s2p,1555.7,1554.996,576.16,37,32,0,5,0.33,14.67,1,-16.26,-16.524911996753524,-19.78,,,-3.2550880032464775,,,0.32932672713288846,10.027380830211536,poly3,0.6835297089442083,-1.021891891891892,-1.031,-1.011,5.471189189189189,inf,,-15.916989663204015,-0.34301033679598625,0.9728144113829227,,1.012,,,True,21.3503004739624,10.027380830211536,10.027380830211536,9.98592508383193,10.15909447043147
40V1,40,100,-7,data_bw_user/Bias_7V_Iph_1mA_40um_100ohm_1.xlsx,aa84e1df,02/04/2026,18:30:35,-7.0,-65.454,1.0,Cal.s2p,1555.7,1555.057,625.54,40,40,0,0,0.67,20.67,0,-18.77,-18.913283678891084,-19.9682,-22.0064,-25.7352,-1.0549163211089159,-3.0931163211089157,-6.821916321108915,0.2264304969341353,14.764084398614465,poly3,0.714275974775736,-65.43345,-65.454,-65.413,6.7089,107.54213960347053,data_PD0008_1/S11/40um/100ohm_V1/S11_-7V.s1p,16.981762596190723,-35.75176259619072,1.0674512799960054,108.7183602656,1.1104489023968016,108.79101138483404,1.0116128597214855,True,21.72466011840364,14.179243581291685,14.756852776580468,14.830541353438656,14.257209386937193
40V1,40,40,-7,data_bw_user/Bias_7V_Iph_1mA_40um_38ohm_1.xlsx,f9dbf834,02/04/2026,18:07:33,-7.0,-161.566,1.0,Cal.s2p,1555.7,1555.062,625.42,40,40,0,0,0.67,20.33,0,-23.89,-23.889189551407288,-24.644626865671643,-25.895,-28.804199999999998,-0.7554373142643556,-2.0058104485927117,-4.91501044859271,0.1773279406446406,16.895448297291118,poly3,0.8310599260841672,-161.432925,-161.566,-161.365,6.37285,42.52385943293988,data_PD0008_1/S11/40um/40ohm_V1/S11_-7V_36ohm.s1p,21.393978221282566,-45.28397822128257,0.8793283229892945,43.56304058665423,0.9147482319881962,43.572645235957076,1.0246634669807224,True,20.229794155761674,,16.76705061599375,16.985756967119375,16.428877210561556
40V1,40,140,-7,data_bw_user/Bias_7V_Iph_1mA_120ohm_40um_140ohm_1.xlsx,9a707201,02/04/2026,17:28:30,-7.0,-49.109,1.0,Cal.s2p,1555.7,1555.055,469.08,30,30,0,0,0.5,15.5,0,-18.48,-18.38062632479708,-19.585,-21.58,,-1.2043736752029197,-3.199373675202917,,0.16835402482350856,14.472617014306902,poly3,0.9337172267294775,-49.11299999999998,-49.117,-49.106,6.387366666666666,142.52653410946385,data_PD0008_1/S11/40um/140ohm_V1/S11_-7V_120ohm.s1p,15.190724534348444,-33.670724534348444,1.0177119265180306,145.55650889001396,1.058706015849558,145.68069036807503,1.0221303091267813,True,22.71915738009051,,14.472617014306902,14.644010670164056,14.328582776700996
