structure,V,f_GHz,ReZ,ImZ,C_fF
25um pad,-7,1.0,-5.3823931879675655,-3516.1185851720347,45.264384359240346
25um pad,-7,2.0,60.52879567410008,-1747.633648535096,45.53441255417073
25um pad,-7,3.0,44.14706991326556,-1194.3623752518606,44.418384902748805
25um pad,-7,5.0,16.33944826124105,-731.8927935719714,43.49132673247033
25um pad,-7,10.0,-8.568566471579619,-380.05725141546054,41.876570569078474
25um pad,-5,1.0,54.99030219790068,-3461.7595100256767,45.975158768528914
25um pad,-5,2.0,40.59203308355331,-1762.9415890577727,45.13902901824382
25um pad,-5,3.0,27.98309276522057,-1182.9676718928213,44.84623625632351
25um pad,-5,5.0,9.8428366540947,-717.4078351564871,44.36944658045981
25um pad,-5,10.0,1.5395745702730947,-359.65081465460725,44.25262966378673
25um pad,-3,1.0,89.44207880440653,-3517.4357277773433,45.247434611254384
25um pad,-3,2.0,55.36019505245282,-1743.1513078927733,45.65149977837881
25um pad,-3,3.0,33.58545971834806,-1183.0093355090876,44.84465684665844
25um pad,-3,5.0,8.75966820595301,-716.3646053689608,44.4340610630597
25um pad,-3,10.0,1.7699840825383797,-358.17712405631926,44.43470350352974
30um pad,-7,1.0,-104.60953796033914,-3393.794700784243,46.895866463318356
30um pad,-7,2.0,-14.319435894454475,-1638.8749106155415,48.556159491183706
30um pad,-7,3.0,1.2368006235484792,-1123.0289294197348,47.23978724636244
30um pad,-7,5.0,1.8130579021631315,-675.398717056959,47.129181347992755
30um pad,-7,10.0,-0.13330491188652838,-332.6193902438579,47.84896724608024
30um pad,-5,1.0,-102.36878002651748,-3356.3906467461156,47.418480100398796
30um pad,-5,2.0,-7.747254877489581,-1631.0717889570058,48.788454367685276
30um pad,-5,3.0,8.427124898433838,-1123.0798669263497,47.2376446765896
30um pad,-5,5.0,1.6034950503060985,-675.5932342310425,47.11561188828212
30um pad,-5,10.0,0.05468087832522528,-332.45514728832256,47.87260609139188
30um pad,-3,1.0,-54.22513874053497,-3284.393577481177,48.45793883629266
30um pad,-3,2.0,8.83989838959124,-1634.1002183751755,48.69803617373813
30um pad,-3,3.0,15.507613667683517,-1116.5666374975676,47.51319439043693
30um pad,-3,5.0,4.634313408776549,-674.0043019675684,47.226684644975315
30um pad,-3,10.0,0.07743686984474873,-331.850027644315,47.95990050737062
