D,V,lab,camp,Rm,Cpd_fF,fmax_GHz,L1,Lm,L2,rms,flags,ms_L1,ms_Lm,ms_L2,ms_rms,ms_flags,n_minima,minima,f_RC,f_peak,e_peak,f50,f80,rms_mag,rms_phase_deg,rms_le5,rms_le20,rms_0_10,frac_0_10,rms_10_20,frac_10_20,rms_20_30,frac_20_30,rms_30_40,frac_30_40,rms_40_50,frac_40_50
40,-7,38,40,42.52385943293988,227.60000000000002,50.0,1.0467693005810085e-12,215.12941503740797,143.49780803958535,0.22134455285858454,L1@0,8.822251397166588e-11,215.13242970025547,143.4978504008637,0.22134455281675777,L1@0,2,"0.2213:(0,215,143) | 0.3330:(600,45,0)",30.72004965065236,50.0,0.4673917175809497,34.826125168945616,43.9295602447094,0.21210006805192477,10.874658097328771,0.017800229575188054,0.09862633952654974,0.039705767158122976,0.006403736296391457,0.13370774753617476,0.07261718372904724,0.2440450410714618,0.24191691257620232,0.29372566440659775,0.350437074617543,0.2809475827950002,0.3286250927808161
40,-5,38,40,39.10732519408157,274.6000000000001,50.0,7.842466695438622e-09,218.4561745008664,146.07242047821893,0.24171463935902512,L1@0,1.801091059302249e-18,218.45509222383163,146.07062221666504,0.24171463928051698,L1@0,2,"0.2417:(0,218,146) | 0.2997:(600,55,0)",26.963713896465237,50.0,0.4738389544116379,33.59636171346904,43.0235333814853,0.2315215626926482,12.064514222667286,0.023958660941704978,0.12166340964598663,0.05181642235666031,0.009145192973900226,0.16407019493963704,0.09168903759171654,0.27756335214169947,0.26241114345478367,0.3167064093600541,0.341642374009375,0.2907385863093115,0.2951122519702245
40,-3,38,40,37.49269327868941,390.4,50.0,1.58472820938402e-12,261.05148572700637,141.83548366130944,0.28294836262883316,L1@0,6.667426873491923e-20,261.0612702079465,141.8351212755164,0.28294836251972144,L1@0,2,"0.2829:(0,261,142) | 0.2839:(600,63,0)",19.533638325348566,50.0,0.4806732658704357,30.61612087431151,41.00967922143479,0.2706073431984138,13.971223909557171,0.044745711170226375,0.1884499372493818,0.09431723250751588,0.02211218514902753,0.24926094228882928,0.15443937271442032,0.3447742029659936,0.2954738767692818,0.3463274644917377,0.2981421855771399,0.3003439528575806,0.2298323797901305
40,-7,80,40,80.34907342646851,227.60000000000002,50.0,175.6695212862539,1.1201349968330013e-18,86.26230363490545,0.1319312007274774,Lm@0,175.67014106893149,7.005222891782012e-20,86.26167072605317,0.1319312007272389,Lm@0,1,"0.1319:(176,0,86)",21.816074224547446,50.0,0.35888204863467243,44.3727547333436,48.37560003738737,0.04744303916519035,9.814108839094061,0.015140033593502349,0.0594545331884092,0.01845581963031411,0.0038943553578214747,0.08203088293488384,0.07693495002028468,0.14538814259626423,0.24167230281861313,0.06832677999224378,0.05337658845976807,0.23077475189453725,0.6241218033435126
40,-5,80,40,77.17008451359483,274.6000000000001,50.0,175.31908151565437,3.3388505731452942e-18,93.17560229478173,0.13562075675424323,Lm@0,175.3190827014556,9.44018645901755e-19,93.17560077824625,0.13562075675423627,Lm@0,1,"0.1356:(175,0,93)",18.70322541668276,50.0,0.3680418478418192,44.61157364755546,48.381080978678796,0.03502703844346375,10.480918619667476,0.012901882053006348,0.06810302091846102,0.012820979341646924,0.0017785005669634405,0.09545504389586619,0.0985846662537821,0.13673797455664574,0.20229720958929448,0.06125472759938289,0.040596709402371256,0.24334922170883722,0.6567429141875887
40,-3,80,40,74.93494699488213,390.4,50.0,179.77030619932347,2.194729757055436e-16,101.27689455322164,0.14082692660507717,Lm@0,179.77018788676466,6.461073831263435e-18,101.27682944817838,0.14082692660394366,Lm@0,2,"0.1408:(180,0,101) | 0.1884:(0,194,249)",13.331337550154364,50.0,0.370742934927271,44.52394854933536,48.32331143726403,0.015310673313272622,11.355410592259084,0.012091593638637892,0.08420526311601417,0.01883951471199052,0.0035614918456359523,0.11758454557590059,0.1387372306865275,0.12023324285291678,0.14505798911303044,0.06283660415511573,0.039620316861644835,0.25580365504631597,0.6730229714931614
40,-7,100,40,107.54213960347053,227.60000000000002,50.0,178.8300071469789,1.754924434657452e-13,82.20451134047204,0.11940016130536991,Lm@0,178.8310577285747,1.4700051755148474e-19,82.2034160164321,0.11940016129357416,Lm@0,1,"0.1194:(179,0,82)",20.125830168206726,50.0,0.5005962696775129,45.563114048391064,48.9918635309662,0.033263541634977814,8.82377663189726,0.026220453102008524,0.04860711562307293,0.035523386418578995,0.017615007283356784,0.05885059384361282,0.04834547215713748,0.12323451884055714,0.2119916984996542,0.059612203478452724,0.04960488616697177,0.21678974355131544,0.6724429358928795
40,-5,100,40,103.95428604380513,274.6000000000001,50.0,177.03920933383074,5.105218258105853e-18,89.54558914983295,0.1243115738907667,Lm@0,177.03950596783335,4.2842142742031727e-20,89.5452647070815,0.12431157389057944,Lm@0,1,"0.1243:(177,0,90)",17.032101284770654,50.0,0.511526123478235,45.55180905664398,48.90976236066411,0.022600366004359617,9.370907470453439,0.023966007848997772,0.05572962332265833,0.02781688429469335,0.009964551864379617,0.0737414590275132,0.07002679601380297,0.12093653703509173,0.18834576571524733,0.053517787427568554,0.036883922792212934,0.22942513483899962,0.6947789636143572
40,-3,100,40,101.08083437622632,390.4,50.0,179.1076703320813,3.4856646266477694e-15,98.39685352372621,0.13285809661291778,Lm@0,179.10723502285393,4.8240807467923755e-17,98.39702447679875,0.13285809661095002,Lm@0,1,"0.1329:(179,0,98)",11.925362870625415,50.0,0.5207789330062702,45.133029977252924,48.731742119581504,0.01568950547566563,10.17135553085219,0.022255094834008955,0.07631585716194567,0.02591568236912546,0.007572044861662878,0.10476925844954514,0.12375296740870485,0.11499274723321196,0.14908322558695425,0.05462291543277372,0.033638578429314385,0.2436359461362682,0.6859531837133636
40,-7,140,40,142.52653410946385,227.60000000000002,50.0,187.08406493239082,9.872533064731557e-18,58.14190536766654,0.12909918926218533,Lm@0,187.0842933604612,4.542456167336856e-27,58.141668535923394,0.12909918926145297,Lm@0,2,"0.1291:(187,0,58) | 0.1501:(95,600,145)",18.774954904461094,50.0,0.5272077493698402,45.590946354467164,48.992296296923485,0.025561982695495183,9.54469462841528,0.012121768952536145,0.058740122130667094,0.012067142570390542,0.0017387045545571157,0.0821899505173062,0.08065928019297322,0.12802131457932794,0.195695783735519,0.05718880320870488,0.03905160792423967,0.23620753227618846,0.6828546235927111
