D,camp,f_GHz,ReZ_meas,ReZ_model,ImZ_meas,ImZ_model
40,40,2,4.500925024478439,6.148767748429538,-274.20013177315394,-287.22387323902296
40,40,5,3.658106899665403,6.148162490442037,-104.87729313726557,-107.98560580595682
40,40,10,3.8291858464192865,6.14600181957019,-42.90666447351617,-41.77658995425067
40,40,15,4.519447511530048,6.142404069853242,-17.56580888685051,-14.28150607873447
40,40,20,5.739931607397737,6.137374288117315,-0.9591688674437969,3.536687313700538
40,40,25,7.455105575477873,6.130919515156965,12.793252067312809,17.48439191869858
40,40,30,9.494765101212934,6.123048761156121,26.044669548630537,29.497017997781104
40,40,35,11.92795176075744,6.113772974361719,39.02991801657015,40.40403709667139
40,40,40,15.868130699202071,6.103105003212494,56.519369007226636,50.62020291216682
40,40,45,23.148291891706048,6.091059552166079,79.06503468093749,60.375951911867766
40,40,50,36.39313775021033,6.077653131505813,110.12525688620734,69.80956216265353
30,Mar,2,4.677527901475111,4.904910910084317,-426.4721581761007,-439.90712138410277
30,Mar,5,3.53048962440404,4.9045257552926715,-167.56215648438737,-170.9811206965427
30,Mar,10,3.278659378131284,4.903150691389701,-76.6585385878585,-76.7249166513035
30,Mar,15,3.5750862001428647,4.900860628089793,-42.68591635207291,-41.41511396607494
30,Mar,20,4.184080991198732,4.897658129301555,-22.674753862778537,-20.840111397416386
30,Mar,25,5.258364542416306,4.893546774457549,-7.826783218184281,-6.158793786647017
30,Mar,30,6.781853556578811,4.88853114853207,4.948176906289126,5.575792051699968
30,Mar,35,8.216355385076815,4.882616829296135,16.892128484296904,15.626622502177943
30,Mar,40,10.577631668277371,4.8758103718755965,30.218497119324493,24.62519371443244
30,Jan,2,3.1076818610353514,4.904910910084317,-416.2784221772611,-439.6950006721694
30,Jan,5,3.571746207755131,4.9045257552926715,-163.96580331212027,-170.45081891670924
30,Jan,10,3.5524793265827697,4.903150691389702,-74.01500434937775,-75.66431309163653
30,Jan,15,4.113657001319066,4.900860628089792,-40.320922274737434,-39.824208626574475
30,Jan,20,4.534432887087512,4.897658129301555,-20.203406409543515,-18.71890427808244
30,Jan,25,5.687446426991619,4.8935467744575485,-5.065724718740502,-3.507284887479581
30,Jan,30,7.320645362599137,4.8885311485320715,7.913141720591449,8.757602730700885
30,Jan,35,8.990223370018313,4.882616829296136,20.613521472219865,19.33873496101235
30,Jan,40,11.258043858845937,4.875810371875597,35.0055686368009,28.867607953100332
