D,V,lab,camp,f_RC,f3_model,fT_model,f3_model_sig,fT_model_sig,f3_meas,fT_meas,f3_meas_minus_sig,fT_meas_minus_sig
40,-5,80,40V2,18.703225406116925,,,,,15.967454416582623,30.66416507890277,,
40,-5,WO,40V2,11.35764488114961,10.917299345332955,39.59117512630139,9.577776479832313,17.820430175056995,10.027380830211584,21.35265971577483,11.34485818901482,239.1505484157945
40,-7,38,40V1,30.719945911571838,,,,,16.89544829729113,20.229809601787718,17.42814580876898,21.16363150920126
40,-7,80,40V2,21.816071129337598,20.123520589809694,52.10718135178132,20.714431034213117,66.0205940249522,16.11721434233675,23.914561456919717,17.71968993908001,30.376478535836917
40,-7,100,40V1,20.12582315959839,18.725173114891227,51.08737569599469,18.407716190716375,45.53119111389793,14.76408439861448,21.72488254179238,15.65873782318795,24.925876205766752
40,-7,140,40V1,18.774953516667725,,,,,14.472617014306909,22.719239744208416,15.042704277372364,25.138983136106827
40,-7,WO,40V1,13.776150237855298,13.102194049580723,42.40868524711045,11.40618023824081,20.339895464883035,10.166999677072027,15.06702600872987,11.588769990612459,21.433165637578885
30,-5,38,Mar,37.78500850825858,30.834473459849413,53.34862428590325,,,33.20976420894229,69.62496431148477,,
30,-5,60,Mar,31.350313193800115,26.332384432372873,48.522932935675755,26.367958933632234,48.74661179418677,27.220453557917956,54.86926476748886,27.17614271053407,54.509035049077276
30,-5,200,Mar,21.04360810702473,18.862791739833412,42.5495872297953,16.67997645571659,27.358048826963536,16.432441448308126,26.305101816142763,18.464899615030752,38.496453160221286
30,-5,WO,Mar,18.519622134870456,16.993343382695485,42.74649943190722,14.537932062345556,23.467437551276674,14.577582552806746,23.63531977814331,17.219494506654893,46.782951636607706
30,-7,38,Jan,37.94895050725626,29.45187218500505,46.70305255667694,,,33.995327986918205,76.493278243441,,
30,-7,38,Mar,41.38107388203738,32.00422725463051,50.48660366695952,33.86981354030763,58.952515647570266,32.66004495322377,53.186104814663345,30.969540033915067,46.69367369750466
30,-7,60,Mar,34.91470577654869,28.227116125148733,47.960260524441836,28.295677261101957,48.298889211335734,28.162945076636987,47.64750658111418,28.09124881141265,47.30275185435159
30,-7,76,Jan,32.685155862555895,27.052374846547693,48.202647206745006,28.026411949428223,54.468813896746674,31.358489042399963,111.19537781107167,30.33800246490818,81.52986513868873
30,-7,120,Jan,28.7869027208974,24.48553308601082,46.5639531985144,23.923401960092097,43.01259255693436,27.05063993643155,79.08636357375569,27.513584902219254,93.5443657056605
30,-7,200,Mar,24.62898126250384,21.471575087526872,43.83207617107793,20.792584456568946,38.79378118520839,19.776298240259223,33.18051979107116,20.73190957304818,38.403938824170964
30,-7,WO,Jan,22.254327291311935,19.83049605265949,43.69523762269047,20.736099535339033,57.11986834850781,19.393317738561013,39.53772762893512,19.423489530590665,39.79529751526814
30,-7,WO,Mar,21.964233904393,19.61136769316205,43.55179454627572,17.953966140603953,31.167667424945275,17.464990471847326,28.800866250724123,19.3823007260461,41.20304669419696
