D,V,lab,camp,n_lo,n_hi,step_cal,step_raw,step_loss
40,-5,80,40V2,6,0,,,
40,-5,WO,40V2,4,0,,,
40,-7,38,40V1,6,6,-0.14325552427045807,-0.09314070714430045,-0.050114817126159394
40,-7,80,40V2,7,6,-1.454470454197228,-0.8560430360648468,-0.5984274181323777
40,-7,100,40V1,6,6,-0.6571814378165222,-0.6354199303372319,-0.02176150747928407
40,-7,140,40V1,5,0,,,
40,-7,WO,40V1,7,7,-0.8078671449506771,-0.7695446750803825,-0.038322469870295306
30,-5,38,Mar,6,6,-0.9640950746598449,-0.22974985183947538,-0.7343452228203722
30,-5,60,Mar,5,6,-1.5698088656131794,-0.7494202249883877,-0.8203886406247753
30,-5,200,Mar,6,12,-1.0395153187690234,-0.9879087349105404,-0.05160658385849437
30,-5,WO,Mar,7,6,-2.0668051132758265,-1.2115443343603438,-0.8552607789154829
30,-7,38,Jan,6,5,-0.4890363472936876,-0.43720547318057257,-0.05183087411312737
30,-7,38,Mar,6,6,-1.095800638991843,-0.2240233617409686,-0.8717772772508798
30,-7,60,Mar,6,6,-1.2756508448130326,-0.7023552957295962,-0.08124169265630199
30,-7,76,Jan,6,6,-0.6605946102611924,-0.6029001241115601,-0.05769448614964723
30,-7,120,Jan,5,6,-0.9146558048426385,-0.8887681805429857,-0.025887624299662848
30,-7,200,Mar,6,11,-0.9954616098385927,-0.9449003713846515,-0.050561238453930124
30,-7,WO,Jan,6,6,-1.1433704906516517,-1.109434053183893,-0.033936437467765534
30,-7,WO,Mar,6,6,-1.846154431491911,-1.2227098007660935,-0.6234446307258172
