D,V,lab,camp,sheet,fam,fmax,f3_baseline_csv,f3_recorded,f3_nocal,f3_calA,f3_calB,f3_othercal,d_f3_swap,d_f3_nocal,src_rec,src_other,rel10_rec,rel15_rec,rel20_rec,rel20_raw,L20_applied,L20_other,f_RC,fT_rec,fT_other,fT_nocal
25,-7,WO,25um,Bias_7V_Iph_1mA_diff_probe_upto_30GHz_25um_WO.xlsx,B,31.08,24.282107749367988,24.282107749367988,21.80304922720997,25.294908920425655,24.282107749367988,25.294908920425655,1.0128011710576672,-2.4790585221580166,poly3,poly3,-1.6085732894610913,-1.8843528248247665,-2.2855340623125926,-2.6394802041567864,1.490000000000002,1.0700000000000003,28.072222933054057,48.39056310187042,58.32577256278148,34.6135583875897
25,-5,WO,25um,Bias_5V_Iph_1mA_diff_probe_upto_30GHz_25um_WO.xlsx,B,31.33,20.982182310687847,20.982182310687847,18.89085825692035,22.377068238883112,20.982182310687826,22.377068238883112,1.394885928195265,-2.0913240537674973,poly3,poly3,-1.8450832292828654,-2.266054208014987,-2.838427441353444,-3.2404198546129095,1.490000000000002,1.0700000000000003,24.409001305145765,41.0647639118781,56.01962753616905,29.830599324209302
30,-7,38,Mar,Bias_7V_Iph_1mA_30um_38ohm_2.xlsx,B,36.67,32.660044953223895,32.660044953223895,28.20635299354527,32.50282316654634,32.66004495322388,32.50282316654634,-0.15722178667755315,-4.4536919596786255,poly3,poly3,-0.9923273309561118,-1.0606726530446835,-1.148373310264283,-1.6489337258773986,1.490000000000002,1.0700000000000003,41.38107388203738,53.18610481466391,52.51510548438089,38.5489535260019
30,-7,60,Mar,Bias_7V_Iph_1mA_30um_60ohm_2.xlsx,B,31.33,28.162945076636927,28.162945076636927,26.33801702727762,29.196976903532736,28.162945076636927,29.196976903532736,1.0340318268958093,-1.8249280493593076,poly3,poly3,-1.4551106454959708,-1.498056441628492,-1.6149903010095628,-1.8739669098410552,1.490000000000002,1.0700000000000003,34.91470577654869,47.64750658111389,53.243415386482546,40.120740170005135
30,-7,200,Mar,Bias_7V_Iph_1mA_30um_200ohm_1.xlsx,A,26.33,19.77629824025923,19.77629824025923,16.72878048723852,19.77629824025925,17.650755002257878,17.650755002257878,-2.1255432380013524,-3.04751775302071,poly3,poly3,-1.33495304342647,-2.0994886292527504,-3.047582021690964,-3.794561745844497,1.0700000000000003,1.490000000000002,24.62898126250384,33.1805197910712,25.308772210457075,22.793612087636134
30,-7,WO,Mar,Bias_7V_Iph_1mA_30GHz_30um_WO_2.xlsx,B,30.08,17.46499047184734,17.46499047184734,16.752934376621813,19.346019066768132,17.464990471847344,19.346019066768132,1.8810285949207923,-0.7120560952255275,poly3,poly3,-1.8385304468017338,-2.581327395172174,-3.504483229901048,-3.883866055998517,1.490000000000002,1.0700000000000003,21.964233904393,28.800866250724184,40.857905948184076,25.904912902159218
30,-5,38,Mar,Bias_5V_Iph_1mA_30um_38ohm_1.xlsx,B,36.83,33.20976420894229,33.20976420894229,28.89386710688047,32.97899261994814,33.20976420894229,32.97899261994814,-0.23077158899415195,-4.315897102061818,poly3,poly3,-0.7292813644471217,-0.7738677593101997,-0.8806162276938068,-1.4045890827516452,1.490000000000002,1.0700000000000003,37.78500850825858,69.62496431148477,67.57065337622488,44.838626710518255
30,-5,60,Mar,Bias_5V_Iph_1mA_30um_60ohm_1.xlsx,B,31.33,27.220453557917992,27.220453557917992,25.313491982566298,28.052115108443815,27.220453557917992,28.052115108443815,0.8316615505258227,-1.9069615753516942,poly3,poly3,-1.3177211007069616,-1.390270776395294,-1.6091956934995686,-1.9063442919355644,1.490000000000002,1.0700000000000003,31.350313193800115,54.86926476748916,62.829995575958854,42.907866342306136
30,-5,200,Mar,Bias_5V_Iph_1mA_30um_200ohm_1.xlsx,A,26.5,16.432441448308193,16.432441448308193,14.427420243242892,16.43244144830815,13.813980440344166,13.813980440344166,-2.6184610079640276,-2.005021205065301,poly3,poly3,-1.6410200778495252,-2.672834754383686,-3.8825224996801353,-4.614362940082859,1.0700000000000003,1.490000000000002,21.04360810702473,26.30510181614304,18.311857786328734,19.818376910303854
30,-5,WO,Mar,Bias_-5V_Iph_1mA_30GHz.xlsx,B,29.92,14.5775825528067,14.5775825528067,15.499823650499117,17.173251000116643,14.57758255280673,17.173251000116643,2.5956684473099436,0.9222410976924174,poly3,poly3,-2.116544560949997,-3.0876835008539913,-4.280454727526632,-4.47961561626142,1.490000000000002,1.0700000000000003,18.519622134870456,23.635319778143113,45.87874069045703,28.320849740573856
30,-3,60,Mar,Bias_3V_Iph_1mA_30um_60ohm_1.xlsx,B,31.08,21.131713473786377,21.131713473786377,19.550003879988562,22.296096723623847,21.131713473786377,22.296096723623847,1.1643832498374707,-1.5817095937978145,poly3,poly3,-1.4876972080487079,-1.9782783476448529,-2.751073162348373,-3.122152874361209,1.490000000000002,1.0700000000000003,24.447475020505667,42.02365136619625,54.355502125502504,32.5597469076593
30,-3,200,Mar,Bias_3V_Iph_1mA_30um_200ohm_1.xlsx,A,26.17,13.314334526948755,13.314334526948755,12.19991028718502,13.314334526948755,11.347360109817101,11.347360109817101,-1.966974417131654,-1.1144242397637356,poly3,poly3,-2.0697882494781936,-3.5175343271729176,-5.223001755484265,-5.957979297033056,1.0700000000000003,1.490000000000002,15.092052910478184,28.27667230106421,17.21112085176408,20.724197131349133
30,-3,WO,Mar,Bias_3V_Iph_1mA_30um_WO_1.xlsx,B,19.33,11.497237737198605,11.497237737198605,11.363948282530556,12.189253065583516,11.497237737198596,12.189253065583516,0.6920153283849118,-0.13328945466804853,poly3,poly3,-2.377198490913905,-4.379607907185541,,,1.490000000000002,1.0700000000000003,13.01488321101692,24.533424647508276,34.7767256031978,23.312996752463782
30,-7,38,Jan,Bias_7V_Iph_1mA_38ohm_30um_1.xlsx,A,37.83,33.99532798691818,33.99532798691818,29.777763074978118,33.99532798691817,34.240558792078666,34.240558792078666,0.24523080516048879,-4.217564911940059,poly3,poly3,-0.12455151344764914,-0.18702420188860458,-0.4157743133199432,-1.222742106264068,1.0700000000000003,1.490000000000002,37.94895050725626,76.49327824344071,79.41650443836495,48.0362672816994
30,-7,76,Jan,Bias_7V_Iph_1mA_30um_76ohm_1.xlsx,A,33.67,31.35848904239999,31.35848904239999,27.984954803085948,31.35848904239999,30.671195342072938,30.671195342072938,-0.6872937003270536,-3.3735342393140435,poly3,poly3,0.03855650495914276,-0.08754317528941513,-0.4769153647178648,-1.2240994211458478,1.0700000000000003,1.490000000000002,32.685155862555895,111.19537781107286,88.74843574623624,54.16634836628319
