path,md5,n_pts,n_raw_ge0,f_min,f_max,hdr_row,V,I0,L3,L4,xlsx_loss,s2p_loss,date,time,link_max_abs,cal_minus_rawtot_maxabs,tot_minus_prblnk_maxabs,ipd_mean,ipd_min,ipd_max,voa_min,voa_max,cols,probe_1G,f_at_1G,probe_5G,f_at_5G,probe_10G,f_at_10G,probe_15G,f_at_15G,probe_20G,f_at_20G,probe_25G,f_at_25G,probe_30G,f_at_30G,s2p,fam_applied,rms_to_A,rms_to_B
data_PD0008_1/Bandwidth/15um/H.V/WO/Bias_-7V_Iph_1mA.xlsx,bbe9fb582814babebb339059460a67b6,58,0,0.5,29.42,14,-7.000000E+00 V,-1.019 (mA),1555.7 (nm),1555.043 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,02/04/2026,13:33:49,0.0,3.552713678800501e-15,0.0,-1.0081724137931032,-1.019,-0.994,6.253,6.354,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.2,1.0,0.32,5.08,0.47,10.0,0.88,15.17,1.06,19.67,1.2,25.0,,,Cal.s2p,A,1.1911169285653465e-15,0.3293227114486061
data_PD0008_1/Bandwidth/15um/H.V/WO/cal.xlsx,cd4a8c89b9bdd84a1b877d29af318236,1,0,0.5,0.5,14,-3.000000E+00 V,-0.0 (mA),1555.7 (nm),1555.046 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,02/04/2026,13:37:14,0.0,7.105427357601002e-15,0.0,0.0,-0.0,-0.0,-48.05,-48.05,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,,,,,,,,,,,,,Cal.s2p,n/a,,
data_PD0008_1/Bandwidth/25 um/Bias_-5V_Iph_1mA_diff_probe_upto_30GHz.xlsx,24fbaa9e701d422d72b7b7788cbf72cd,60,0,0.5,31.33,14,-5.000000E+00 V,-1.014 (mA),1555.75 (nm),1555.051 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,02/16/2026,15:04:33,0.0,3.552713678800501e-15,0.0,-1.0115500000000002,-1.014,-1.01,4.6,4.623,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.38,4.75,0.29,10.17,0.63,14.67,1.36,19.83,1.23,24.83,1.26,30.08,S21_cal_bias_tee_cal.s2p,B,0.3219834364269895,1.0450259880334738e-15
data_PD0008_1/Bandwidth/25 um/Bias_-7V_Iph_1mA_diff_probe_upto_30GHz.xlsx,5b8c4d2a67b969cc2ab372a05ea8831f,60,0,0.5,31.08,14,-7.000000E+00 V,-1.021 (mA),1555.75 (nm),1555.049 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,02/16/2026,14:43:25,0.0,3.552713678800501e-15,0.0,-1.0173666666666668,-1.022,-1.013,4.605,4.644,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.29,1.17,0.38,4.75,0.35,10.0,0.72,15.17,1.6,20.17,1.23,24.83,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.3288833357682724,1.6987984415266971e-15
data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_1.034mA.xlsx,01235a0190dd9c2f7e96c116698638ee,50,0,1.17,27.75,14,-7.000000E+00 V,-59.745 (mA),1555.2 (nm),1554.593 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,17:34:57,0.0,3.552713678800501e-15,0.0,-59.786660000000005,-59.82,-59.745,5.886,5.894,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,0.32,5.08,0.47,9.83,0.88,15.17,1.07,19.83,1.2,24.83,,,Cal.s2p,A,7.236065407667668e-16,0.33458930048643165
data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_6mA.xlsx,792d3902ae89b6a471c798bb6e16a3cd,50,0,1.5,28.08,14,-7.000000E+00 V,-64.709 (mA),1555.2 (nm),1554.593 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,17:44:22,0.0,8.881784197001252e-16,0.0,-64.71824,-64.794,-64.64,13.391,13.405,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,0.32,5.08,0.48,10.17,0.85,14.83,1.07,20.17,1.2,25.17,,,Cal.s2p,A,8.656892398314543e-16,0.34563853951780343
data_PD0008_1/Bandwidth/30um/40 ohm/Bias_-7V_Iph_1mA.xlsx,75c8923a3607de598f217358c0c70772,80,0,0.5,37.83,14,-7.000000E+00 V,-177.359 (mA),1555.2 (nm),1554.581 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,19:56:18,0.0,3.552713678800501e-15,0.0,-177.3352,-177.359,-177.313,6.325,6.371,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.2,1.0,0.32,5.08,0.47,9.83,0.85,14.83,1.07,20.17,1.2,24.83,1.1,29.75,Cal.s2p,A,1.3267049011646797e-15,0.31996874847397205
data_PD0008_1/Bandwidth/30um/40 ohm/Bias_-7V_Iph_6mA.xlsx,cf29de342a3bdb53f8186091f06dbfec,80,0,0.5,47.0,14,-7.000000E+00 V,-182.352 (mA),1555.2 (nm),1554.584 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,20:14:07,0.0,1.7763568394002505e-15,0.0,-182.3731125,-182.416,-182.336,14.086,14.12,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.25,1.17,0.32,5.08,0.48,10.17,0.87,15.0,1.06,19.67,1.2,25.17,1.14,30.08,Cal.s2p,A,8.874842590472261e-16,0.3352653838976471
data_PD0008_1/Bandwidth/30um/40 ohm/cal.xlsx,0ea31c56ecf18311938ddbeb392cbef8,1,0,0.5,0.5,14,-7.000000E+00 V,-176.336 (mA),1555.2 (nm),1554.582 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,19:59:08,0.0,0.0,0.0,-176.336,-176.336,-176.336,-48.295,-48.295,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,,,,,,,,,,,,,Cal.s2p,n/a,,
data_PD0008_1/Bandwidth/30um/60 ohm/Bias_-7V_Iph_1mA.xlsx,b457137d952f1037406a41d4f0106f95,80,0,0.33,37.83,14,-7.000000E+00 V,-118.628 (mA),1555.2 (nm),1554.582 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,19:30:58,0.0,3.552713678800501e-15,0.0,-118.56665000000002,-118.633,-118.517,7.664,7.791,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,4.92,0.47,9.83,0.87,15.0,1.07,20.17,1.2,25.0,1.1,29.75,Cal.s2p,A,1.6681077853815917e-15,0.316954255374494
data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_1mA.xlsx,cb605b5ebc233dfb05d64844157231f7,60,0,1.5,33.67,14,-7.000000E+00 V,-93.084 (mA),1555.2 (nm),1554.593 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,18:13:13,0.0,3.552713678800501e-15,0.0,-93.13143333333332,-93.151,-93.084,5.885,5.92,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,0.32,4.92,0.47,10.0,0.83,14.67,1.07,20.0,1.2,25.0,1.1,29.75,Cal.s2p,A,1.997578887614442e-15,0.3129217154497272
data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_6mA.xlsx,ea98c803b0d3f85498970e00eb1e1964,70,0,1.5,34.67,14,-7.000000E+00 V,-98.202 (mA),1555.2 (nm),1554.593 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,01/21/2026,18:26:20,0.0,1.7763568394002505e-15,0.0,-98.16177142857144,-98.218,-98.107,13.485,13.553,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),,,0.32,4.92,0.48,10.17,0.85,14.83,1.07,20.17,1.2,25.0,1.14,30.08,Cal.s2p,A,9.14743697223124e-16,0.3285987566275061
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-3V_Iph_1mA.xlsx,949c2b07cdc8ea5e6f0a1fa917797b0d,60,0,0.5,26.17,14,-3.000000E+00 V,-15.999 (mA),1555.6 (nm),1555.008 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:58:58,0.0,3.552713678800501e-15,0.0,-15.990783333333336,-15.999,-15.979,3.75,3.783,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.2,1.0,0.32,4.92,0.47,10.0,0.87,15.0,1.07,20.17,1.19,24.67,,,Cal.s2p,A,1.369975025443283e-15,0.36172272990971005
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-5V_Iph_0.5mA.xlsx,1b6a74a300ce3034d923b9d29f51a66c,60,0,0.5,26.67,14,-5.000000E+00 V,-24.95 (mA),1555.6 (nm),1555.019 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:23:03,0.0,3.552713678800501e-15,0.0,-24.94475,-24.95,-24.943,0.431,0.468,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.25,1.17,0.32,4.58,0.48,10.17,0.85,14.83,1.07,20.17,1.2,25.0,,,Cal.s2p,A,1.6248750235515265e-15,0.40164038641550937
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-5V_Iph_1mA.xlsx,89a77f32c06adacf62183e5fce6ae028,60,0,0.33,26.5,14,-5.000000E+00 V,-25.537 (mA),1555.6 (nm),1555.019 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:27:18,0.0,3.552713678800501e-15,0.0,-25.511049999999997,-25.537,-25.501,3.756,3.794,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.2,1.0,0.32,5.25,0.47,10.0,0.87,15.0,1.07,20.0,1.2,25.17,,,Cal.s2p,A,1.635963009051306e-15,0.39680809803564565
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-5V_Iph_3mA.xlsx,b3c399a50b69490c8f7e90f3e9dabcb8,60,5,1.0,27.08,14,-5.000000E+00 V,-27.554 (mA),1555.6 (nm),1555.023 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:38:57,0.0,7.105427357601002e-15,0.0,-27.491716666666665,-27.555,-27.438,8.13,8.166,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.2,1.0,0.32,4.75,0.47,9.83,0.88,15.17,1.07,20.0,1.2,24.83,,,Cal.s2p,A,1.1416713009042285e-15,0.37082463387821074
