f,median,std,count,fam
0.33,0.08999999999999986,0.0,10,A_Cal.s2p
0.5,0.120000000000001,2.227085894941024e-16,16,A_Cal.s2p
0.67,0.15000000000000036,1.5888218580782547e-15,6,A_Cal.s2p
0.83,0.17999999999999972,0.0,10,A_Cal.s2p
1.0,0.1999999999999993,1.4121799846918851e-15,17,A_Cal.s2p
1.17,0.25,0.0,9,A_Cal.s2p
1.33,0.29999999999999893,1.622304167311222e-15,12,A_Cal.s2p
1.5,0.34999999999999964,1.601956033197261e-15,21,A_Cal.s2p
1.67,0.3999999999999986,1.3683996080322795e-15,7,A_Cal.s2p
1.83,0.46000000000000085,1.5664082319591336e-15,9,A_Cal.s2p
2.0,0.5199999999999996,1.1444625576040417e-15,20,A_Cal.s2p
2.17,0.5,0.0,13,A_Cal.s2p
2.33,0.4800000000000004,0.0,4,A_Cal.s2p
2.5,0.41999999999999815,1.5260238831245822e-15,19,A_Cal.s2p
2.67,0.35999999999999943,1.9494875626492583e-16,13,A_Cal.s2p
2.83,0.35999999999999943,0.0,2,A_Cal.s2p
2.92,0.35999999999999943,0.0,17,A_Cal.s2p
3.08,0.3599999999999999,1.5085693681603303e-15,16,A_Cal.s2p
3.25,0.35999999999999943,3.315213449533804e-16,7,A_Cal.s2p
3.42,0.3500000000000014,1.8551026114548662e-15,11,A_Cal.s2p
3.58,0.35000000000000053,1.6539156020220858e-15,21,A_Cal.s2p
3.75,0.3500000000000014,1.6246582723968836e-15,8,A_Cal.s2p
3.92,0.35999999999999943,1.8357888255511337e-15,10,A_Cal.s2p
4.08,0.35999999999999943,3.204209332891338e-16,23,A_Cal.s2p
4.25,0.33999999999999986,0.0,7,A_Cal.s2p
4.42,0.33000000000000007,1.89900533991096e-15,8,A_Cal.s2p
4.58,0.3200000000000003,1.5246377949131453e-15,21,A_Cal.s2p
4.75,0.3200000000000003,5.581869458869906e-16,10,A_Cal.s2p
4.92,0.3200000000000003,0.0,10,A_Cal.s2p
