Freq_GHz	Norm_dB_meas	Norm_dB_model
0.5	0	0
1	-0.17	-0.0049637
1.5	-0.04	-0.0132504
2	-0.16	-0.0248806
2.5	-0.76	-0.0398832
3.08	-0.64	-0.0615592
3.58	-0.24	-0.0839797
4.08	-0.5	-0.109912
4.75	-0.31	-0.15027
5.25	-0.99	-0.184658
5.75	-1.06	-0.222774
6.25	-0.86	-0.264694
6.83	-0.93	-0.31819
7.33	-1.18	-0.368597
7.83	-0.77	-0.423064
8.33	-0.86	-0.481674
8.83	-1.28	-0.54451
9.33	-2.19	-0.611654
9.83	-1.53	-0.683184
10.33	-2.3	-0.759176
10.83	-2	-0.8397
11.17	-1.84	-0.897079
11.83	-1.39	-1.0146
12.33	-2.58	-1.10907
12.83	-2.74	-1.2083
13.25	-2.71	-1.29534
13.83	-2.81	-1.42109
14.33	-2.98	-1.5347
14.83	-2.14	-1.65311
15.5	-1.91	-1.81929
16	-2.07	-1.94887
16.5	-4.35	-2.08317
17.17	-3.84	-2.27042
17.5	-4.14	-2.36568
18	-3.7	-2.51376
18.5	-3.36	-2.66626
19	-2.87	-2.82309
19.67	-2.84	-3.03985
20.17	-3.97	-3.20638
20.67	-3.68	-3.37685
21.17	-3.3	-3.55111
21.67	-3.6	-3.72904
22.17	-3.72	-3.91047
22.67	-3.79	-4.09526
23.17	-3.89	-4.28327
23.67	-5.11	-4.47431
24.17	-5.53	-4.66825
24.67	-5.62	-4.86492
25.17	-5.78	-5.06417
25.67	-5.18	-5.26583
26	-6.25	-5.40017
26.67	-6.4	-5.67576
27.25	-6.59	-5.91718
27.75	-7.09	-6.12722
28.25	-7.44	-6.33891
28.92	-6.85	-6.62488
29.25	-6.8	-6.76662
29.75	-6.78	-6.98238
30.42	-8.83	-7.2732
30.92	-8.8	-7.49134
