Freq_GHz	Norm_dB_meas	Norm_dB_model_Cj161
0.33	0	0
0.83	-0.13	-0.00488347
1.33	-0.2	-0.0139812
2	-0.26	-0.0327936
2.5	-0.66	-0.0517895
3.08	-0.65	-0.0791549
3.58	-0.42	-0.107362
4.08	-0.59	-0.139865
4.58	-0.49	-0.176689
5.08	-1.08	-0.217857
5.58	-0.86	-0.263396
6.25	-0.96	-0.331317
6.83	-1.01	-0.396537
7.5	-1.17	-0.479353
7.83	-0.97	-0.523104
8.33	-1.19	-0.593134
8.83	-1.26	-0.667687
9.33	-1.78	-0.746777
10	-1.78	-0.859886
10.5	-1.4	-0.949622
11	-1.34	-1.04391
11.5	-1.47	-1.14273
12	-2.1	-1.24609
12.67	-1.99	-1.39164
13.33	-2.3	-1.54285
13.83	-2.56	-1.66253
14.33	-2.55	-1.78658
14.83	-2.04	-1.91493
15.33	-2.03	-2.04752
15.83	-2.75	-2.18428
16.33	-3.12	-2.32514
16.83	-2.89	-2.47
17.5	-3.39	-2.67024
18	-3.18	-2.82412
18.33	-2.97	-2.92769
19	-2.87	-3.14279
19.5	-3.08	-3.30736
19.83	-4.3	-3.41781
20.5	-3.98	-3.64638
16.33	-2.54	-2.32514
16.67	-3.48	-2.42322
17.17	-3.41	-2.57075
17.67	-3.32	-2.72214
18.17	-2.88	-2.87728
18.67	-2.95	-3.03605
19	-3	-3.14279
19.67	-3.34	-3.36408
20.17	-4.14	-3.53309
20.67	-4.63	-3.70527
21.33	-3.82	-3.93719
21.83	-4.13	-4.11623
22.33	-3.49	-4.29802
22.67	-4.3	-4.42314
23.33	-4.42	-4.66931
23.83	-5.09	-4.85855
24.33	-5.33	-5.05002
24.83	-5.45	-5.24357
25.33	-5.4	-5.4391
26.33	-5.42	-5.83555
