Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
0.83	-0.12	-0.00153912
1.5	-0.1	-0.0056865
2	-0.08	-0.010344
2.33	-0.31	-0.0141534
2.83	-0.33	-0.0210463
3.42	-0.32	-0.0309311
3.75	-0.33	-0.0372941
4.42	-0.36	-0.0520758
4.92	-0.48	-0.064754
5.42	-0.38	-0.0788618
5.75	-0.55	-0.0889667
6.5	-0.45	-0.11432
6.83	-0.43	-0.126544
7.33	-0.46	-0.146332
7.83	-0.44	-0.167673
8.5	-0.6	-0.198762
9	-0.85	-0.223865
9.33	-1.09	-0.241343
9.83	-0.81	-0.269231
10.33	-0.9	-0.298847
10.83	-1.04	-0.330232
11.33	-1.12	-0.363425
11.83	-1.16	-0.398471
12.33	-1.31	-0.435412
12.83	-1.36	-0.474293
13.5	-1.38	-0.529515
13.83	-0.91	-0.558058
14.5	-1.16	-0.618809
15	-0.78	-0.666644
15.67	-0.92	-0.734183
16	-0.86	-0.768927
16.5	-1.88	-0.823466
17	-1.79	-0.880332
17.67	-1.69	-0.960258
18	-1.41	-1.00122
18.5	-1.16	-1.06533
19.17	-0.79	-1.15515
19.67	-0.97	-1.22515
20.17	-0.78	-1.29774
20.67	-1.14	-1.37293
21.67	-0.58	-1.53126
22.33	-0.52	-1.64164
23	-0.99	-1.75851
23.5	-1.68	-1.84892
24	-1.94	-1.94206
24.5	-1.97	-2.03794
24.83	-2.11	-2.10271
25.33	-1.89	-2.20313
25.83	-2.11	-2.30626
26.5	-1.9	-2.44869
27.08	-2.84	-2.57588
27.58	-2.86	-2.68839
28.08	-3.25	-2.80353
28.58	-2.91	-2.92124
29.08	-2.67	-3.04151
29.58	-2.5	-3.16427
30.25	-3.13	-3.33262
30.75	-3.21	-3.46105
