Freq_GHz	I_PD_mA	RawRF_dBm	CalRF_dBm	Model_dBm_5mA	Glitch
0.5	-5.066	-2.4	-2.26	-2.04395	0
1	-5.067	-2.66	-2.43	-2.05219	0
1.5	-5.064	-2.7	-2.3	-2.06593	0
2	-5.063	-2.98	-2.42	-2.08518	0
2.5	-5.06	-3.48	-3.02	-2.10994	0
3.08	-5.058	-3.32	-2.9	-2.14559	0
3.58	-5.058	-2.91	-2.5	-2.18231	0
4.08	-5.058	-3.17	-2.76	-2.22459	0
4.75	-5.056	-2.95	-2.57	-2.28998	0
5.25	-5.055	-3.66	-3.25	-2.34531	0
5.75	-5.051	-3.74	-3.32	-2.40625	0
6.25	-5.051	-3.57	-3.12	-2.4728	0
6.83	-5.052	-3.66	-3.19	-2.55704	0
7.33	-5.048	-3.92	-3.44	-2.63572	0
7.83	-5.048	-3.52	-3.03	-2.72001	0
8.33	-5.047	-3.58	-3.12	-2.80991	0
8.83	-5.046	-3.85	-3.54	-2.90539	0
9.33	-5.047	-4.55	-4.45	-3.00642	0
9.83	-5.049	-4.12	-3.79	-3.11298	0
10.33	-5.051	-4.76	-4.56	-3.22501	0
10.83	-5.054	-4.35	-4.26	-3.34248	0
11.17	-5.056	-4.1	-4.1	-3.42542	0
11.83	-5.06	-3.72	-3.65	-3.59343	0
12.33	-5.064	-4.88	-4.84	-3.72676	0
12.83	-5.066	-5.23	-5	-3.86522	0
13.25	-5.073	-5.31	-4.97	-3.98541	0
13.83	-5.077	-5.63	-5.07	-4.15708	0
14.33	-5.079	-5.77	-5.24	-4.31026	0
14.83	-5.088	-5.07	-4.4	-4.4681	0
15.5	-5.09	-4.94	-4.17	-4.68668	0
16	-5.093	-5.03	-4.33	-4.8549	0
16.5	-5.097	-7.2	-6.61	-5.0273	0
17.17	-5.1	-6.34	-6.1	-5.26461	0
17.5	-5.103	-6.71	-6.4	-5.38404	0
18	-5.107	-6.27	-5.96	-5.56806	0
18.5	-5.114	-6.24	-5.62	-5.75562	0
19	-5.117	-6.1	-5.13	-5.94656	0
19.67	-5.122	-6.4	-5.1	-6.20741	0
20.17	-5.127	-7.83	-6.23	-6.40559	0
20.67	-5.127	-7.91	-5.94	-6.60657	0
21.17	-5.131	-7.67	-5.56	-6.81019	0
21.67	-5.133	-7.65	-5.86	-7.0163	0
22.17	-5.136	-7.44	-5.98	-7.22472	0
22.67	-5.141	-7.36	-6.05	-7.43529	0
23.17	-5.143	-7.39	-6.15	-7.64786	0
23.67	-5.151	-8.59	-7.37	-7.86227	0
24.17	-5.155	-9.04	-7.79	-8.07838	0
24.67	-5.158	-9.12	-7.88	-8.29604	0
25.17	-5.163	-9.26	-8.04	-8.51511	0
25.67	-5.164	-8.56	-7.44	-8.73546	0
26	-5.165	-9.54	-8.51	-8.88152	0
26.67	-5.169	-9.66	-8.66	-9.17947	0
27.25	-5.166	-9.79	-8.85	-9.43871	0
27.75	-5.168	-10.32	-9.35	-9.66303	0
28.25	-5.169	-10.68	-9.7	-9.88802	0
28.92	-5.171	-10.11	-9.11	-10.1904	0
29.25	-5.17	-10.06	-9.06	-10.3396	0
29.75	-5.173	-10.22	-9.04	-10.5659	0
30.42	-5.173	-12.31	-11.09	-10.8697	0
30.92	-5.174	-12.41	-11.06	-11.0966	0
