Freq_GHz	I_PD_mA	RawRF_dBm	CalRF_dBm	Model_dBm_5mA	Glitch
0.33	-29.67	-3.84	-3.75	-3.98032	0
0.83	-29.666	-4.06	-3.88	-3.9852	0
1.33	-29.667	-4.25	-3.95	-3.9943	0
2	-29.663	-4.53	-4.01	-4.01311	0
2.5	-29.656	-4.83	-4.41	-4.03211	0
3.08	-29.654	-4.76	-4.4	-4.05947	0
3.58	-29.65	-4.52	-4.17	-4.08768	0
4.08	-29.649	-4.7	-4.34	-4.12018	0
4.58	-29.646	-4.56	-4.24	-4.15701	0
5.08	-29.641	-5.15	-4.83	-4.19817	0
5.58	-29.633	-4.94	-4.61	-4.24371	0
6.25	-29.631	-5.07	-4.71	-4.31163	0
6.83	-29.625	-5.14	-4.76	-4.37685	0
7.5	-29.621	-5.32	-4.92	-4.45967	0
7.83	-29.621	-5.13	-4.72	-4.50342	0
8.33	-29.618	-5.36	-4.94	-4.57345	0
8.83	-29.618	-5.44	-5.01	-4.648	0
9.33	-29.623	-5.98	-5.53	-4.72709	0
10	-29.616	-6	-5.53	-4.8402	0
10.5	-29.614	-5.65	-5.15	-4.92994	0
11	-29.615	-5.63	-5.09	-5.02422	0
11.5	-29.611	-5.79	-5.22	-5.12305	0
12	-29.609	-6.45	-5.85	-5.2264	0
12.67	-29.609	-6.38	-5.74	-5.37196	0
13.33	-29.607	-6.75	-6.05	-5.52317	0
13.83	-29.606	-7.06	-6.31	-5.64285	0
14.33	-29.603	-7.1	-6.3	-5.76689	0
14.83	-29.598	-6.64	-5.79	-5.89524	0
15.33	-29.6	-6.67	-5.78	-6.02784	0
15.83	-29.598	-7.42	-6.5	-6.1646	0
16.33	-29.592	-7.84	-6.87	-6.30546	0
16.83	-29.592	-7.58	-6.64	-6.45032	0
17.5	-29.582	-8.1	-7.14	-6.65056	0
18	-29.583	-7.88	-6.93	-6.80443	0
18.33	-29.582	-7.68	-6.72	-6.90801	0
19	-29.578	-7.62	-6.62	-7.1231	0
19.5	-29.576	-7.88	-6.83	-7.28768	0
19.83	-29.574	-9.12	-8.05	-7.39813	0
20.5	-29.572	-8.83	-7.73	-7.6267	0
16.33	-29.598	-7.26	-6.29	-6.30546	0
16.67	-29.594	-8.18	-7.23	-6.40353	0
17.17	-29.591	-8.1	-7.16	-6.55107	0
17.67	-29.592	-8.02	-7.07	-6.70246	0
18.17	-29.584	-7.58	-6.63	-6.85759	0
18.67	-29.582	-7.68	-6.7	-7.01637	0
19	-29.579	-7.75	-6.75	-7.1231	0
19.67	-29.579	-8.15	-7.09	-7.3444	0
20.17	-29.579	-8.96	-7.89	-7.51341	0
20.67	-29.573	-9.48	-8.38	-7.68559	0
21.33	-29.568	-8.63	-7.57	-7.9175	0
21.83	-29.565	-8.93	-7.88	-8.09655	0
22.33	-29.562	-8.32	-7.24	-8.27834	0
22.67	-29.56	-9.13	-8.05	-8.40346	0
23.33	-29.552	-9.27	-8.17	-8.64963	0
23.83	-29.548	-9.97	-8.84	-8.83887	0
24.33	-29.544	-10.26	-9.08	-9.03033	0
24.83	-29.536	-10.4	-9.2	-9.22389	0
25.33	-29.524	-10.36	-9.15	-9.41941	0
25.83	-29.521	26.02	27.18	-9.61678	1
26.33	-29.511	-10.23	-9.17	-9.81587	0
