Freq_GHz	Norm_dB_meas	Norm_dB_model
0.5	0	0
1	-0.17	-0.00792663
1.5	-0.04	-0.0211464
2	-0.16	-0.039672
2.5	-0.76	-0.0635209
3.08	-0.64	-0.0978833
3.58	-0.24	-0.133309
4.08	-0.5	-0.174137
4.75	-0.31	-0.237369
5.25	-0.99	-0.290959
5.75	-1.06	-0.350054
6.25	-0.86	-0.414683
6.83	-0.93	-0.496623
7.33	-1.18	-0.573294
7.83	-0.77	-0.655571
8.33	-0.86	-0.743464
8.83	-1.28	-0.836978
9.33	-2.19	-0.936108
9.83	-1.53	-1.04084
10.33	-2.3	-1.15116
10.83	-2	-1.26702
11.17	-1.84	-1.34896
11.83	-1.39	-1.51521
12.33	-2.58	-1.64742
12.83	-2.74	-1.78493
13.25	-2.71	-1.90447
13.83	-2.81	-2.07549
14.33	-2.98	-2.22834
14.83	-2.14	-2.38607
15.5	-1.91	-2.60485
16	-2.07	-2.77348
16.5	-4.35	-2.94652
17.17	-3.84	-3.18504
17.5	-4.14	-3.30521
18	-3.7	-3.49051
18.5	-3.36	-3.67957
19	-2.87	-3.8722
19.67	-2.84	-4.13562
20.17	-3.97	-4.33591
20.67	-3.68	-4.53918
21.17	-3.3	-4.74525
21.67	-3.6	-4.95395
22.17	-3.72	-5.16509
22.67	-3.79	-5.3785
23.17	-3.89	-5.59402
23.67	-5.11	-5.81149
24.17	-5.53	-6.03074
24.67	-5.62	-6.25163
25.17	-5.78	-6.47399
25.67	-5.18	-6.69768
26	-6.25	-6.84599
26.67	-6.4	-7.14853
27.25	-6.59	-7.41179
27.75	-7.09	-7.63961
28.25	-7.44	-7.8681
28.92	-6.85	-8.17515
29.25	-6.8	-8.32668
29.75	-6.78	-8.55655
30.42	-8.83	-8.86499
30.92	-8.8	-9.09536
