Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
0.83	-0.13	-0.00473399
1.33	-0.2	-0.0135548
2	-0.26	-0.0318011
2.5	-0.66	-0.0502341
3.08	-0.65	-0.0768038
3.58	-0.42	-0.104209
4.08	-0.59	-0.135812
4.58	-0.49	-0.171645
5.08	-1.08	-0.211742
5.58	-0.86	-0.256139
6.25	-0.96	-0.322439
6.83	-1.01	-0.386194
7.5	-1.17	-0.467271
7.83	-0.97	-0.510157
8.33	-1.19	-0.578877
8.83	-1.26	-0.652133
9.33	-1.78	-0.729953
10	-1.78	-0.841426
10.5	-1.4	-0.930009
11	-1.34	-1.02321
11.5	-1.47	-1.12105
12	-2.1	-1.2235
12.67	-1.99	-1.36802
13.33	-2.3	-1.51844
13.83	-2.56	-1.63767
14.33	-2.55	-1.76141
14.83	-2.04	-1.88961
15.33	-2.03	-2.02221
15.83	-2.75	-2.15913
16.33	-3.12	-2.30032
16.83	-2.89	-2.44568
17.5	-3.39	-2.64686
18	-3.18	-2.80162
18.33	-2.97	-2.90588
19	-2.87	-3.12257
19.5	-3.08	-3.28853
19.83	-4.3	-3.39998
20.5	-3.98	-3.63079
16.33	-2.54	-2.30032
16.67	-3.48	-2.39872
17.17	-3.41	-2.54687
17.67	-3.32	-2.69904
18.17	-2.88	-2.85512
18.67	-2.95	-3.01501
19	-3	-3.12257
19.67	-3.34	-3.34576
20.17	-4.14	-3.51636
20.67	-4.63	-3.69029
21.33	-3.82	-3.92472
21.83	-4.13	-4.10584
22.33	-3.49	-4.28982
22.67	-4.3	-4.4165
23.33	-4.42	-4.66586
23.83	-5.09	-4.85763
24.33	-5.33	-5.05172
24.83	-5.45	-5.248
25.33	-5.4	-5.44632
26.33	-5.42	-5.84858
