Freq_GHz	Norm_dB
0.5	0
1	-0.17
1.5	-0.04
2	-0.16
2.5	-0.76
3.08	-0.64
3.58	-0.24
4.08	-0.5
4.75	-0.31
5.25	-0.99
5.75	-1.06
6.25	-0.86
6.83	-0.93
7.33	-1.18
7.83	-0.77
8.33	-0.86
8.83	-1.28
9.33	-2.19
9.83	-1.53
10.33	-2.3
10.83	-2
11.17	-1.84
11.83	-1.39
12.33	-2.58
12.83	-2.74
13.25	-2.71
13.83	-2.81
14.33	-2.98
14.83	-2.14
15.5	-1.91
16	-2.07
16.5	-4.35
17.17	-3.84
17.5	-4.14
18	-3.7
18.5	-3.36
19	-2.87
19.67	-2.84
20.17	-3.97
20.67	-3.68
21.17	-3.3
21.67	-3.6
22.17	-3.72
22.67	-3.79
23.17	-3.89
23.67	-5.11
24.17	-5.53
24.67	-5.62
25.17	-5.78
25.67	-5.18
26	-6.25
26.67	-6.4
27.25	-6.59
27.75	-7.09
28.25	-7.44
28.92	-6.85
29.25	-6.8
29.75	-6.78
30.42	-8.83
30.92	-8.8
