Freq_GHz	Norm_dB
0.33	0
1	-0.22
1.5	-0.11
1.83	-0.07
2.33	-0.2
2.92	-0.28
3.42	-0.25
4.08	-0.29
4.58	-0.39
5.08	-0.33
5.42	-0.42
6.08	-0.28
6.83	-0.28
7.33	-0.28
7.67	-0.33
8.33	-0.46
8.83	-0.6
9.33	-0.86
9.83	-0.57
10.33	-0.61
10.83	-0.8
11.17	38.6
11.83	-1.06
12.17	-1.11
12.83	-1.08
13.33	-1.06
13.83	-0.5
14.33	-0.75
15	-0.48
15.5	-0.55
16	-0.51
16.5	-1.4
17	-1.25
17.5	-1.13
18	-0.86
18.5	-0.62
19.17	-0.26
19.5	-0.37
20.17	-0.24
20.67	-0.26
21.17	0.65
21.67	0.23
22.17	0.32
22.83	-0.32
23.33	-0.6
23.83	-0.96
24.33	-1
24.83	-1.06
25.33	-0.93
25.83	-0.71
26.33	-0.71
27.08	-1.81
27.58	-1.53
27.92	-1.87
28.42	-1.69
29.08	-1.29
29.42	-1.15
30.25	-1.62
30.75	-1.9
31.33	-3.92
31.83	-2.66
32.33	-2.81
33	-1.77
33.5	-2.32
34.17	-2.32
34.67	-3.59
35.17	-3.53
35.67	-4.33
36.33	-3.13
36.83	-3.02
