Freq_GHz	Norm_dB_meas	Norm_dB_model
0.5	0	0
1	-0.17	-0.0082415
1.5	-0.04	-0.0219823
2	-0.16	-0.0412294
2.5	-0.76	-0.0659927
3.08	-0.64	-0.101644
3.58	-0.24	-0.138364
4.08	-0.5	-0.180641
4.75	-0.31	-0.246031
5.25	-0.99	-0.301368
5.75	-1.06	-0.362307
6.25	-0.86	-0.428856
6.83	-0.93	-0.51309
7.33	-1.18	-0.591772
7.83	-0.77	-0.676066
8.33	-0.86	-0.765961
8.83	-1.28	-0.861439
9.33	-2.19	-0.962474
9.83	-1.53	-1.06903
10.33	-2.3	-1.18107
10.83	-2	-1.29853
11.17	-1.84	-1.38148
11.83	-1.39	-1.54948
12.33	-2.58	-1.68282
12.83	-2.74	-1.82127
13.25	-2.71	-1.94146
13.83	-2.81	-2.11313
14.33	-2.98	-2.26631
14.83	-2.14	-2.42415
15.5	-1.91	-2.64273
16	-2.07	-2.81095
16.5	-4.35	-2.98335
17.17	-3.84	-3.22067
17.5	-4.14	-3.3401
18	-3.7	-3.52412
18.5	-3.36	-3.71168
19	-2.87	-3.90261
19.67	-2.84	-4.16347
20.17	-3.97	-4.36164
20.67	-3.68	-4.56262
21.17	-3.3	-4.76625
21.67	-3.6	-4.97235
22.17	-3.72	-5.18077
22.67	-3.79	-5.39134
23.17	-3.89	-5.60391
23.67	-5.11	-5.81832
24.17	-5.53	-6.03443
24.67	-5.62	-6.25209
25.17	-5.78	-6.47116
25.67	-5.18	-6.69151
26	-6.25	-6.83757
26.67	-6.4	-7.13552
27.25	-6.59	-7.39476
27.75	-7.09	-7.61909
28.25	-7.44	-7.84407
28.92	-6.85	-8.1464
29.25	-6.8	-8.29561
29.75	-6.78	-8.52198
30.42	-8.83	-8.82573
30.92	-8.8	-9.05261
