Freq_GHz	Norm_dB_meas	Norm_dB_model
0.33	0	0
0.83	-0.12	-0.00224597
1.5	-0.1	-0.0082979
2	-0.08	-0.0150938
2.33	-0.31	-0.020652
2.83	-0.33	-0.0307085
3.42	-0.32	-0.0451283
3.75	-0.33	-0.0544094
4.42	-0.36	-0.0759661
4.92	-0.48	-0.0944505
5.42	-0.38	-0.115014
5.75	-0.55	-0.129738
6.5	-0.45	-0.166666
6.83	-0.43	-0.184461
7.33	-0.46	-0.213255
7.83	-0.44	-0.24429
8.5	-0.6	-0.28946
9	-0.85	-0.325895
9.33	-1.09	-0.351243
9.83	-0.81	-0.391651
10.33	-0.9	-0.43451
10.83	-1.04	-0.479865
11.33	-1.12	-0.527761
11.83	-1.16	-0.578245
12.33	-1.31	-0.631359
12.83	-1.36	-0.68715
13.5	-1.38	-0.766181
13.83	-0.91	-0.806932
14.5	-1.16	-0.893436
15	-0.78	-0.961325
15.67	-0.92	-1.05683
16	-0.86	-1.1058
16.5	-1.88	-1.18245
17	-1.79	-1.26208
17.67	-1.69	-1.3735
18	-1.41	-1.43037
18.5	-1.16	-1.51905
19.17	-0.79	-1.64267
19.67	-0.97	-1.73848
20.17	-0.78	-1.83735
20.67	-1.14	-1.93927
21.67	-0.58	-2.15218
22.33	-0.52	-2.29927
23	-0.99	-2.45387
23.5	-1.68	-2.57265
24	-1.94	-2.69431
24.5	-1.97	-2.8188
24.83	-2.11	-2.90248
25.33	-1.89	-3.03155
25.83	-2.11	-3.16331
26.5	-1.9	-3.34396
27.08	-2.84	-3.50403
27.58	-2.86	-3.64468
28.08	-3.25	-3.78771
28.58	-2.91	-3.93304
29.08	-2.67	-4.0806
29.58	-2.5	-4.2303
30.25	-3.13	-4.43412
30.75	-3.21	-4.58852
