Freq_GHz	Norm_dB
0.1	-3.595176e-05
0.109982	-6.1713143e-05
0.11996399	-8.9923803e-05
0.12994599	-0.00012058375
0.13992799	-0.00015369298
0.14990998	-0.00018925151
0.15989198	-0.00022725935
0.16987397	-0.0002677165
0.17985597	-0.00031062296
0.18983797	-0.00035597875
0.19981996	-0.00040378388
0.20980196	-0.00045403836
0.21978396	-0.00050674219
0.22976595	-0.00056189539
0.23974795	-0.00061949797
0.24972995	-0.00067954993
0.25971194	-0.00074205129
0.26969394	-0.00080700207
0.27967594	-0.00087440228
0.28965793	-0.00094425192
0.29963993	-0.001016551
0.30962192	-0.0010912996
0.31960392	-0.0011684976
0.32958592	-0.0012481452
0.33956791	-0.0013302422
0.34954991	-0.0014147888
0.35953191	-0.0015017849
0.3695139	-0.0015912306
0.3794959	-0.0016831259
0.3894779	-0.0017774708
0.39945989	-0.0018742653
0.40944189	-0.0019735094
0.41942388	-0.0020752032
0.42940588	-0.0021793466
0.43938788	-0.0022859398
0.44936987	-0.0023949827
0.45935187	-0.0025064753
0.46933387	-0.0026204176
0.47931586	-0.0027368098
0.48929786	-0.0028556518
0.49927986	-0.0029769435
0.50926185	-0.0031006852
0.51924385	-0.0032268767
0.52922585	-0.0033555181
0.53920784	-0.0034866095
0.54918984	-0.0036201508
0.55917183	-0.0037561421
0.56915383	-0.0038945834
0.57913583	-0.0040354747
0.58911782	-0.0041788161
0.59909982	-0.0043246076
0.60908182	-0.0044728492
0.61906381	-0.0046235409
0.62904581	-0.0047766828
0.63902781	-0.004932275
0.6490098	-0.0050903173
0.6589918	-0.00525081
0.66897379	-0.0054137529
0.67895579	-0.0055791462
0.68893779	-0.0057469898
0.69891978	-0.0059172838
0.70890178	-0.0060900283
0.71888378	-0.0062652232
0.72886577	-0.0064428686
0.73884777	-0.0066229646
0.74882977	-0.0068055111
0.75881176	-0.0069905082
0.76879376	-0.007177956
0.77877576	-0.0073678544
0.78875775	-0.0075602036
0.79873975	-0.0077550035
0.80872174	-0.0079522542
0.81870374	-0.0081519557
0.82868574	-0.0083541081
0.83866773	-0.0085587114
0.84864973	-0.0087657656
0.85863173	-0.0089752708
0.86861372	-0.0091872271
0.87859572	-0.0094016344
0.88857772	-0.0096184928
0.89855971	-0.0098378024
0.90854171	-0.010059563
0.9185237	-0.010283775
0.9285057	-0.010510438
0.9384877	-0.010739553
0.94846969	-0.010971119
0.95845169	-0.011205136
0.96843369	-0.011441605
0.97841568	-0.011680526
0.98839768	-0.011921897
0.99837968	-0.012165721
1.0083617	-0.012411996
1.0183437	-0.012660723
1.0283257	-0.012911901
1.0383077	-0.013165532
1.0482897	-0.013421614
1.0582717	-0.013680148
1.0682537	-0.013941134
1.0782356	-0.014204572
1.0882176	-0.014470462
1.0981996	-0.014738804
1.1081816	-0.015009598
1.1181636	-0.015282845
1.1281456	-0.015558544
1.1381276	-0.015836695
1.1481096	-0.016117298
1.1580916	-0.016400354
1.1680736	-0.016685862
1.1780556	-0.016973822
1.1880376	-0.017264236
1.1980196	-0.017557102
1.2080016	-0.01785242
1.2179836	-0.018150191
1.2279656	-0.018450416
1.2379476	-0.018753092
1.2479296	-0.019058222
1.2579116	-0.019365805
1.2678936	-0.019675841
1.2778756	-0.01998833
1.2878576	-0.020303272
1.2978396	-0.020620667
1.3078216	-0.020940515
1.3178036	-0.021262817
1.3277856	-0.021587572
1.3377676	-0.021914781
1.3477495	-0.022244443
1.3577315	-0.022576559
1.3677135	-0.022911128
1.3776955	-0.023248151
