Freq_GHz	Norm_dB
0.1	-3.3757593e-05
0.109982	-4.4144858e-05
0.11996399	-5.5519711e-05
0.12994599	-6.7882158e-05
0.13992799	-8.1232204e-05
0.14990998	-9.5569857e-05
0.15989198	-0.00011089512
0.16987397	-0.00012720801
0.17985597	-0.00014450853
0.18983797	-0.00016279668
0.19981996	-0.00018207249
0.20980196	-0.00020233595
0.21978396	-0.00022358707
0.22976595	-0.00024582588
0.23974795	-0.00026905237
0.24972995	-0.00029326657
0.25971194	-0.00031846847
0.26969394	-0.00034465811
0.27967594	-0.00037183548
0.28965793	-0.0004000006
0.29963993	-0.00042915349
0.30962192	-0.00045929416
0.31960392	-0.00049042262
0.32958592	-0.0005225389
0.33956791	-0.000555643
0.34954991	-0.00058973495
0.35953191	-0.00062481476
0.3695139	-0.00066088245
0.3794959	-0.00069793804
0.3894779	-0.00073598154
0.39945989	-0.00077501297
0.40944189	-0.00081503236
0.41942388	-0.00085603972
0.42940588	-0.00089803508
0.43938788	-0.00094101845
0.44936987	-0.00098498986
0.45935187	-0.0010299493
0.46933387	-0.0010758969
0.47931586	-0.0011228325
0.48929786	-0.0011707563
0.49927986	-0.0012196683
0.50926185	-0.0012695684
0.51924385	-0.0013204567
0.52922585	-0.0013723332
0.53920784	-0.001425198
0.54918984	-0.0014790511
0.55917183	-0.0015338925
0.56915383	-0.0015897222
0.57913583	-0.0016465402
0.58911782	-0.0017043467
0.59909982	-0.0017631416
0.60908182	-0.0018229249
0.61906381	-0.0018836967
0.62904581	-0.001945457
0.63902781	-0.0020082059
0.6490098	-0.0020719433
0.6589918	-0.0021366694
0.66897379	-0.002202384
0.67895579	-0.0022690874
0.68893779	-0.0023367794
0.69891978	-0.0024054602
0.70890178	-0.0024751297
0.71888378	-0.0025457881
0.72886577	-0.0026174353
0.73884777	-0.0026900713
0.74882977	-0.0027636963
0.75881176	-0.0028383102
0.76879376	-0.0029139131
0.77877576	-0.0029905051
0.78875775	-0.0030680861
0.79873975	-0.0031466562
0.80872174	-0.0032262154
0.81870374	-0.0033067638
0.82868574	-0.0033883015
0.83866773	-0.0034708284
0.84864973	-0.0035543446
