Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	835.884	797.494	0.10737	-1533.8	41794.2	39874.7	5.36852	-76690.1
0.20995	-2.15915	-70.7419	0.10737	-73.0502	-107.958	-3537.09	5.36852	-3652.51
0.4099	-0.412962	-36.1129	0.10737	-37.4085	-20.6481	-1805.64	5.36852	-1870.43
0.60985	-0.0503574	-24.3262	0.10737	-25.135	-2.51787	-1216.31	5.36852	-1256.75
0.8098	-0.0786482	-18.2627	0.10737	-18.9199	-3.93241	-913.137	5.36851	-945.997
1.00975	0.0675169	-14.6346	0.10737	-15.1643	3.37584	-731.729	5.3685	-758.214
1.2097	0.123801	-12.2251	0.10737	-12.6485	6.19005	-611.253	5.36849	-632.423
1.40965	0.0803667	-10.51	0.10737	-10.8449	4.01834	-525.498	5.36848	-542.246
1.6096	0.0751034	-9.18452	0.107369	-9.48821	3.75517	-459.226	5.36847	-474.41
1.80955	0.0818595	-8.15627	0.107369	-8.43019	4.09298	-407.813	5.36845	-421.51
2.0095	0.0879208	-7.34228	0.107369	-7.58172	4.39604	-367.114	5.36843	-379.086
2.20945	0.0986733	-6.67265	0.107368	-6.8859	4.93366	-333.632	5.36842	-344.295
2.4094	0.112229	-6.12107	0.107368	-6.30472	5.61144	-306.053	5.3684	-315.236
2.60935	0.0915556	-5.6582	0.107367	-5.81183	4.57778	-282.91	5.36837	-290.592
2.8093	0.106792	-5.25284	0.107367	-5.38838	5.33959	-262.642	5.36835	-269.419
3.00925	0.0924696	-4.89908	0.107366	-5.02053	4.62348	-244.954	5.36832	-251.027
3.2092	0.0899547	-4.58806	0.107366	-4.69789	4.49773	-229.403	5.3683	-234.894
3.40915	0.0807575	-4.3121	0.107365	-4.41249	4.03787	-215.605	5.36827	-220.625
3.6091	0.079247	-4.06081	0.107365	-4.15816	3.96235	-203.04	5.36824	-207.908
3.80905	0.0856719	-3.8408	0.107364	-3.92999	4.2836	-192.04	5.3682	-196.5
4.009	0.0830213	-3.64306	0.107363	-3.72408	4.15107	-182.153	5.36817	-186.204
4.20895	0.0775652	-3.46284	0.107363	-3.53725	3.87826	-173.142	5.36813	-176.863
4.4089	0.0805148	-3.29886	0.107362	-3.36691	4.02574	-164.943	5.3681	-168.345
4.60885	0.0819696	-3.14577	0.107361	-3.2109	4.09848	-157.288	5.36806	-160.545
4.8088	0.0759133	-3.01387	0.10736	-3.06745	3.79566	-150.693	5.36802	-153.372
5.00875	0.0766789	-2.88338	0.107359	-2.93504	3.83394	-144.169	5.36797	-146.752
5.2087	0.0744614	-2.76492	0.107359	-2.81241	3.72307	-138.246	5.36793	-140.621
