Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
0.01	0.71364	-0.0040973	0.76	-0.000103807	35.682	-0.204865	38	-0.00519037
0.20995	0.711661	-0.00246345	0.759942	-0.00217898	35.583	-0.123172	37.9971	-0.108949
0.4099	0.710519	-0.00561843	0.75978	-0.00425168	35.526	-0.280922	37.989	-0.212584
0.60985	0.710599	-0.00753921	0.759512	-0.00631954	35.5299	-0.376961	37.9756	-0.315977
0.8098	0.710404	-0.0107374	0.75914	-0.0083802	35.5202	-0.536871	37.957	-0.41901
1.00975	0.709958	-0.0124181	0.758663	-0.0104313	35.4979	-0.620904	37.9332	-0.521567
1.2097	0.709802	-0.0158323	0.758083	-0.0124706	35.4901	-0.791616	37.9041	-0.623529
1.40965	0.708931	-0.0174224	0.757398	-0.0144956	35.4466	-0.871118	37.8699	-0.724782
1.6096	0.708543	-0.0201114	0.756611	-0.0165042	35.4271	-1.00557	37.8305	-0.825209
1.80955	0.707265	-0.0230128	0.75572	-0.0184939	35.3633	-1.15064	37.786	-0.924694
2.0095	0.706311	-0.0253741	0.754727	-0.0204625	35.3156	-1.26871	37.7364	-1.02313
2.20945	0.706059	-0.027714	0.753633	-0.0224078	35.3029	-1.3857	37.6816	-1.12039
2.4094	0.704365	-0.0299893	0.752437	-0.0243274	35.2183	-1.49947	37.6219	-1.21637
2.60935	0.703886	-0.033174	0.751142	-0.0262193	35.1943	-1.6587	37.5571	-1.31097
2.8093	0.701598	-0.0348841	0.749747	-0.0280812	35.0799	-1.74421	37.4873	-1.40406
3.00925	0.701685	-0.0370415	0.748253	-0.0299109	35.0842	-1.85208	37.4126	-1.49554
3.2092	0.698703	-0.0391784	0.746662	-0.0317063	34.9352	-1.95892	37.3331	-1.58531
3.40915	0.697865	-0.0418536	0.744973	-0.0334653	34.8932	-2.09268	37.2487	-1.67326
3.6091	0.696487	-0.0442457	0.74319	-0.0351858	34.8244	-2.21228	37.1595	-1.75929
3.80905	0.694479	-0.0460641	0.741311	-0.0368658	34.7239	-2.3032	37.0656	-1.84329
4.009	0.692938	-0.0488291	0.73934	-0.0385034	34.6469	-2.44146	36.967	-1.92517
4.20895	0.690646	-0.0501992	0.737276	-0.0400965	34.5323	-2.50996	36.8638	-2.00482
4.4089	0.689376	-0.0531946	0.73512	-0.0416432	34.4688	-2.65973	36.756	-2.08216
4.60885	0.686465	-0.0544912	0.732876	-0.0431416	34.3233	-2.72456	36.6438	-2.15708
4.8088	0.685348	-0.0576319	0.730542	-0.04459	34.2674	-2.8816	36.5271	-2.2295
5.00875	0.682639	-0.0590521	0.728122	-0.0459865	34.1319	-2.9526	36.4061	-2.29932
