Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
0.01	1.15027	-0.00419409	1.2	-0.000660247	57.5135	-0.209704	60	-0.0330123
0.20995	1.14294	-0.0131277	1.19971	-0.0138573	57.1468	-0.656387	59.9855	-0.692867
0.4099	1.14105	-0.0271134	1.19889	-0.0270298	57.0525	-1.35567	59.9447	-1.35149
0.60985	1.14015	-0.0404511	1.19755	-0.040154	57.0075	-2.02256	59.8777	-2.0077
0.8098	1.1389	-0.0538708	1.19569	-0.053207	56.9452	-2.69354	59.7847	-2.66035
1.00975	1.1362	-0.0657958	1.19332	-0.0661658	56.8098	-3.28979	59.6659	-3.30829
1.2097	1.1333	-0.079531	1.19043	-0.0790079	56.665	-3.97655	59.5216	-3.9504
1.40965	1.1305	-0.0913055	1.18705	-0.0917114	56.525	-4.56527	59.3523	-4.58557
1.6096	1.12644	-0.10457	1.18317	-0.104255	56.3222	-5.22851	59.1583	-5.21274
1.80955	1.12216	-0.117489	1.1788	-0.116617	56.108	-5.87447	58.9401	-5.83087
2.0095	1.11749	-0.129723	1.17397	-0.128779	55.8747	-6.48615	58.6984	-6.43897
2.20945	1.11311	-0.141487	1.16867	-0.140721	55.6553	-7.07434	58.4336	-7.03607
2.4094	1.10744	-0.152756	1.16293	-0.152425	55.3718	-7.63778	58.1465	-7.62127
2.60935	1.10198	-0.165598	1.15675	-0.163874	55.0991	-8.27991	57.8377	-8.1937
2.8093	1.0955	-0.176293	1.15016	-0.175051	54.7751	-8.81466	57.508	-8.75255
3.00925	1.08954	-0.186873	1.14316	-0.185941	54.4772	-9.34366	57.1581	-9.29705
3.2092	1.08141	-0.197169	1.13578	-0.19653	54.0703	-9.85847	56.7889	-9.82649
3.40915	1.07535	-0.208155	1.12803	-0.206805	53.7675	-10.4078	56.4013	-10.3402
3.6091	1.06745	-0.219231	1.11992	-0.216753	53.3724	-10.9615	55.9959	-10.8377
3.80905	1.05871	-0.227999	1.11148	-0.226365	52.9354	-11.3999	55.5738	-11.3182
4.009	1.05083	-0.239048	1.10272	-0.235629	52.5414	-11.9524	55.1359	-11.7815
4.20895	1.04187	-0.247007	1.09366	-0.244539	52.0937	-12.3504	54.6829	-12.2269
4.4089	1.03344	-0.256845	1.08432	-0.253086	51.672	-12.8422	54.216	-12.6543
4.60885	1.02367	-0.264725	1.07472	-0.261263	51.1836	-13.2362	53.7359	-13.0632
4.8088	1.01541	-0.274567	1.06487	-0.269067	50.7705	-13.7283	53.2435	-13.4533
5.00875	1.00591	-0.281609	1.0548	-0.276492	50.2954	-14.0805	52.7399	-13.8246
5.2087	0.996381	-0.289113	1.04452	-0.283535	49.819	-14.4556	52.2258	-14.1767
5.40865	0.986174	-0.296966	1.03404	-0.290194	49.3087	-14.8483	51.7022	-14.5097
5.6086	0.976244	-0.303782	1.0234	-0.296468	48.8122	-15.1891	51.17	-14.8234
5.80855	0.966624	-0.310778	1.0126	-0.302356	48.3312	-15.5389	50.6301	-15.1178
6.0085	0.954561	-0.315704	1.00166	-0.30786	47.728	-15.7852	50.0832	-15.393
6.20845	0.945595	-0.322438	0.990604	-0.31298	47.2798	-16.1219	49.5302	-15.649
6.4084	0.934214	-0.32741	0.979438	-0.317718	46.7107	-16.3705	48.9719	-15.8859
6.60835	0.925297	-0.332603	0.968182	-0.322078	46.2649	-16.6302	48.4091	-16.1039
6.8083	0.912233	-0.336759	0.956851	-0.326062	45.6116	-16.838	47.8425	-16.3031
7.00825	0.902511	-0.341565	0.945459	-0.329675	45.1255	-17.0782	47.2729	-16.4838
7.2082	0.891314	-0.346304	0.93402	-0.332922	44.5657	-17.3152	46.701	-16.6461
7.40815	0.879804	-0.349463	0.922548	-0.335808	43.9902	-17.4731	46.1274	-16.7904
7.6081	0.869109	-0.352143	0.911056	-0.338338	43.4555	-17.6072	45.5528	-16.9169
7.80805	0.856979	-0.355188	0.899556	-0.340519	42.849	-17.7594	44.9778	-17.026
8.008	0.846986	-0.358653	0.888059	-0.342357	42.3493	-17.9326	44.403	-17.1179
