Freq_GHz	Model_dBm_5mA	Model_Norm_dB
0.1	-2.04131	0
0.109977	-2.04133	-2.30167e-05
0.119955	-2.04136	-4.82207e-05
0.129932	-2.04139	-7.56122e-05
0.13991	-2.04141	-0.000105191
0.149887	-2.04145	-0.000136957
0.159865	-2.04148	-0.000170911
0.169842	-2.04152	-0.000207052
0.17982	-2.04156	-0.00024538
0.189797	-2.0416	-0.000285896
0.199775	-2.04164	-0.0003286
0.209752	-2.04168	-0.000373491
0.21973	-2.04173	-0.000420569
0.229707	-2.04178	-0.000469835
0.239685	-2.04183	-0.000521288
0.249662	-2.04188	-0.000574929
0.25964	-2.04194	-0.000630757
0.269617	-2.042	-0.000688773
0.279595	-2.04206	-0.000748976
0.289572	-2.04212	-0.000811367
0.29955	-2.04219	-0.000875945
0.309527	-2.04225	-0.000942711
0.319505	-2.04232	-0.00101166
0.329482	-2.04239	-0.00108281
0.33946	-2.04247	-0.00115613
0.349437	-2.04254	-0.00123165
0.359415	-2.04262	-0.00130935
0.369392	-2.0427	-0.00138925
0.37937	-2.04278	-0.00147133
0.389347	-2.04287	-0.00155559
0.399325	-2.04295	-0.00164205
0.409302	-2.04304	-0.00173069
0.41928	-2.04313	-0.00182152
0.429257	-2.04322	-0.00191454
0.439235	-2.04332	-0.00200974
0.449212	-2.04342	-0.00210714
0.45919	-2.04352	-0.00220672
0.469167	-2.04362	-0.00230849
0.479145	-2.04372	-0.00241245
0.489122	-2.04383	-0.00251859
0.4991	-2.04394	-0.00262692
0.509077	-2.04405	-0.00273745
0.519055	-2.04416	-0.00285015
0.529032	-2.04427	-0.00296505
0.53901	-2.04439	-0.00308214
0.548987	-2.04451	-0.00320141
0.558965	-2.04463	-0.00332287
0.568942	-2.04476	-0.00344652
0.57892	-2.04488	-0.00357236
0.588897	-2.04501	-0.00370038
0.598875	-2.04514	-0.0038306
0.608852	-2.04527	-0.003963
0.61883	-2.04541	-0.00409759
0.628807	-2.04554	-0.00423437
0.638785	-2.04568	-0.00437333
0.648762	-2.04582	-0.00451449
0.65874	-2.04597	-0.00465783
0.668717	-2.04611	-0.00480337
0.678695	-2.04626	-0.00495109
0.688672	-2.04641	-0.00510099
0.69865	-2.04656	-0.00525309
0.708627	-2.04672	-0.00540738
0.718605	-2.04687	-0.00556385
0.728582	-2.04703	-0.00572251
0.73856	-2.04719	-0.00588337
0.748537	-2.04736	-0.00604641
0.758515	-2.04752	-0.00621163
0.768492	-2.04769	-0.00637905
0.77847	-2.04786	-0.00654866
0.788447	-2.04803	-0.00672045
0.798425	-2.0482	-0.00689444
0.808402	-2.04838	-0.00707061
0.81838	-2.04856	-0.00724897
0.828357	-2.04874	-0.00742952
0.838335	-2.04892	-0.00761226
0.848312	-2.04911	-0.00779719
0.85829	-2.04929	-0.00798431
0.868267	-2.04948	-0.00817362
0.878245	-2.04967	-0.00836511
0.888222	-2.04987	-0.0085588
0.8982	-2.05006	-0.00875467
0.908177	-2.05026	-0.00895273
0.918155	-2.05046	-0.00915299
0.928132	-2.05067	-0.00935543
0.93811	-2.05087	-0.00956006
0.948087	-2.05108	-0.00976688
0.958065	-2.05129	-0.00997589
0.968042	-2.0515	-0.0101871
0.97802	-2.05171	-0.0104005
0.987997	-2.05193	-0.0106161
0.997974	-2.05214	-0.0108338
1.00795	-2.05236	-0.0110538
1.01793	-2.05259	-0.0112759
1.02791	-2.05281	-0.0115003
1.03788	-2.05304	-0.0117268
1.04786	-2.05327	-0.0119555
1.05784	-2.0535	-0.0121864
1.06782	-2.05373	-0.0124195
1.07779	-2.05396	-0.0126548
1.08777	-2.0542	-0.0128923
1.09775	-2.05444	-0.013132
1.10773	-2.05468	-0.0133738
1.1177	-2.05493	-0.0136179
1.12768	-2.05517	-0.0138641
1.13766	-2.05542	-0.0141125
1.14764	-2.05567	-0.0143632
1.15761	-2.05593	-0.014616
1.16759	-2.05618	-0.014871
1.17757	-2.05644	-0.0151282
1.18755	-2.0567	-0.0153875
1.19752	-2.05696	-0.0156491
1.2075	-2.05722	-0.0159129
1.21748	-2.05749	-0.0161788
1.22746	-2.05776	-0.016447
1.23743	-2.05803	-0.0167173
1.24741	-2.0583	-0.0169898
1.25739	-2.05857	-0.0172646
1.26737	-2.05885	-0.0175415
1.27734	-2.05913	-0.0178206
1.28732	-2.05941	-0.0181019
1.2973	-2.0597	-0.0183853
1.30728	-2.05998	-0.018671
1.31725	-2.06027	-0.0189589
1.32723	-2.06056	-0.0192489
1.33721	-2.06085	-0.0195412
1.34719	-2.06115	-0.0198356
1.35716	-2.06144	-0.0201323
1.36714	-2.06174	-0.0204311
1.37712	-2.06204	-0.0207321
1.3871	-2.06234	-0.0210353
1.39707	-2.06265	-0.0213407
1.40705	-2.06296	-0.0216483
1.41703	-2.06327	-0.0219581
1.42701	-2.06358	-0.02227
1.43698	-2.06389	-0.0225842
1.44696	-2.06421	-0.0229006
1.45694	-2.06453	-0.0232191
1.46692	-2.06485	-0.0235399
1.47689	-2.06517	-0.0238628
1.48687	-2.0655	-0.0241879
1.49685	-2.06582	-0.0245152
1.50683	-2.06615	-0.0248448
1.5168	-2.06649	-0.0251765
1.52678	-2.06682	-0.0255104
1.53676	-2.06716	-0.0258465
1.54674	-2.06749	-0.0261847
1.55671	-2.06783	-0.0265252
1.56669	-2.06818	-0.0268679
1.57667	-2.06852	-0.0272127
1.58665	-2.06887	-0.0275598
1.59662	-2.06922	-0.027909
1.6066	-2.06957	-0.0282605
1.61658	-2.06992	-0.0286141
1.62656	-2.07028	-0.02897
1.63653	-2.07064	-0.029328
1.64651	-2.071	-0.0296882
1.65649	-2.07136	-0.0300506
1.66647	-2.07172	-0.0304152
1.67644	-2.07209	-0.030782
1.68642	-2.07246	-0.031151
1.6964	-2.07283	-0.0315222
1.70638	-2.07321	-0.0318956
1.71635	-2.07358	-0.0322711
1.72633	-2.07396	-0.0326489
1.73631	-2.07434	-0.0330289
1.74629	-2.07472	-0.033411
1.75626	-2.07511	-0.0337954
1.76624	-2.07549	-0.0341819
1.77622	-2.07588	-0.0345706
1.7862	-2.07627	-0.0349616
1.79617	-2.07666	-0.0353547
1.80615	-2.07706	-0.03575
1.81613	-2.07746	-0.0361476
1.82611	-2.07786	-0.0365473
1.83608	-2.07826	-0.0369492
1.84606	-2.07866	-0.0373533
1.85604	-2.07907	-0.0377596
1.86602	-2.07948	-0.0381681
1.87599	-2.07989	-0.0385788
1.88597	-2.0803	-0.0389916
1.89595	-2.08072	-0.0394067
1.90593	-2.08113	-0.039824
