Freq_GHz	Model_dBm_5mA	Model_Norm_dB
0.1	-7.30607	0
0.109977	-7.30608	-8.1095e-06
0.119955	-7.30608	-1.69897e-05
0.129932	-7.30609	-2.66406e-05
0.13991	-7.3061	-3.70622e-05
0.149887	-7.30612	-4.82546e-05
0.159865	-7.30613	-6.02176e-05
0.169842	-7.30614	-7.29514e-05
0.17982	-7.30615	-8.64559e-05
0.189797	-7.30617	-0.000100731
0.199775	-7.30618	-0.000115777
0.209752	-7.3062	-0.000131594
0.21973	-7.30622	-0.000148182
0.229707	-7.30623	-0.00016554
0.239685	-7.30625	-0.000183669
0.249662	-7.30627	-0.000202569
0.25964	-7.30629	-0.00022224
0.269617	-7.30631	-0.000242682
0.279595	-7.30633	-0.000263894
0.289572	-7.30635	-0.000285877
0.29955	-7.30638	-0.000308631
0.309527	-7.3064	-0.000332157
0.319505	-7.30642	-0.000356453
0.329482	-7.30645	-0.000381519
0.33946	-7.30647	-0.000407357
0.349437	-7.3065	-0.000433966
0.359415	-7.30653	-0.000461346
0.369392	-7.30656	-0.000489497
0.37937	-7.30659	-0.000518418
0.389347	-7.30662	-0.000548111
0.399325	-7.30665	-0.000578575
0.409302	-7.30668	-0.00060981
0.41928	-7.30671	-0.000641816
0.429257	-7.30674	-0.000674593
0.439235	-7.30678	-0.000708141
0.449212	-7.30681	-0.00074246
0.45919	-7.30684	-0.00077755
0.469167	-7.30688	-0.000813412
0.479145	-7.30692	-0.000850045
0.489122	-7.30695	-0.000887449
0.4991	-7.30699	-0.000925624
0.509077	-7.30703	-0.000964571
0.519055	-7.30707	-0.00100429
0.529032	-7.30711	-0.00104478
0.53901	-7.30715	-0.00108604
0.548987	-7.3072	-0.00112807
0.558965	-7.30724	-0.00117087
0.568942	-7.30728	-0.00121445
0.57892	-7.30733	-0.00125879
0.588897	-7.30737	-0.00130391
0.598875	-7.30742	-0.0013498
0.608852	-7.30746	-0.00139646
0.61883	-7.30751	-0.00144389
0.628807	-7.30756	-0.0014921
0.638785	-7.30761	-0.00154107
0.648762	-7.30766	-0.00159082
0.65874	-7.30771	-0.00164134
0.668717	-7.30776	-0.00169263
0.678695	-7.30781	-0.00174469
0.688672	-7.30786	-0.00179753
0.69865	-7.30792	-0.00185113
0.708627	-7.30797	-0.00190551
0.718605	-7.30803	-0.00196066
0.728582	-7.30808	-0.00201658
0.73856	-7.30814	-0.00207327
0.748537	-7.3082	-0.00213074
0.758515	-7.30826	-0.00218898
0.768492	-7.30832	-0.00224799
0.77847	-7.30837	-0.00230777
0.788447	-7.30844	-0.00236832
0.798425	-7.3085	-0.00242965
0.808402	-7.30856	-0.00249175
0.81838	-7.30862	-0.00255462
0.828357	-7.30869	-0.00261826
0.838335	-7.30875	-0.00268268
0.848312	-7.30882	-0.00274786
0.85829	-7.30888	-0.00281382
0.868267	-7.30895	-0.00288056
0.878245	-7.30902	-0.00294806
0.888222	-7.30908	-0.00301634
0.8982	-7.30915	-0.00308539
0.908177	-7.30922	-0.00315521
0.918155	-7.30929	-0.00322581
0.928132	-7.30936	-0.00329717
0.93811	-7.30944	-0.00336931
0.948087	-7.30951	-0.00344223
0.958065	-7.30958	-0.00351591
0.968042	-7.30966	-0.00359037
0.97802	-7.30973	-0.00366561
0.987997	-7.30981	-0.00374161
0.997974	-7.30989	-0.00381839
1.00795	-7.30996	-0.00389594
1.01793	-7.31004	-0.00397426
1.02791	-7.31012	-0.00405336
1.03788	-7.3102	-0.00413323
1.04786	-7.31028	-0.00421388
1.05784	-7.31036	-0.00429529
1.06782	-7.31044	-0.00437748
1.07779	-7.31053	-0.00446045
1.08777	-7.31061	-0.00454419
1.09775	-7.3107	-0.0046287
1.10773	-7.31078	-0.00471398
1.1177	-7.31087	-0.00480004
1.12768	-7.31095	-0.00488687
1.13766	-7.31104	-0.00497448
1.14764	-7.31113	-0.00506286
1.15761	-7.31122	-0.00515201
1.16759	-7.31131	-0.00524194
1.17757	-7.3114	-0.00533264
1.18755	-7.31149	-0.00542412
1.19752	-7.31158	-0.00551637
1.2075	-7.31168	-0.00560939
1.21748	-7.31177	-0.00570319
1.22746	-7.31186	-0.00579776
1.23743	-7.31196	-0.00589311
1.24741	-7.31206	-0.00598923
1.25739	-7.31215	-0.00608612
1.26737	-7.31225	-0.00618379
1.27734	-7.31235	-0.00628224
1.28732	-7.31245	-0.00638146
1.2973	-7.31255	-0.00648145
1.30728	-7.31265	-0.00658222
1.31725	-7.31275	-0.00668376
1.32723	-7.31285	-0.00678608
1.33721	-7.31296	-0.00688917
1.34719	-7.31306	-0.00699304
1.35716	-7.31316	-0.00709768
1.36714	-7.31327	-0.0072031
1.37712	-7.31338	-0.00730929
1.3871	-7.31348	-0.00741626
1.39707	-7.31359	-0.00752401
1.40705	-7.3137	-0.00763253
1.41703	-7.31381	-0.00774182
1.42701	-7.31392	-0.00785189
1.43698	-7.31403	-0.00796274
1.44696	-7.31414	-0.00807436
1.45694	-7.31425	-0.00818676
1.46692	-7.31437	-0.00829993
1.47689	-7.31448	-0.00841388
1.48687	-7.3146	-0.0085286
1.49685	-7.31471	-0.0086441
1.50683	-7.31483	-0.00876038
1.5168	-7.31494	-0.00887743
1.52678	-7.31506	-0.00899526
1.53676	-7.31518	-0.00911387
1.54674	-7.3153	-0.00923325
1.55671	-7.31542	-0.00935341
1.56669	-7.31554	-0.00947434
1.57667	-7.31566	-0.00959605
1.58665	-7.31579	-0.00971854
1.59662	-7.31591	-0.00984181
1.6066	-7.31603	-0.00996585
1.61658	-7.31616	-0.0100907
1.62656	-7.31628	-0.0102163
1.63653	-7.31641	-0.0103426
1.64651	-7.31654	-0.0104698
1.65649	-7.31666	-0.0105977
1.66647	-7.31679	-0.0107264
1.67644	-7.31692	-0.0108559
1.68642	-7.31705	-0.0109862
1.6964	-7.31718	-0.0111172
1.70638	-7.31732	-0.011249
1.71635	-7.31745	-0.0113816
1.72633	-7.31758	-0.011515
1.73631	-7.31772	-0.0116491
1.74629	-7.31785	-0.011784
1.75626	-7.31799	-0.0119198
1.76624	-7.31812	-0.0120562
1.77622	-7.31826	-0.0121935
1.7862	-7.3184	-0.0123315
1.79617	-7.31854	-0.0124703
1.80615	-7.31868	-0.0126099
1.81613	-7.31882	-0.0127503
1.82611	-7.31896	-0.0128915
1.83608	-7.3191	-0.0130334
1.84606	-7.31924	-0.0131761
1.85604	-7.31939	-0.0133196
1.86602	-7.31953	-0.0134639
1.87599	-7.31968	-0.0136089
1.88597	-7.31982	-0.0137547
1.89595	-7.31997	-0.0139013
1.90593	-7.32012	-0.0140487
1.9159	-7.32026	-0.0141969
1.92588	-7.32041	-0.0143458
1.93586	-7.32056	-0.0144956
