Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-0.0108795	0.0684694	-7.92849e-07	-0.0747108
0.20995	0.00748658	-1.61824	-0.000349465	-1.56857
0.4099	0.00549591	-3.17192	-0.00133191	-3.06249
0.60985	0.00147579	-4.70795	-0.00294765	-4.55656
0.8098	0.00408407	-6.26824	-0.00519593	-6.05083
1.00975	-0.00545085	-7.81787	-0.00807566	-7.54538
1.2097	-0.0142931	-9.35172	-0.0115855	-9.04027
1.40965	-0.0125251	-10.8698	-0.0157237	-10.5356
1.6096	-0.0152843	-12.4268	-0.0204882	-12.0313
1.80955	-0.0210576	-13.9784	-0.0258769	-13.5276
2.0095	-0.027812	-15.5095	-0.0318869	-15.0245
2.20945	-0.0376453	-17.0429	-0.0385155	-16.5221
2.4094	-0.0506661	-18.5509	-0.0457592	-18.0204
2.60935	-0.0481625	-20.0403	-0.0536144	-19.5194
2.8093	-0.0648585	-21.5488	-0.0620773	-21.0193
3.00925	-0.064231	-23.0658	-0.0711435	-22.5201
3.2092	-0.0708443	-24.5827	-0.0808083	-24.0218
3.40915	-0.0715756	-26.1045	-0.0910667	-25.5245
3.6091	-0.0786845	-27.6588	-0.101913	-27.0282
3.80905	-0.0944428	-29.1743	-0.113343	-28.5331
4.009	-0.10101	-30.6846	-0.125348	-30.0391
4.20895	-0.103676	-32.2012	-0.137924	-31.5462
4.4089	-0.117653	-33.7104	-0.151062	-33.0545
4.60885	-0.130617	-35.2492	-0.164757	-34.5641
4.8088	-0.130719	-36.6921	-0.178999	-36.075
5.00875	-0.14294	-38.2323	-0.193781	-37.5872
5.2087	-0.14955	-39.744	-0.209094	-39.1007
5.40865	-0.158978	-41.2811	-0.22493	-40.6155
5.6086	-0.170394	-42.7669	-0.241279	-42.1317
5.80855	-0.176836	-44.2687	-0.258132	-43.6493
6.0085	-0.19136	-45.7772	-0.275477	-45.1683
6.20845	-0.206668	-47.2412	-0.293304	-46.6887
6.4084	-0.227355	-48.7981	-0.311603	-48.2105
6.60835	-0.234558	-50.2148	-0.330361	-49.7337
6.8083	-0.250454	-51.7737	-0.349567	-51.2583
7.00825	-0.260379	-53.2339	-0.369208	-52.7843
7.2082	-0.267792	-54.7154	-0.389271	-54.3117
7.40815	-0.28779	-56.2435	-0.409742	-55.8404
7.6081	-0.299981	-57.7231	-0.430609	-57.3705
7.80805	-0.321948	-59.1878	-0.451856	-58.9018
8.008	-0.333211	-60.6432	-0.473468	-60.4344
8.20795	-0.344667	-62.1325	-0.495432	-61.9683
8.4079	-0.35452	-63.5848	-0.51773	-63.5033
8.60785	-0.377679	-65.5164	-0.540347	-65.0395
8.8078	-0.389175	-66.6225	-0.563266	-66.5768
9.00775	-0.401345	-68.0583	-0.586471	-68.1151
9.2077	-0.422785	-69.4956	-0.609945	-69.6544
9.40765	-0.432099	-70.9574	-0.633669	-71.1946
9.6076	-0.451736	-72.4463	-0.657625	-72.7356
9.80755	-0.482703	-73.8854	-0.681796	-74.2774
10.0075	-0.484316	-75.3781	-0.706162	-75.8199
10.2074	-0.521107	-76.9334	-0.730704	-77.3629
10.4074	-0.527971	-78.3766	-0.755404	-78.9064
10.6074	-0.556904	-79.6333	-0.780241	-80.4503
10.8073	-0.564938	-81.0771	-0.805196	-81.9945
11.0073	-0.575517	-82.5145	-0.830249	-83.5389
11.2072	-0.599315	-83.9786	-0.855379	-85.0833
11.4071	-0.622983	-85.3742	-0.880566	-86.6277
11.6071	-0.640572	-86.8978	-0.905789	-88.1719
11.8071	-0.64981	-88.2221	-0.931028	-89.7158
12.007	-0.676744	-89.884	-0.956262	-91.2592
12.207	-0.682779	-91.2223	-0.98147	-92.8021
