Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-15.539295	-179.04326	-17.306022	-179.96991
0.20995	-15.469976	-179.42804	-17.303248	-179.36846
0.4099	-15.428585	-178.69991	-17.295439	-178.76844
0.60985	-15.430092	-178.2552	-17.282616	-178.17122
0.8098	-15.420345	-177.51692	-17.264816	-177.57814
1.00975	-15.402754	-177.13231	-17.242089	-176.9905
1.2097	-15.392506	-176.34668	-17.214497	-176.4096
1.40965	-15.359499	-175.99046	-17.182116	-175.83667
1.6096	-15.340988	-175.37827	-17.145033	-175.27292
1.80955	-15.290567	-174.73279	-17.103347	-174.71947
2.0095	-15.252077	-174.21005	-17.057166	-174.17743
2.20945	-15.23738	-173.68317	-17.006608	-173.6478
2.4094	-15.173024	-173.19965	-16.951798	-173.13156
2.60935	-15.147102	-172.49237	-16.892868	-172.62958
2.8093	-15.063987	-172.15776	-16.829958	-172.14268
3.00925	-15.059678	-171.67488	-16.763211	-171.67162
3.2092	-14.95195	-171.27003	-16.692776	-171.21705
3.40915	-14.914118	-170.70114	-16.618801	-170.77959
3.6091	-14.859105	-170.21194	-16.541441	-170.35976
3.80905	-14.785477	-169.86879	-16.460848	-169.95802
4.009	-14.723451	-169.31235	-16.377177	-169.57477
4.20895	-14.642904	-169.08214	-16.290582	-169.21032
4.4089	-14.588585	-168.47882	-16.201214	-168.86494
4.60885	-14.489121	-168.29005	-16.109224	-168.53884
4.8088	-14.438938	-167.6622	-16.01476	-168.23216
5.00875	-14.346267	-167.44943	-15.917967	-167.94498
5.2087	-14.281939	-167.15154	-15.818986	-167.67737
5.40865	-14.199497	-166.69667	-15.717957	-167.4293
5.6086	-14.106486	-166.55911	-15.615012	-167.20074
5.80855	-14.048878	-166.10652	-15.510282	-166.9916
6.0085	-13.91914	-166.0097	-15.403891	-166.80176
6.20845	-13.86245	-165.64781	-15.295961	-166.63106
6.4084	-13.749836	-165.41098	-15.186608	-166.47933
6.60835	-13.7139	-165.24811	-15.075942	-166.34635
6.8083	-13.564105	-165.12413	-14.96407	-166.23191
7.00825	-13.49098	-164.87341	-14.851094	-166.13574
7.2082	-13.401643	-164.56804	-14.737112	-166.05757
7.40815	-13.294899	-164.60251	-14.622216	-165.99714
7.6081	-13.213957	-164.41553	-14.506493	-165.95414
7.80805	-13.08071	-164.33224	-14.390029	-165.92826
8.008	-13.027804	-164.14723	-14.272901	-165.91919
