Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-0.0108795	0.0684694	-7.92849e-07	-0.0747108
0.20995	0.00748658	-1.61824	-0.000349463	-1.56856
0.4099	0.00549591	-3.17192	-0.00133189	-3.06247
0.60985	0.00147579	-4.70795	-0.00294755	-4.55648
0.8098	0.00408407	-6.26824	-0.0051956	-6.05064
1.00975	-0.00545085	-7.81787	-0.00807486	-7.54501
1.2097	-0.0142931	-9.35172	-0.0115838	-9.03963
1.40965	-0.0125251	-10.8698	-0.0157206	-10.5345
1.6096	-0.0152843	-12.4268	-0.0204831	-12.0298
1.80955	-0.0210576	-13.9784	-0.0258687	-13.5255
2.0095	-0.027812	-15.5095	-0.0318746	-15.0216
2.20945	-0.0376453	-17.0429	-0.0384974	-16.5182
2.4094	-0.0506661	-18.5509	-0.0457338	-18.0153
2.60935	-0.0481625	-20.0403	-0.0535796	-19.513
2.8093	-0.0648585	-21.5488	-0.0620308	-21.0113
3.00925	-0.064231	-23.0658	-0.0710825	-22.5103
3.2092	-0.0708443	-24.5827	-0.0807297	-24.0099
3.40915	-0.0715756	-26.1045	-0.0909672	-25.5103
3.6091	-0.0786845	-27.6588	-0.101789	-27.0115
3.80905	-0.0944428	-29.1743	-0.113189	-28.5134
4.009	-0.10101	-30.6846	-0.125161	-30.0161
4.20895	-0.103676	-32.2012	-0.137698	-31.5197
4.4089	-0.117653	-33.7104	-0.150792	-33.0241
4.60885	-0.130617	-35.2492	-0.164436	-34.5295
4.8088	-0.130719	-36.6921	-0.178622	-36.0357
5.00875	-0.14294	-38.2323	-0.193341	-37.5429
5.2087	-0.14955	-39.744	-0.208584	-39.051
5.40865	-0.158978	-41.2811	-0.224342	-40.56
5.6086	-0.170394	-42.7669	-0.240605	-42.07
5.80855	-0.176836	-44.2687	-0.257363	-43.581
6.0085	-0.19136	-45.7772	-0.274605	-45.0929
6.20845	-0.206668	-47.2412	-0.29232	-46.6058
6.4084	-0.227355	-48.7981	-0.310497	-48.1196
6.60835	-0.234558	-50.2148	-0.329124	-49.6343
6.8083	-0.250454	-51.7737	-0.348188	-51.15
7.00825	-0.260379	-53.2339	-0.367677	-52.6666
7.2082	-0.267792	-54.7154	-0.387578	-54.184
7.40815	-0.28779	-56.2435	-0.407877	-55.7023
7.6081	-0.299981	-57.7231	-0.42856	-57.2214
7.80805	-0.321948	-59.1878	-0.449613	-58.7414
8.008	-0.333211	-60.6432	-0.47102	-60.262
8.20795	-0.344667	-62.1325	-0.492767	-61.7834
8.4079	-0.35452	-63.5848	-0.514838	-63.3055
8.60785	-0.377679	-65.5164	-0.537217	-64.8282
8.8078	-0.389175	-66.6225	-0.559887	-66.3514
9.00775	-0.401345	-68.0583	-0.582833	-67.8751
