Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
0.01	-23.109	-1.48696	-20.8278	-0.171952
0.20995	-23.4811	-4.89655	-20.8186	-3.60831
0.4099	-23.4682	-10.1555	-20.7928	-7.03484
0.60985	-23.331	-15.0167	-20.7507	-10.4424
0.8098	-23.1437	-19.7548	-20.6927	-13.8223
1.00975	-23.0027	-24.021	-20.6194	-17.1663
1.2097	-22.768	-28.6867	-20.5317	-20.4671
1.40965	-22.5349	-32.525	-20.4302	-23.7182
1.6096	-22.2623	-36.7755	-20.316	-26.9137
1.80955	-21.966	-40.7147	-20.19	-30.0492
2.0095	-21.6708	-44.3261	-20.0533	-33.1206
2.20945	-21.3576	-47.5303	-19.9069	-36.1253
2.4094	-21.0725	-50.7347	-19.7519	-39.0612
2.60935	-20.7019	-53.869	-19.5892	-41.9271
2.8093	-20.4141	-56.7457	-19.4197	-44.7225
3.00925	-20.107	-59.2873	-19.2446	-47.4475
3.2092	-19.8256	-62.1543	-19.0644	-50.1027
3.40915	-19.4828	-64.3728	-18.8802	-52.6892
3.6091	-19.1465	-66.8459	-18.6925	-55.2085
3.80905	-18.8874	-69.2408	-18.5021	-57.6622
4.009	-18.5355	-71.3476	-18.3096	-60.0524
4.20895	-18.2864	-73.481	-18.1155	-62.3811
4.4089	-17.967	-75.383	-17.9204	-64.6505
4.60885	-17.706	-77.4376	-17.7245	-66.863
4.8088	-17.3805	-79.0299	-17.5284	-69.0208
5.00875	-17.1361	-80.8066	-17.3324	-71.1263
5.2087	-16.873	-82.4771	-17.1367	-73.1817
5.40865	-16.5928	-84.162	-16.9416	-75.1893
5.6086	-16.3405	-85.7325	-16.7474	-77.1512
5.80855	-16.0827	-87.1498	-16.5542	-79.0697
6.0085	-15.8582	-89.015	-16.3622	-80.9467
6.20845	-15.6079	-90.1674	-16.1715	-82.7842
6.4084	-15.3791	-91.7536	-15.9823	-84.5842
6.60835	-15.1654	-92.8572	-15.7947	-86.3483
6.8083	-14.9317	-94.6198	-15.6087	-88.0784
7.00825	-14.7147	-95.7517	-15.4244	-89.776
7.2082	-14.4813	-97.0483	-15.2419	-91.4427
7.40815	-14.2762	-98.4491	-15.0611	-93.0799
7.6081	-14.0878	-99.7204	-14.8823	-94.6891
7.80805	-13.8704	-101.104	-14.7052	-96.2716
8.008	-13.6703	-102.116	-14.5301	-97.8286
8.20795	-13.4746	-103.473	-14.3568	-99.3612
8.4079	-13.3007	-104.602	-14.1855	-100.871
8.60785	-13.0796	-105.852	-14.016	-102.358
8.8078	-12.9205	-107.046	-13.8484	-103.824
9.00775	-12.717	-108.12	-13.6828	-105.27
9.2077	-12.5662	-109.274	-13.5189	-106.696
9.40765	-12.3845	-110.471	-13.357	-108.104
9.6076	-12.2103	-111.535	-13.1969	-109.494
9.80755	-12.0585	-112.753	-13.0386	-110.867
10.0075	-11.8711	-113.656	-12.8821	-112.224
10.2074	-11.7552	-115.031	-12.7274	-113.565
10.4074	-11.5591	-115.921	-12.5745	-114.891
10.6074	-11.424	-117.196	-12.4233	-116.203
10.8073	-11.2444	-118.077	-12.2739	-117.5
11.0073	-11.1077	-119.103	-12.1262	-118.785
11.2072	-10.9696	-120.228	-11.9802	-120.056
11.4071	-10.8192	-121.356	-11.8358	-121.315
11.6071	-10.6514	-122.518	-11.6931	-122.562
11.8071	-10.5196	-123.225	-11.552	-123.797
12.007	-10.3546	-124.686	-11.4125	-125.021
12.207	-10.2424	-125.281	-11.2746	-126.234
12.4069	-10.0709	-126.691	-11.1383	-127.437
12.6068	-9.99231	-127.279	-11.0035	-128.63
12.8068	-9.83182	-128.715	-10.8702	-129.812
13.0068	-9.69674	-129.493	-10.7384	-130.986
13.2067	-9.58283	-130.699	-10.6081	-132.15
13.4067	-9.44997	-131.585	-10.4793	-133.305
13.6066	-9.35436	-132.552	-10.3519	-134.451
13.8065	-9.20671	-133.653	-10.226	-135.589
14.0065	-9.1246	-134.606	-10.1014	-136.719
14.2065	-8.95665	-135.663	-9.97831	-137.84
14.4064	-8.87653	-136.521	-9.85656	-138.954
14.6064	-8.73725	-137.563	-9.73617	-140.06
14.8063	-8.65995	-138.639	-9.61713	-141.159
15.0062	-8.51702	-139.699	-9.49943	-142.251
15.2062	-8.41222	-140.716	-9.38304	-143.335
15.4062	-8.30325	-141.621	-9.26796	-144.412
15.6061	-8.20995	-142.68	-9.15418	-145.483
15.8061	-8.10429	-143.675	-9.04167	-146.547
16.006	-7.98931	-144.658	-8.93043	-147.604
16.206	-7.90415	-145.631	-8.82044	-148.655
16.4059	-7.77296	-146.635	-8.71169	-149.7
16.6059	-7.71449	-147.556	-8.60417	-150.739
16.8058	-7.6017	-148.601	-8.49787	-151.771
17.0057	-7.50457	-149.67	-8.39277	-152.798
17.2057	-7.40372	-150.558	-8.28887	-153.818
17.4057	-7.30747	-151.448	-8.18615	-154.833
17.6056	-7.24718	-152.52	-8.0846	-155.842
17.8056	-7.13444	-153.538	-7.98422	-156.846
18.0055	-7.06067	-154.503	-7.88499	-157.844
18.2054	-6.96655	-155.391	-7.7869	-158.837
18.4054	-6.8816	-156.497	-7.68995	-159.824
18.6054	-6.79131	-157.331	-7.59411	-160.806
18.8053	-6.68983	-158.364	-7.4994	-161.783
19.0053	-6.63886	-159.311	-7.40579	-162.754
19.2052	-6.53351	-160.291	-7.31327	-163.721
19.4051	-6.45194	-161.367	-7.22184	-164.682
19.6051	-6.36593	-162.167	-7.13149	-165.638
19.8051	-6.28177	-163.389	-7.04221	-166.589
20.005	-6.21058	-164.024	-6.95399	-167.536
20.205	-6.13669	-165.315	-6.86683	-168.477
20.4049	-6.055	-166.118	-6.78071	-169.413
20.6048	-5.99414	-167.155	-6.69563	-170.345
20.8048	-5.91106	-168.097	-6.61158	-171.272
21.0048	-5.87382	-169.064	-6.52855	-172.194
21.2047	-5.76702	-170.256	-6.44653	-173.111
21.4047	-5.71598	-171.088	-6.36552	-174.024
21.6046	-5.61459	-172.005	-6.2855	-174.932
21.8045	-5.62114	-173.073	-6.20648	-175.835
22.0045	-5.49273	-174.039	-6.12844	-176.734
22.2045	-5.47136	-175.09	-6.05137	-177.628
22.4044	-5.34637	-175.804	-5.97527	-178.518
22.6044	-5.33923	-177.051	-5.90013	-179.402
22.8043	-5.25442	-177.706	-5.82594	179.717
23.0042	-5.17886	-178.913	-5.7527	178.841
23.2042	-5.12507	-179.847	-5.6804	177.97
23.4042	-5.05921	179.359	-5.60902	177.103
23.6041	-5.04084	178.24	-5.53857	176.241
23.8041	-4.95134	177.389	-5.46903	175.384
24.004	-4.90586	176.28	-5.40039	174.53
24.2039	-4.84743	175.459	-5.33266	173.681
24.4039	-4.78958	174.387	-5.26582	172.837
24.6039	-4.75087	173.427	-5.19987	171.997
24.8038	-4.66366	172.556	-5.13479	171.162
25.0038	-4.64291	171.603	-5.07058	170.331
25.2037	-4.59135	170.628	-5.00723	169.504
25.4036	-4.54486	169.464	-4.94474	168.682
25.6036	-4.50414	168.734	-4.88309	167.864
25.8036	-4.42604	167.435	-4.82229	167.051
26.0035	-4.39868	166.895	-4.76231	166.242
26.2035	-4.33913	165.574	-4.70316	165.437
26.4034	-4.31232	164.714	-4.64483	164.637
26.6033	-4.24367	163.729	-4.58731	163.841
26.8033	-4.21676	162.775	-4.53058	163.05
27.0033	-4.1667	162.133	-4.47465	162.263
27.2032	-4.14641	160.726	-4.41951	161.48
27.4032	-4.09131	160.041	-4.36515	160.702
27.6031	-4.0577	159.073	-4.31155	159.928
27.803	-4.05354	158.187	-4.25872	159.158
28.003	-3.98375	157.304	-4.20664	158.393
28.203	-3.95951	156.15	-4.15532	157.632
28.4029	-3.91193	155.566	-4.10473	156.875
28.6029	-3.87236	154.152	-4.05487	156.123
28.8028	-3.87542	153.269	-4.00574	155.375
29.0027	-3.78903	152.367	-3.95732	154.631
29.2027	-3.83772	151.369	-3.90962	153.892
29.4027	-3.72053	150.688	-3.86261	153.156
29.6026	-3.78871	149.459	-3.8163	152.426
29.8026	-3.68674	148.666	-3.77067	151.699
30.0025	-3.68022	147.637	-3.72573	150.977
30.2024	-3.61139	147.057	-3.68145	150.259
30.4024	-3.60175	146.344	-3.63783	149.545
30.6024	-3.61061	144.88	-3.59487	148.836
30.8023	-3.48436	144.581	-3.55256	148.13
31.0023	-3.50825	143.502	-3.51089	147.429
31.2022	-3.50704	143.509	-3.46985	146.733
31.4021	-3.5009	141.403	-3.42943	146.04
31.6021	-3.48969	141.149	-3.38963	145.352
31.8021	-3.3663	139.718	-3.35044	144.667
32.002	-3.42822	140	-3.31185	143.987
32.2019	-3.39309	137.886	-3.27386	143.312
32.4019	-3.35101	137.267	-3.23645	142.64
