Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-0.010879453	0.068469435	-7.9284922e-07	-0.074710801	0.99874753	0.0011935209	0.99999906	-0.001303949
0.20995	0.0074865823	-1.6182396	-0.00034946328	-1.568563	1.0004631	-0.028264205	0.99958507	-0.027372068
0.4099	0.005495911	-3.1719229	-0.0013318858	-3.0624684	0.99909997	-0.055367247	0.99841877	-0.053416518
0.60985	0.0014757855	-4.7079492	-0.0029475464	-4.5564773	0.99679536	-0.082090728	0.99650129	-0.07941478
0.8098	0.0040840711	-6.2682357	-0.005195599	-6.0506401	0.99448913	-0.1092346	0.99383447	-0.10534438
1.00975	-0.0054508471	-7.817873	-0.0080748642	-7.5450065	0.99008393	-0.13593929	0.99042085	-0.13118293
1.2097	-0.014293064	-9.3517179	-0.011583828	-9.0396257	0.9850871	-0.16222737	0.98626372	-0.15690811
1.40965	-0.012525071	-10.869796	-0.015720639	-10.534547	0.98064315	-0.18830603	0.98136706	-0.18249774
1.6096	-0.015284259	-12.426825	-0.020483109	-12.029817	0.97485471	-0.21481423	0.97573557	-0.20792977
1.80955	-0.021057578	-13.978365	-0.025868706	-13.525483	0.96803731	-0.24097059	0.96937466	-0.23318231
2.0095	-0.027811984	-15.50948	-0.031874555	-15.021592	0.96050578	-0.26654298	0.96229042	-0.25823366
2.20945	-0.03764531	-17.042866	-0.038497436	-16.518188	0.95195097	-0.29181957	0.95448967	-0.28306233
2.4094	-0.050666086	-18.550936	-0.045733773	-18.015314	0.94252723	-0.31629719	0.94597989	-0.30764706
2.60935	-0.048162516	-20.040316	-0.053579641	-19.513013	0.93425696	-0.34078639	0.93676926	-0.33196684
2.8093	-0.064858511	-21.548807	-0.062030751	-21.011324	0.9231857	-0.36456125	0.92686662	-0.35600096
3.00925	-0.064231031	-23.065767	-0.071082455	-22.510288	0.91327715	-0.38890094	0.91628149	-0.37972899
3.2092	-0.07084427	-24.58272	-0.080729737	-24.00994	0.9019748	-0.4126273	0.90502405	-0.40313082
3.40915	-0.071575649	-26.10446	-0.090967208	-25.510317	0.89062386	-0.4363981	0.89310512	-0.42618671
3.6091	-0.078684501	-27.658834	-0.1017891	-27.011451	0.87773991	-0.46001959	0.88053616	-0.44887727
3.80905	-0.094442755	-29.174307	-0.11318928	-28.513373	0.86369842	-0.48219658	0.86732925	-0.4711835
4.009	-0.1010098	-30.684557	-0.1251612	-30.016112	0.8500468	-0.50441101	0.85349708	-0.49308683
4.20895	-0.10367617	-32.201199	-0.13769794	-31.519694	0.83614189	-0.52657109	0.83905297	-0.5145691
4.4089	-0.11765281	-33.710426	-0.15079219	-33.024143	0.82066143	-0.54752892	0.82401078	-0.53561265
4.60885	-0.13061747	-35.249249	-0.16443623	-34.529481	0.80446032	-0.56852053	0.80838498	-0.55620024
4.8088	-0.13071918	-36.692062	-0.17862194	-36.035726	0.78988114	-0.58858904	0.79219058	-0.57631519
5.00875	-0.14294019	-38.232254	-0.19334079	-37.542894	0.77268763	-0.60874985	0.77544311	-0.59594129
5.2087	-0.14954974	-39.743984	-0.20858384	-39.050997	0.75578356	-0.62844431	0.75815865	-0.61506289
5.40865	-0.15897766	-41.281055	-0.22434173	-40.560045	0.73785307	-0.64778761	0.74035377	-0.63366491
5.6086	-0.17039394	-42.766853	-0.24060469	-42.070046	0.71986163	-0.66582602	0.72204552	-0.65173284
5.80855	-0.17683621	-44.268688	-0.25736252	-43.581002	0.70164314	-0.68395666	0.7032514	-0.66925275
6.0085	-0.19135956	-45.777229	-0.27460461	-45.092914	0.68225241	-0.70101791	0.68398937	-0.68621136
6.20845	-0.20666772	-47.241245	-0.29231991	-46.605777	0.66294989	-0.71695534	0.66427781	-0.70259599
6.4084	-0.22735535	-48.7981	-0.31049695	-48.119587	0.6416961	-0.7329545	0.64413547	-0.71839462
