Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-23.108999	-1.4869643	-20.827833	-0.17195151	0.069888188	-0.0018141751	0.0909089	-0.00027282934
0.20995	-23.48107	-4.896554	-20.818643	-3.6083116	0.06673576	-0.0057172296	0.09082514	-0.0057274613
0.4099	-23.468191	-10.155453	-20.792843	-7.0348439	0.066028661	-0.01182744	0.09058912	-0.011178871
0.60985	-23.331022	-15.016677	-20.750717	-10.442409	0.065820138	-0.017656988	0.090200919	-0.01662399
0.8098	-23.143728	-19.754824	-20.692716	-13.822283	0.065534701	-0.023535591	0.089660669	-0.022059751
1.00975	-23.002712	-24.020981	-20.619447	-17.166331	0.06464333	-0.028809433	0.08896855	-0.027483086
1.2097	-22.767994	-28.686699	-20.53165	-20.467147	0.063786306	-0.034902739	0.088124796	-0.03289093
1.40965	-22.534935	-32.524986	-20.430176	-23.718169	0.062974065	-0.040157523	0.087129692	-0.038280219
1.6096	-22.2623	-36.775482	-20.315958	-26.913742	0.061732066	-0.046140298	0.085983576	-0.043647891
1.80955	-21.965986	-40.714664	-20.189988	-30.049154	0.060443727	-0.052016728	0.084686836	-0.048990886
2.0095	-21.670815	-44.326099	-20.053292	-33.120636	0.059019118	-0.057646854	0.083239912	-0.054306146
2.20945	-21.357611	-47.53035	-19.906906	-36.125328	0.057749949	-0.063090072	0.081643299	-0.059590618
2.4094	-21.072475	-50.734676	-19.751859	-39.06123	0.055939666	-0.06842937	0.079897543	-0.06484125
2.60935	-20.701883	-53.868988	-19.58915	-41.927126	0.05438612	-0.074497254	0.078003244	-0.070054997
2.8093	-20.414141	-56.745689	-19.419744	-44.722508	0.052282419	-0.079730857	0.075961054	-0.075228814
3.00925	-20.107044	-59.287334	-19.244553	-47.447484	0.050447739	-0.084920907	0.073771682	-0.080359665
3.2092	-19.825569	-62.154266	-19.064434	-50.102691	0.04765676	-0.090214469	0.071435888	-0.085444518
3.40915	-19.482796	-64.372795	-18.880183	-52.689208	0.04590503	-0.095694557	0.068954489	-0.090480345
3.6091	-19.146456	-66.845901	-18.69253	-55.208476	0.043380716	-0.10143915	0.066328356	-0.095464128
3.80905	-18.887388	-69.240776	-18.502146	-57.662221	0.040287959	-0.1062866	0.063558417	-0.10039285
4.009	-18.535456	-71.34758	-18.309636	-60.05239	0.037856579	-0.11214903	0.060645654	-0.10526352
4.20895	-18.286425	-73.481003	-18.115545	-62.381088	0.034634297	-0.11678123	0.057591109	-0.11007313
4.4089	-17.966953	-75.383034	-17.920361	-64.650532	0.031890829	-0.12228233	0.054395878	-0.11481869
4.60885	-17.706011	-77.437561	-17.72452	-66.863001	0.028324714	-0.12710884	0.051061116	-0.11949723
