Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.5	0	0	-2.26	-2.04417
1	-0.17	-0.00892131	-2.43	-2.05309
1.5	-0.04	-0.0237918	-2.3	-2.06797
2	-0.16	-0.0446137	-2.42	-2.08879
2.5	-0.76	-0.0713897	-3.02	-2.11556
3.08	-0.64	-0.109913	-2.9	-2.15409
3.58	-0.24	-0.149559	-2.5	-2.19373
4.08	-0.5	-0.195167	-2.76	-2.23934
4.75	-0.31	-0.265626	-2.57	-2.3098
5.25	-0.99	-0.325177	-3.25	-2.36935
5.75	-1.06	-0.390677	-3.32	-2.43485
6.25	-0.86	-0.462115	-3.12	-2.50629
6.83	-0.93	-0.552402	-3.19	-2.59658
7.33	-1.18	-0.636603	-3.44	-2.68078
7.83	-0.77	-0.726672	-3.03	-2.77085
8.33	-0.86	-0.82257	-3.12	-2.86674
8.83	-1.28	-0.924253	-3.54	-2.96843
9.33	-2.19	-1.03167	-4.45	-3.07584
9.83	-1.53	-1.14475	-3.79	-3.18893
10.33	-2.3	-1.26344	-4.56	-3.30761
10.83	-2	-1.38765	-4.26	-3.43182
11.17	-1.84	-1.47522	-4.1	-3.51939
11.83	-1.39	-1.65226	-3.65	-3.69643
12.33	-2.58	-1.79245	-4.84	-3.83663
12.83	-2.74	-1.93776	-5	-3.98193
13.25	-2.71	-2.06367	-4.97	-4.10785
13.83	-2.81	-2.24319	-5.07	-4.28736
14.33	-2.98	-2.40304	-5.24	-4.44722
14.83	-2.14	-2.56746	-4.4	-4.61163
15.5	-1.91	-2.79466	-4.17	-4.83884
16	-2.07	-2.96915	-4.33	-5.01332
16.5	-4.35	-3.14767	-6.61	-5.19184
17.17	-3.84	-3.39291	-6.1	-5.43709
17.5	-4.14	-3.51613	-6.4	-5.56031
18	-3.7	-3.70573	-5.96	-5.7499
18.5	-3.36	-3.89868	-5.62	-5.94285
19	-2.87	-4.0948	-5.13	-6.13897
19.67	-2.84	-4.36227	-5.1	-6.40644
20.17	-3.97	-4.56514	-6.23	-6.60931
20.67	-3.68	-4.77061	-5.94	-6.81478
21.17	-3.3	-4.97851	-5.56	-7.02268
21.67	-3.6	-5.18867	-5.86	-7.23285
22.17	-3.72	-5.40095	-5.98	-7.44512
22.67	-3.79	-5.61517	-6.05	-7.65934
23.17	-3.89	-5.83119	-6.15	-7.87536
23.67	-5.11	-6.04885	-7.37	-8.09302
24.17	-5.53	-6.26802	-7.79	-8.31219
24.67	-5.62	-6.48855	-7.88	-8.53273
25.17	-5.78	-6.71032	-8.04	-8.75449
25.67	-5.18	-6.93318	-7.44	-8.97735
26	-6.25	-7.08082	-8.51	-9.12499
26.67	-6.4	-7.38173	-8.66	-9.4259
27.25	-6.59	-7.64332	-8.85	-9.68749
27.75	-7.09	-7.8695	-9.35	-9.91368
28.25	-7.44	-8.09621	-9.7	-10.1404
28.92	-6.85	-8.40064	-9.11	-10.4448
29.25	-6.8	-8.5508	-9.06	-10.595
29.75	-6.78	-8.7785	-9.04	-10.8227
30.42	-8.83	-9.08387	-11.09	-11.128
30.92	-8.8	-9.31183	-11.06	-11.356
