Freq_GHz	Norm_dB_meas	Norm_dB_model	CalRF_dBm_meas	Model_dBm_5mA
0.33	0	0	-3.75	-3.98038
0.83	-0.13	-0.005244	-3.88	-3.98563
1.33	-0.2	-0.0150122	-3.95	-3.9954
2	-0.26	-0.0352056	-4.01	-4.01559
2.5	-0.66	-0.0555889	-4.41	-4.03597
3.08	-0.65	-0.0849407	-4.4	-4.06533
3.58	-0.42	-0.11518	-4.17	-4.09556
4.08	-0.59	-0.150006	-4.34	-4.13039
4.58	-0.49	-0.189437	-4.24	-4.16982
5.08	-1.08	-0.233489	-4.83	-4.21387
5.58	-0.86	-0.282182	-4.61	-4.26257
6.25	-0.96	-0.354735	-4.71	-4.33512
6.83	-1.01	-0.424326	-4.76	-4.40471
7.5	-1.17	-0.512582	-4.92	-4.49297
7.83	-0.97	-0.559158	-4.72	-4.53954
8.33	-1.19	-0.633643	-4.94	-4.61403
8.83	-1.26	-0.712848	-5.01	-4.69323
9.33	-1.78	-0.796772	-5.53	-4.77716
10	-1.78	-0.91662	-5.53	-4.897
10.5	-1.4	-1.01156	-5.15	-4.99194
11	-1.34	-1.11118	-5.09	-5.09156
11.5	-1.47	-1.21546	-5.22	-5.19584
12	-2.1	-1.32436	-5.85	-5.30474
12.67	-1.99	-1.47747	-5.74	-5.45785
13.33	-2.3	-1.63623	-6.05	-5.61662
13.83	-2.56	-1.76168	-6.31	-5.74206
14.33	-2.55	-1.8915	-6.3	-5.87189
14.83	-2.04	-2.02564	-5.79	-6.00602
15.33	-2.03	-2.164	-5.78	-6.14439
15.83	-2.75	-2.30651	-6.5	-6.2869
16.33	-3.12	-2.45307	-6.87	-6.43345
16.83	-2.89	-2.60358	-6.64	-6.58396
17.5	-3.39	-2.81127	-7.14	-6.79166
18	-3.18	-2.97061	-6.93	-6.95099
18.33	-2.97	-3.07774	-6.72	-7.05812
19	-2.87	-3.2999	-6.62	-7.28028
19.5	-3.08	-3.46961	-6.83	-7.44999
19.83	-4.3	-3.58338	-8.05	-7.56377
20.5	-3.98	-3.81853	-7.73	-7.79891
16.33	-2.54	-2.45307	-6.29	-6.43345
16.67	-3.48	-2.55499	-7.23	-6.53538
17.17	-3.41	-2.70813	-7.16	-6.68851
17.67	-3.32	-2.86504	-7.07	-6.84542
18.17	-2.88	-3.0256	-6.63	-7.00599
18.67	-2.95	-3.18971	-6.7	-7.17009
19	-3	-3.2999	-6.75	-7.28028
19.67	-3.34	-3.52805	-7.09	-7.50843
20.17	-4.14	-3.70203	-7.89	-7.68241
20.67	-4.63	-3.87905	-8.38	-7.85943
21.33	-3.82	-4.11713	-7.57	-8.09752
21.83	-4.13	-4.30068	-7.88	-8.28106
22.33	-3.49	-4.48682	-7.24	-8.46721
22.67	-4.3	-4.61481	-8.05	-8.5952
23.33	-4.42	-4.86636	-8.17	-8.84674
23.83	-5.09	-5.05949	-8.84	-9.03987
24.33	-5.33	-5.25468	-9.08	-9.23507
24.83	-5.45	-5.45182	-9.2	-9.4322
25.33	-5.4	-5.65076	-9.15	-9.63115
26.33	-5.42	-6.05361	-9.17	-10.034
